lawd_cd,deal_ym,housing_type,aptNm,exclusive_m2,deposit,rent,deposit_per_m2,rent_per_m2,buildYear,contractDay,dong,roadAddr
48121,202507,APT,창원중동유니시티4단지,,,13,,,2019,,중동,
48121,202507,APT,창원중동유니시티1단지,,,0,,,2019,,중동,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,명곡포레드림,,,27,,,2025,,명곡동,
48121,202507,APT,명곡포레드림,,,32,,,2025,,명곡동,
48121,202507,APT,명곡포레드림,,,14,,,2025,,명곡동,
48121,202507,APT,창원중동유니시티4단지,,,0,,,2019,,중동,
48121,202507,APT,벽산블루밍A,,,0,,,2000,,팔용동,
48121,202507,APT,명곡포레드림,,,14,,,2025,,명곡동,
48121,202507,APT,창원중동유니시티2단지,,,0,,,2019,,중동,
48121,202507,APT,극동,,,0,,,1994,,팔용동,
48121,202507,APT,창원감계힐스테이트2차,,,0,,,2017,,북면 감계리,
48121,202507,APT,동읍다숲아파트,,,35,,,2016,,동읍 용잠리,
48121,202507,APT,창원무동STX칸1차,,,30,,,2015,,북면 무동리,
48121,202507,APT,신한그린파크맨션,,,35,,,1994,,북면 신촌리,
48121,202507,APT,창원감계힐스테이트2차,,,75,,,2017,,북면 감계리,
48121,202507,APT,벽산블루밍B,,,80,,,1999,,팔용동,
48121,202507,APT,창원무동STX칸1차,,,70,,,2015,,북면 무동리,
48121,202507,APT,창원중동유니시티3단지,,,0,,,2019,,중동,
48121,202507,APT,창원중동유니시티2단지,,,78,,,2019,,중동,
48121,202507,APT,창원감계힐스테이트4차,,,70,,,2017,,북면 감계리,
48121,202507,APT,창원중동유니시티2단지,,,0,,,2019,,중동,
48121,202507,APT,창원감계힐스테이트4차,,,85,,,2017,,북면 감계리,
48121,202507,APT,명곡포레드림,,,32,,,2025,,명곡동,
48121,202507,APT,해강그린,,,35,,,1994,,대산면 가술리,
48121,202507,APT,창원감계푸르지오,,,70,,,2017,,북면 감계리,
48121,202507,APT,창원중동유니시티3단지,,,0,,,2019,,중동,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,한효로얄코아,,,50,,,1992,,도계동,
48121,202507,APT,창원감계힐스테이트2차,,,70,,,2017,,북면 감계리,
48121,202507,APT,창원무동센텀파라디아,,,85,,,2018,,북면 무동리,
48121,202507,APT,창원중동유니시티1단지,,,0,,,2019,,중동,
48121,202507,APT,창원중동유니시티4단지,,,170,,,2019,,중동,
48121,202507,APT,명곡두산위브,,,0,,,2010,,명서동,
48121,202507,APT,삼진,,,30,,,1989,,동읍 용잠리,
48121,202507,APT,창원중동유니시티2단지,,,0,,,2019,,중동,
48121,202507,APT,금강연화,,,35,,,1994,,소답동,
48121,202507,APT,명곡포레드림,,,11,,,2025,,명곡동,
48121,202507,APT,대동중앙,,,0,,,1993,,팔용동,
48121,202507,APT,창원중동유니시티3단지,,,69,,,2019,,중동,
48121,202507,APT,창원중동유니시티2단지,,,0,,,2019,,중동,
48121,202507,APT,창원감계힐스테이트2차,,,100,,,2017,,북면 감계리,
48121,202507,APT,금강금화빌라,,,0,,,1994,,소답동,
48121,202507,APT,벽산블루밍C단지,,,0,,,1999,,팔용동,
48121,202507,APT,창원중동유니시티1단지,,,0,,,2019,,중동,
48121,202507,APT,명곡포레드림,,,32,,,2025,,명곡동,
48121,202507,APT,휴먼빌2단지,,,70,,,2013,,북면 무동리,
48121,202507,APT,창원무동동원로얄듀크,,,0,,,2023,,북면 무동리,
48121,202507,APT,명곡포레드림,,,14,,,2025,,명곡동,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,명곡포레드림,,,28,,,2025,,명곡동,
48121,202507,APT,명곡포레드림,,,14,,,2025,,명곡동,
48121,202507,APT,감계아내에코프리미엄1차,,,80,,,2014,,북면 감계리,
48121,202507,APT,명곡포레드림,,,32,,,2025,,명곡동,
48121,202507,APT,한효해바라기,,,90,,,1990,,도계동,
48121,202507,APT,힐스테이트아티움시티,,,170,,,2020,,팔용동,
48121,202507,APT,창원중동유니시티1단지,,,300,,,2019,,중동,
48121,202507,APT,휴먼빌1단지,,,70,,,2013,,북면 무동리,
48121,202507,APT,명곡포레드림,,,14,,,2025,,명곡동,
48121,202507,APT,명곡포레드림,,,14,,,2025,,명곡동,
48121,202507,APT,명곡포레드림,,,29,,,2025,,명곡동,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,벽산블루밍B,,,0,,,1999,,팔용동,
48121,202507,APT,창원감계힐스테이트4차,,,80,,,2017,,북면 감계리,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,강남빌라,,,0,,,1992,,도계동,
48121,202507,APT,감계아내에코프리미엄1차,,,0,,,2014,,북면 감계리,
48121,202507,APT,창원감계푸르지오,,,75,,,2017,,북면 감계리,
48121,202507,APT,창원중동유니시티1단지,,,30,,,2019,,중동,
48121,202507,APT,휴먼빌2단지,,,75,,,2013,,북면 무동리,
48121,202507,APT,명곡포레드림,,,14,,,2025,,명곡동,
48121,202507,APT,휴먼빌2단지,,,30,,,2013,,북면 무동리,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,동정오성아파트,,,0,,,1996,,동정동,
48121,202507,APT,창원중동유니시티2단지,,,0,,,2019,,중동,
48121,202507,APT,수정맨션,,,30,,,1985,,소계동,
48121,202507,APT,창원중동유니시티1단지,,,110,,,2019,,중동,
48121,202507,APT,성진까치빌라트5,,,0,,,1997,,동읍 용정리,
48121,202507,APT,극동,,,20,,,1994,,팔용동,
48121,202507,APT,창원중동유니시티1단지,,,0,,,2019,,중동,
48121,202507,APT,창원중동유니시티2단지,,,0,,,2019,,중동,
48121,202507,APT,창원중동유니시티2단지,,,0,,,2019,,중동,
48121,202507,APT,창원감계힐스테이트3차,,,0,,,2014,,북면 감계리,
48121,202507,APT,명곡두산위브,,,0,,,2010,,명서동,
48121,202507,APT,창원감계힐스테이트4차,,,65,,,2017,,북면 감계리,
48121,202507,APT,창원무동센텀파라디아,,,70,,,2018,,북면 무동리,
48121,202507,APT,팔용원풍,,,0,,,2000,,팔용동,
48121,202507,APT,창원포레힐스데시앙,,,0,,,2025,,북면 감계리,
48121,202507,APT,대동중앙,,,30,,,1993,,팔용동,
48121,202507,APT,명곡포레드림,,,29,,,2025,,명곡동,
48121,202507,APT,명곡포레드림,,,6,,,2025,,명곡동,
48121,202507,APT,창원중동유니시티1단지,,,0,,,2019,,중동,
48121,202507,APT,창원감계힐스테이트4차,,,70,,,2017,,북면 감계리,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,창원감계힐스테이트3차,,,0,,,2014,,북면 감계리,
48121,202507,APT,세원,,,30,,,1995,,소답동,
48121,202507,APT,벽산블루밍B,,,0,,,1999,,팔용동,
48121,202507,APT,창원무동동원로얄듀크,,,0,,,2023,,북면 무동리,
48121,202507,APT,창원중동유니시티3단지,,,0,,,2019,,중동,
48121,202507,APT,창원감계힐스테이트2차,,,0,,,2017,,북면 감계리,
48121,202507,APT,명곡포레드림,,,32,,,2025,,명곡동,
48121,202507,APT,명곡포레드림,,,32,,,2025,,명곡동,
48121,202507,APT,명곡포레드림,,,32,,,2025,,명곡동,
48121,202507,APT,대동중앙,,,0,,,1993,,팔용동,
48121,202507,APT,창원감계힐스테이트4차,,,0,,,2017,,북면 감계리,
48121,202507,APT,창원포레힐스데시앙,,,115,,,2025,,북면 감계리,
48121,202507,APT,신우한빛,,,60,,,2000,,동읍 용잠리,
48121,202507,APT,대동중앙,,,0,,,1993,,팔용동,
48121,202507,APT,창원중동유니시티3단지,,,0,,,2019,,중동,
48121,202507,APT,감계아내에코프리미엄2차,,,0,,,2019,,북면 감계리,
