lawd_cd,deal_ym,housing_type,exclusive_m2,deposit,rent,buildYear,contractDay,dong,roadAddr,rent_per_m2,deposit_per_m2
48121,202507,APT,,,13.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,27.0,2025.0,,명곡동,,,
48121,202507,APT,,,32.0,2025.0,,명곡동,,,
48121,202507,APT,,,14.0,2025.0,,명곡동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2000.0,,팔용동,,,
48121,202507,APT,,,14.0,2025.0,,명곡동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,1994.0,,팔용동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,35.0,2016.0,,동읍 용잠리,,,
48121,202507,APT,,,30.0,2015.0,,북면 무동리,,,
48121,202507,APT,,,35.0,1994.0,,북면 신촌리,,,
48121,202507,APT,,,75.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,80.0,1999.0,,팔용동,,,
48121,202507,APT,,,70.0,2015.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,78.0,2019.0,,중동,,,
48121,202507,APT,,,70.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,85.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,32.0,2025.0,,명곡동,,,
48121,202507,APT,,,35.0,1994.0,,대산면 가술리,,,
48121,202507,APT,,,70.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,50.0,1992.0,,도계동,,,
48121,202507,APT,,,70.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,85.0,2018.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,170.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2010.0,,명서동,,,
48121,202507,APT,,,30.0,1989.0,,동읍 용잠리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,35.0,1994.0,,소답동,,,
48121,202507,APT,,,11.0,2025.0,,명곡동,,,
48121,202507,APT,,,0.0,1993.0,,팔용동,,,
48121,202507,APT,,,69.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,100.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,1994.0,,소답동,,,
48121,202507,APT,,,0.0,1999.0,,팔용동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,32.0,2025.0,,명곡동,,,
48121,202507,APT,,,70.0,2013.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2023.0,,북면 무동리,,,
48121,202507,APT,,,14.0,2025.0,,명곡동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,28.0,2025.0,,명곡동,,,
48121,202507,APT,,,14.0,2025.0,,명곡동,,,
48121,202507,APT,,,80.0,2014.0,,북면 감계리,,,
48121,202507,APT,,,32.0,2025.0,,명곡동,,,
48121,202507,APT,,,90.0,1990.0,,도계동,,,
48121,202507,APT,,,170.0,2020.0,,팔용동,,,
48121,202507,APT,,,300.0,2019.0,,중동,,,
48121,202507,APT,,,70.0,2013.0,,북면 무동리,,,
48121,202507,APT,,,14.0,2025.0,,명곡동,,,
48121,202507,APT,,,14.0,2025.0,,명곡동,,,
48121,202507,APT,,,29.0,2025.0,,명곡동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,1999.0,,팔용동,,,
48121,202507,APT,,,80.0,2017.0,,북면 감계리,,,
