구간,차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,구간,연 일평균,전년 일평균,traffic_yoy,traffic_mean_12m,traffic_peak_summer,proxy_level_mean,proxy_level_peak,proxy_level_yoy
서울~신갈JC,소계,194401,202258,205122,212809,212730,211567,204337,208642,208992,210612,207970,197665,서울~신갈JC,206405,207321,-0.0044182692539588364,206425.41666666666,207323.66666666666,0.8803668738775975,0.8756775554222737,0.0
신갈JC~수원신갈,소계,223033,229290,233585,239940,240123,239848,234836,239489,235949,239158,234736,223732,신갈JC~수원신갈,234471,233531,0.0040251615417225125,234476.58333333334,236758.0,1.0,1.0,0.0
수원신갈~기흥,소계,198094,205839,207958,212968,213273,214473,208524,213978,211896,213485,210134,199645,수원신갈~기흥,209172,206172,0.014550957453000408,209188.91666666666,211466.0,0.8921526989724275,0.8931736203211719,0.0
기흥~기흥동탄,소계,163939,171562,170917,175473,175874,176027,169328,175388,174887,174830,173089,163432,기흥~기흥동탄,172035,174024,-0.011429458005792304,172062.16666666666,173201.0,0.7338138598772656,0.7315528936720195,0.0
기흥동탄~동탄JC,소계,158484,167077,166909,171898,172638,173523,166371,172231,171861,171281,169838,159389,기흥동탄~동탄JC,168430,168144,0.0017009230183652108,168458.33333333334,170154.33333333334,0.7184441658886336,0.7186846203014612,0.0
동탄JC~오산,소계,197532,208932,208244,214416,215637,215396,206230,214194,212149,210069,207255,194727,동탄JC~오산,208692,209769,-0.005134219069547931,208731.75,210857.66666666666,0.8902029662521381,0.890604189369173,0.0
오산~남사진위,소계,187056,198860,197976,205198,206058,203805,193193,201505,198969,196810,193914,180764,오산~남사진위,196960,199695,-0.013695886226495405,197009.0,197889.0,0.8402075687017786,0.8358281451946713,0.0
남사진위~안성JC,소계,208830,222023,221589,230192,230735,227517,216326,225418,221896,220647,217175,202354,남사진위~안성JC,220341,222266,-0.008660793823616748,220391.83333333334,221213.33333333334,0.9399311018619841,0.934343647662733,0.0
안성JC~안성,소계,199206,215182,211089,218091,218164,215428,204434,214620,213841,211523,208965,195104,안성JC~안성,210405,214529,-0.01922350824364072,210470.58333333334,210965.0,0.8976187742983575,0.8910575355426216,0.0
안성~북천안,소계,176115,192513,187815,194072,194507,191527,180913,191647,191098,187248,186345,172656,안성~북천안,187137,191454,-0.022548497289166067,187204.66666666666,187886.0,0.7983938694659984,0.7935782528995853,0.0
북천안~천안,소계,182297,199014,194892,201840,201830,198789,188108,199654,199608,196303,195713,180642,북천안~천안,194824,199227,-0.02210041811601841,194890.83333333334,195790.0,0.8311739729518122,0.8269625524797473,0.0
천안~천안JC,소계,162562,178530,172962,180195,181750,179226,169676,180755,182586,178684,179048,163931,천안~천안JC,175762,176631,-0.004919861179521149,175825.41666666666,177672.33333333334,0.7498634369672308,0.7504385631460535,0.0
천안JC~목천,소계,124529,133868,130683,137618,138689,138121,133096,139427,139871,139111,139643,128801,천안JC~목천,135257,130941,0.03296141010073239,135288.08333333334,137464.66666666666,0.576979080000526,0.5806125523389565,0.0
목천~옥산JC,소계,118588,127825,123876,130088,130569,130302,125977,132136,132949,131077,131334,121998,목천~옥산JC,128026,126239,0.014155688812490594,128059.91666666667,130354.0,0.5461522632501682,0.5505790723016751,0.0
옥산JC~옥산,소계,109796,119148,115002,120188,120700,120566,116222,122550,123289,120963,121120,112424,옥산JC~옥산,118463,118444,0.00016041335990003714,118497.33333333333,120687.0,0.505369583814162,0.5097483506365149,0.0
옥산~청주,소계,107883,116991,113212,118284,118776,118571,113965,120565,121334,118950,119115,110155,옥산~청주,116449,116691,-0.0020738531677678656,116483.41666666667,118621.33333333333,0.49678059536151264,0.5010235486586866,0.0
청주~남이JC,소계,98979,108257,103581,108420,109617,108855,104198,111479,113093,110319,110949,100920,청주~남이JC,107352,109385,-0.01858572930474928,107388.91666666667,109590.0,0.45799420624447573,0.46287770634994385,0.0
남이JC~청주JC,소계,171005,192786,183773,193202,195961,195565,187210,200864,206605,200744,200836,182239,남이JC~청주JC,192494,189227,0.017264978042245558,192565.83333333334,198226.33333333334,0.8212582706375441,0.8372529474540812,0.0
청주JC~남청주,소계,118953,133788,128516,135365,137646,137940,131890,142408,144752,141535,141501,128018,청주JC~남청주,135149,132601,0.01921554136092488,135192.66666666666,139683.33333333334,0.5765721452639726,0.5899835838000547,0.0
남청주~신탄진,소계,121297,136091,131165,137648,139895,140241,134165,144719,147166,144031,143728,130318,남청주~신탄진,137496,135798,0.01250386603631865,137538.66666666666,142016.66666666666,0.5865774087604341,0.5998389353967624,0.0
신탄진~회덕JC,소계,113096,126867,122299,129237,130490,130926,125427,135302,138900,135285,134537,121190,신탄진~회덕JC,128587,127797,0.0061816787561523355,128629.66666666667,133209.66666666666,0.5485821434194388,0.5626406147486744,0.0
회덕JC~대전,소계,95261,104158,102809,108199,108974,108527,104175,111480,113406,111368,110901,100884,회덕JC~대전,106653,107670,-0.009445528002229033,106678.5,109687.0,0.45496440831511603,0.46328740739489266,0.0
대전~비룡JC,소계,81481,90039,88134,93256,94309,93432,89518,97405,99512,96714,95723,85927,대전~비룡JC,92095,94021,-0.02048478531391923,92120.83333333333,95478.33333333333,0.39287860657016566,0.4032739478004263,0.0
비룡JC~옥천,소계,51196,56783,56717,59825,60430,59665,56406,59998,62588,60786,60485,54060,비룡JC~옥천,58226,59982,-0.029275449301457104,58244.916666666664,59664.0,0.24840398063914695,0.25200415614255905,0.0
옥천~동이옥천JC,소계,35124,40055,38392,40378,41653,40984,38194,41465,43943,42040,41628,37196,옥천~동이옥천JC,40070,42006,-0.04608865400180927,40087.666666666664,41200.666666666664,0.17096661038291314,0.1740201668651816,0.0
동이옥천JC~금강,소계,35124,40055,38392,40378,41653,40984,38194,41465,43943,42040,41628,37196,동이옥천JC~금강,40070,42006,-0.04608865400180927,40087.666666666664,41200.666666666664,0.17096661038291314,0.1740201668651816,0.0
