시도명,시군구명,관리기관,회사명,공장구분,단지명,공장주소,공장주소_지번,종업원합계,addr_raw,addr_gu,bjd7,prio,dong_list,bjd7_step2
경상남도,창원시 의창구,경상남도 창원시,대건산업,개별, ,경상남도 창원시 의창구 의안로49번길 19 (북동),경상남도 창원시 의창구 북동 93번지,3,경상남도 창원시 의창구 의안로49번길 19 (북동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,푸드타임,개별, ,경상남도 창원시 의창구 천주로12번길 39-15 (중동),경상남도 창원시 의창구 중동 444번지,2,경상남도 창원시 의창구 천주로12번길 39-15 (중동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)동아애드산업,개별, ,경상남도 창원시 의창구 천주로 6-2 (서상동),경상남도 창원시 의창구 서상동 339-1번지,2,경상남도 창원시 의창구 천주로 6-2 (서상동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,참벗축산,개별, ,경상남도 창원시 의창구 의창대로211번길 2 (서상동),경상남도 창원시 의창구 서상동 309-8번지,7,경상남도 창원시 의창구 의창대로211번길 2 (서상동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,참벗축산,개별, ,"경상남도 창원시 의창구 의창대로211번길 2,  지하 101호 (서상동)",경상남도 창원시 의창구 서상동 309-8번지 지하 101호,8,"경상남도 창원시 의창구 의창대로211번길 2,  지하 101호 (서상동)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,광명산업전기,개별, ,"경상남도 창원시 의창구 읍성로 59 (소답동, 송원상가)",경상남도 창원시 의창구 소답동 106-6번지,3,"경상남도 창원시 의창구 읍성로 59 (소답동, 송원상가)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,대건기술,개별, ,"경상남도 창원시 의창구 의안로56번길 26 (소답동, 북창상가)",경상남도 창원시 의창구 소답동 130-1번지,35,"경상남도 창원시 의창구 의안로56번길 26 (소답동, 북창상가)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,덕성전자(주),개별, ,"경상남도 창원시 의창구 의창대로289번길 23 (소답동, 덕성전자(주))",경상남도 창원시 의창구 소답동 142-6번지,23,"경상남도 창원시 의창구 의창대로289번길 23 (소답동, 덕성전자(주))",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,신아시스템(주),개별, ,"경상남도 창원시 의창구 읍성로 110,  신아빌 101호 (소답동)",경상남도 창원시 의창구 소답동 141-26번지 신아빌 101호,26,"경상남도 창원시 의창구 읍성로 110,  신아빌 101호 (소답동)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,카피텍,개별, ,"경상남도 창원시 의창구 읍성로67번길 30,  소답대림빌라 제1층상가 (소답동)",경상남도 창원시 의창구 소답동 126-1번지 소답대림빌라 제1층상가,2,"경상남도 창원시 의창구 읍성로67번길 30,  소답대림빌라 제1층상가 (소답동)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(유)범아산전,개별, ,경상남도 창원시 의창구 태복산로7번길 1 (도계동),경상남도 창원시 의창구 도계동 888-4번지,21,경상남도 창원시 의창구 태복산로7번길 1 (도계동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)다소원,개별, ,경상남도 창원시 의창구 태복산로27번길 36 (도계동),경상남도 창원시 의창구 도계동 410-16번지,3,경상남도 창원시 의창구 태복산로27번길 36 (도계동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)푸른세상,개별, ,"경상남도 창원시 의창구 도계로18번길 16,  101호 (도계동)",경상남도 창원시 의창구 도계동 337-2번지 신동우빌라 101호,3,"경상남도 창원시 의창구 도계로18번길 16,  101호 (도계동)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)한길,개별, ,"경상남도 창원시 의창구 도계로 41, 3층 301호 (도계동, 일호하이파이데파트)",경상남도 창원시 의창구 도계동 327-11번지 일호하이파이데파트 3층 301호,6,"경상남도 창원시 의창구 도계로 41, 3층 301호 (도계동, 일호하이파이데파트)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,간판백화점 삼광광고기획,개별, ,경상남도 창원시 의창구 원이대로93번길 29 (도계동),경상남도 창원시 의창구 도계동 411-10번지,7,경상남도 창원시 의창구 원이대로93번길 29 (도계동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,남경시계,개별, ,경상남도 창원시 의창구 도계로12번길 12 (도계동),경상남도 창원시 의창구 도계동 335-1번지,15,경상남도 창원시 의창구 도계로12번길 12 (도계동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,남성기획인쇄,개별, ,경상남도 창원시 의창구 원이대로121번길 31 (도계동),경상남도 창원시 의창구 도계동 904-7번지,11,경상남도 창원시 의창구 원이대로121번길 31 (도계동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,대농물산,개별, ,경상남도 창원시 의창구 도계두리길6번길 11-24 (도계동),경상남도 창원시 의창구 도계동 305-7번지,2,경상남도 창원시 의창구 도계두리길6번길 11-24 (도계동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,동성제면,개별, ,경상남도 창원시 의창구 원이대로93번길 25 (도계동),경상남도 창원시 의창구 도계동 410-3번지,5,경상남도 창원시 의창구 원이대로93번길 25 (도계동),의창구,,0.0,,
