adm9,adm_nm,stop_density_500m,qol_transit_z,qol_transit_0_100,z_access_index,area_km2,n_factories,emp_sum,factories_per_km2,emp_per_km2,youth20_39_2024,pop_total,rent_p50,rent_mean,reliability
481212500,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284,3234.0,18279.0,,,
481213100,경상남도 창원시의창구 북면,3.0726463155503483,-2.4180312861094,22.618259463364105,-2.4180312861094,74.44841220801628,153.0,1286.0,2.0551143464618526,17.273706206208775,8676.0,42941.0,7.248877148929625e-05,7.7826126291794e-05,ok
481213200,경상남도 창원시의창구 대산면,3.9960241704126696,-2.2495518980782334,26.29989681257713,-2.2495518980782334,32.99660868382607,238.0,3052.0,7.212862457488256,92.4943538666141,930.0,6674.0,,,
481215100,경상남도 창원시의창구 의창동,16.000154944251374,-0.7793916316693821,58.42606375436666,-0.7793916316693822,7.616710119203808,0.0,0.0,0.0,0.0,11348.0,48537.0,0.0001092253402789,0.0001182788635442,ok
481215200,경상남도 창원시의창구 팔룡동,12.66507923755423,-0.0333094556033448,74.72956554818089,-0.0333094556033448,14.591296089501496,0.0,0.0,0.0,0.0,6652.0,24886.0,9.171252292813048e-05,0.0001022410907561,ok
481215300,경상남도 창원시의창구 명곡동,13.539575110787895,-0.0568618377789847,74.21489529151582,-0.0568618377789846,6.935084145314847,0.0,0.0,0.0,0.0,9173.0,39104.0,6.284212459298075e-05,7.848557522802116e-05,low_flag
481215400,경상남도 창원시의창구 봉림동,8.600364170030238,0.4771869509960897,85.88501108450868,0.4771869509960897,12.66002993702247,0.0,0.0,0.0,0.0,8412.0,29274.0,0.0002345324330096,0.0002166441678692,medium_flag
481235100,경상남도 창원시성산구 반송동,36.45659910197534,0.6324193010822248,89.27717213496017,0.6324193010822249,4.558353925967395,0.0,0.0,0.0,0.0,8400.0,39004.0,0.0001116002729613,0.0001128308141771,ok
481235200,경상남도 창원시성산구 중앙동,16.85050574289173,0.9298466264989428,95.77659952917745,0.9298466264989428,4.623897153116543,11.0,51.0,2.3789456460089977,11.029657086041716,13001.0,37763.0,0.0001301327993289,0.0001353257058353,ok
481235300,경상남도 창원시성산구 상남동,45.65990267192321,0.9602304811475408,96.44055216691284,0.9602304811475408,1.1813642588248396,6.0,73.0,5.078873814896424,61.792964747906495,6488.0,26359.0,0.000106582537517,0.0001257819409286,ok
481235400,경상남도 창원시성산구 사파동,16.325413506436625,0.980126647473426,96.87532623576205,0.9801266474734264,6.48581798804324,0.0,0.0,0.0,0.0,11885.0,44547.0,7.828282828282825e-05,8.639718476756207e-05,ok
481235500,경상남도 창원시성산구 가음정동,32.28509646938045,0.6353970703983169,89.3422428053821,0.635397070398317,2.9393130963633403,2.0,3215.0,0.6804310852336541,1093.792969513099,10021.0,37505.0,8.642284569138275e-05,9.518577422221156e-05,ok
481235600,경상남도 창원시성산구 성주동,3.46700938372836,0.1548011602019718,78.8401874884992,0.1548011602019718,25.930436309050187,129.0,10738.0,4.974848801714018,414.1079568434506,6572.0,26113.0,9.60534558362915e-05,9.613871822169148e-05,medium_flag
481235700,경상남도 창원시성산구 웅남동,2.9420995231747957,-0.2739556172636539,69.47092882669983,-0.2739556172636539,39.38494951597847,396.0,8664.0,10.054602198724233,219.98250871148167,1564.0,7031.0,,,
481235100,경상남도 창원시성산구 용지동,36.45659910197534,0.9407331392583822,96.01449327063868,0.9407331392583824,4.558353925967395,0.0,0.0,0.0,0.0,8400.0,39004.0,0.0001116002729613,0.0001128308141771,ok
