adm9,last_year,last_value,avg_growth_per_year,demand_inc_12m,demand_inc_18m,구명,supply_12m,supply_18m,gap_12m,gap_18m,기준월
481212500,2024.0,3234.0,-231.66666666666666,-231.66666666666666,-347.5,0,0.0,0.0,-231.66666666666666,-347.5,2024-12
481213100,2024.0,8676.0,-790.3333333333334,-790.3333333333334,-1185.5,0,0.0,0.0,-790.3333333333334,-1185.5,2024-12
481213200,2024.0,930.0,-102.66666666666667,-102.66666666666667,-154.0,0,0.0,0.0,-102.66666666666667,-154.0,2024-12
481215100,2024.0,11348.0,-708.3333333333334,-708.3333333333334,-1062.5,0,0.0,0.0,-708.3333333333334,-1062.5,2024-12
481215200,2024.0,6652.0,-290.3333333333333,-290.3333333333333,-435.5,0,0.0,0.0,-290.3333333333333,-435.5,2024-12
481215300,2024.0,9173.0,-396.3333333333333,-396.3333333333333,-594.5,0,0.0,0.0,-396.3333333333333,-594.5,2024-12
481215400,2024.0,8412.0,-40.0,-40.0,-60.0,0,0.0,0.0,-40.0,-60.0,2024-12
481235100,2024.0,8400.0,-440.0,-440.0,-660.0,0,0.0,0.0,-440.0,-660.0,2024-12
481235150,2024.0,6768.0,-576.3333333333334,-576.3333333333334,-864.5,0,0.0,0.0,-576.3333333333334,-864.5,2024-12
481235200,2024.0,13001.0,265.0,265.0,397.5,0,0.0,0.0,265.0,397.5,2024-12
481235300,2024.0,6488.0,-292.0,-292.0,-438.0,0,0.0,0.0,-292.0,-438.0,2024-12
481235400,2024.0,11885.0,-162.66666666666666,-162.66666666666666,-244.0,0,0.0,0.0,-162.66666666666666,-244.0,2024-12
481235500,2024.0,10021.0,-617.0,-617.0,-925.5,0,0.0,0.0,-617.0,-925.5,2024-12
481235600,2024.0,6572.0,-225.33333333333334,-225.33333333333334,-338.0,0,0.0,0.0,-225.33333333333334,-338.0,2024-12
481235700,2024.0,1564.0,-102.0,-102.0,-153.0,0,0.0,0.0,-102.0,-153.0,2024-12
481253100,2024.0,397.0,-46.0,-46.0,-69.0,0,0.0,0.0,-46.0,-69.0,2024-12
481253200,2024.0,1821.0,-174.33333333333334,-174.33333333333334,-261.5,0,0.0,0.0,-174.33333333333334,-261.5,2024-12
481253300,2024.0,295.0,-45.0,-45.0,-67.5,0,0.0,0.0,-45.0,-67.5,2024-12
481253400,2024.0,297.0,-24.0,-24.0,-36.0,0,0.0,0.0,-24.0,-36.0,2024-12
481255100,2024.0,2415.0,-315.6666666666667,-315.6666666666667,-473.5,0,0.0,0.0,-315.6666666666667,-473.5,2024-12
481255200,2024.0,1728.0,428.6666666666667,428.6666666666667,643.0,0,0.0,0.0,428.6666666666667,643.0,2024-12
481255300,2024.0,9406.0,-633.0,-633.0,-949.5,0,0.0,0.0,-633.0,-949.5,2024-12
481255400,2024.0,2750.0,3.6666666666666665,3.6666666666666665,5.5,0,0.0,0.0,3.6666666666666665,5.5,2024-12
481255650,2024.0,2325.0,-194.33333333333334,-194.33333333333334,-291.5,0,0.0,0.0,-194.33333333333334,-291.5,2024-12
481255700,2024.0,1502.0,-113.66666666666667,-113.66666666666667,-170.5,0,0.0,0.0,-113.66666666666667,-170.5,2024-12
481255800,2024.0,1464.0,-164.66666666666666,-164.66666666666666,-247.0,0,0.0,0.0,-164.66666666666666,-247.0,2024-12
481256100,2024.0,4294.0,242.66666666666666,242.66666666666666,364.0,0,0.0,0.0,242.66666666666666,364.0,2024-12
481256300,2024.0,3326.0,-262.0,-262.0,-393.0,0,0.0,0.0,-262.0,-393.0,2024-12
481256400,2024.0,1211.0,-121.33333333333333,-121.33333333333333,-182.0,0,0.0,0.0,-121.33333333333333,-182.0,2024-12
481256500,2024.0,2280.0,-137.33333333333334,-137.33333333333334,-206.0,0,0.0,0.0,-137.33333333333334,-206.0,2024-12
481272500,2024.0,11809.0,-767.0,-767.0,-1150.5,0,0.0,0.0,-767.0,-1150.5,2024-12
481275100,2024.0,1413.0,-117.33333333333333,-117.33333333333333,-176.0,0,0.0,0.0,-117.33333333333333,-176.0,2024-12
481275200,2024.0,2016.0,-125.66666666666667,-125.66666666666667,-188.5,0,0.0,0.0,-125.66666666666667,-188.5,2024-12
481275450,2024.0,3233.0,-231.66666666666666,-231.66666666666666,-347.5,0,0.0,0.0,-231.66666666666666,-347.5,2024-12
481275500,2024.0,760.0,-94.0,-94.0,-141.0,0,0.0,0.0,-94.0,-141.0,2024-12
481275600,2024.0,2001.0,-161.33333333333334,-161.33333333333334,-242.0,0,0.0,0.0,-161.33333333333334,-242.0,2024-12
481275700,2024.0,6831.0,-68.33333333333333,-68.33333333333333,-102.5,0,0.0,0.0,-68.33333333333333,-102.5,2024-12
481275800,2024.0,1877.0,-148.66666666666666,-148.66666666666666,-223.0,0,0.0,0.0,-148.66666666666666,-223.0,2024-12
481275900,2024.0,1882.0,87.33333333333333,87.33333333333333,131.0,0,0.0,0.0,87.33333333333333,131.0,2024-12
481276000,2024.0,1378.0,-118.0,-118.0,-177.0,0,0.0,0.0,-118.0,-177.0,2024-12
481276100,2024.0,1884.0,-118.66666666666667,-118.66666666666667,-178.0,0,0.0,0.0,-118.66666666666667,-178.0,2024-12
481276200,2024.0,511.0,-48.666666666666664,-48.666666666666664,-73.0,0,0.0,0.0,-48.666666666666664,-73.0,2024-12
481295300,2024.0,3720.0,-193.0,-193.0,-289.5,0,0.0,0.0,-193.0,-289.5,2024-12
481295400,2024.0,1291.0,-62.666666666666664,-62.666666666666664,-94.0,0,0.0,0.0,-62.666666666666664,-94.0,2024-12
481295500,2024.0,563.0,-49.666666666666664,-49.666666666666664,-74.5,0,0.0,0.0,-49.666666666666664,-74.5,2024-12
481295600,2024.0,1984.0,-170.0,-170.0,-255.0,0,0.0,0.0,-170.0,-255.0,2024-12
481295700,2024.0,1271.0,-80.33333333333333,-80.33333333333333,-120.5,0,0.0,0.0,-80.33333333333333,-120.5,2024-12
481295800,2024.0,3951.0,-109.33333333333333,-109.33333333333333,-164.0,0,0.0,0.0,-109.33333333333333,-164.0,2024-12
481295900,2024.0,1868.0,-63.333333333333336,-63.333333333333336,-95.0,0,0.0,0.0,-63.333333333333336,-95.0,2024-12
481296000,2024.0,4158.0,-335.3333333333333,-335.3333333333333,-503.0,0,0.0,0.0,-335.3333333333333,-503.0,2024-12
481296100,2024.0,2031.0,-126.33333333333333,-126.33333333333333,-189.5,0,0.0,0.0,-126.33333333333333,-189.5,2024-12
481296200,2024.0,4591.0,-376.3333333333333,-376.3333333333333,-564.5,0,0.0,0.0,-376.3333333333333,-564.5,2024-12
481296300,2024.0,3360.0,-86.33333333333333,-86.33333333333333,-129.5,0,0.0,0.0,-86.33333333333333,-129.5,2024-12
481296400,2024.0,1585.0,44.0,44.0,66.0,0,0.0,0.0,44.0,66.0,2024-12
481296500,2024.0,9930.0,-469.3333333333333,-469.3333333333333,-704.0,0,0.0,0.0,-469.3333333333333,-704.0,2024-12
