대지위치,sigunguCd,bjdongCd,구명,허가일,expected_completion,용도코드명,건물명,세대수,apt_group,관리주택대장PK,허가월,준공예정월
경상남도 창원시 성산구 사파정동 1127번지,48123,10200,성산구,2019-12-26,2022-06-01,공동주택,성산반도 유보라 아이비파크,1045,APT,12523000026192,2019-12-01,2022-06
경상남도 창원시 성산구 외동 853-16번지,48123,10400,성산구,2006-05-26,2008-11-01,공동주택,월드메르디앙 이스턴애비뉴,439,APT,1252415,2006-05-01,2008-11
경상남도 창원시 성산구 외동 853-17번지,48123,10400,성산구,2011-10-07,2014-04-01,공동주택,외동아파트 신축공사,52,APT,12523000002804,2011-10-01,2014-04
경상남도 창원시 성산구 외동 853-22번지,48123,10400,성산구,2007-09-04,2010-03-01,공동주택,,0,APT,1252589,2007-09-01,2010-03
경상남도 창원시 성산구 외동 853-36번지,48123,10400,성산구,2002-03-28,2004-09-01,공동주택,한일유엔아이 오르젠아파트,120,APT,125222,2002-03-01,2004-09
경상남도 창원시 성산구 대방동 357번지,48123,10500,성산구,2001-12-11,2004-06-01,공동주택,개나리1차아파트,1005,APT,125217,2001-12-01,2004-06
경상남도 창원시 성산구 대방동 358번지,48123,10500,성산구,2002-01-09,2004-07-01,공동주택,대동훼밀리코아상가,1835,APT,125233,2002-01-01,2004-07
경상남도 창원시 성산구 대방동 358번지,48123,10500,성산구,2002-01-09,2004-07-01,공동주택,대동훼밀리코아상가,1835,APT,125234,2002-01-01,2004-07
경상남도 창원시 성산구 대방동 358번지,48123,10500,성산구,2001-11-13,2004-05-01,공동주택,대방대동아파트,1835,APT,125210,2001-11-01,2004-05
경상남도 창원시 성산구 대방동 375번지,48123,10500,성산구,2002-01-17,2004-07-01,공동주택,덕산2차아파트,586,APT,125235,2002-01-01,2004-07
경상남도 창원시 성산구 남산동 601-1번지,48123,10600,성산구,2002-02-09,2004-08-01,공동주택,대우조선아파트,0,APT,125237,2002-02-01,2004-08
경상남도 창원시 성산구 남산동 601-26번지,48123,10600,성산구,2014-12-18,2017-06-01,공동주택,남산 효성해링턴 플레이스,460,APT,12523000017185,2014-12-01,2017-06
경상남도 창원시 성산구 천선동 1157번지,48123,10800,성산구,2002-11-08,2005-05-01,공동주택,천선동 아파트,60,APT,125224,2002-11-01,2005-05
경상남도 창원시 성산구 안민동 56-1번지,48123,11000,성산구,2002-03-17,2004-09-01,공동주택,삼성그린뷰아파트,68,APT,125221,2002-03-01,2004-09
경상남도 창원시 성산구 안민동 108번지,48123,11000,성산구,2024-03-12,2026-09-01,공동주택,대동한솔아파트,0,APT,1000000000000000179709,2024-03-01,2026-09
경상남도 창원시 성산구 안민동 150번지,48123,11000,성산구,2003-02-21,2005-08-01,공동주택,안민 한스빌,71,APT,1252140,2003-02-01,2005-08
경상남도 창원시 성산구 안민동 614-2번지,48123,11000,성산구,2020-12-09,2023-06-01,공동주택,성산 삼정그린코아 웰레스트,608,APT,12523000028952,2020-12-01,2023-06
경상남도 창원시 성산구 안민동 614-2번지,48123,11000,성산구,2020-12-09,2023-06-01,공동주택,창원안민 공공지원 민간임대주택(2단지:BL1-2),608,APT,1000000000000000212799,2020-12-01,2023-06
경상남도 창원시 성산구 안민동 산3-4번지,48123,11000,성산구,2016-08-30,2019-02-01,공동주택,안민동공동주택,172,APT,12523000020907,2016-08-01,2019-02
경상남도 창원시 성산구 안민동 산3-4번지,48123,11000,성산구,2016-08-30,2019-02-01,공동주택,안민동공동주택,172,APT,12523000020908,2016-08-01,2019-02
경상남도 창원시 성산구 안민동 산35번지,48123,11000,성산구,2020-12-08,2023-06-01,공동주택,성산 삼정그린코아 포레스트,401,APT,12523000028932,2020-12-01,2023-06
경상남도 창원시 성산구 내동 452-14번지,48123,11100,성산구,2006-05-26,2008-11-01,공동주택,창원 월드메르디앙 웨스턴애비뉴,504,APT,1252414,2006-05-01,2008-11
경상남도 창원시 성산구 내동 454-1번지,48123,11100,성산구,2024-10-11,2027-04-01,공동주택,내2구역 재건축정비사업,1048,APT,1000000000000000209093,2024-10-01,2027-04
경상남도 창원시 성산구 신촌동 21-6번지,48123,12300,성산구,2018-02-12,2020-08-01,,동성아파트,0,APT,12523000022448,2018-02-01,2020-08
경상남도 창원시 성산구 신촌동 33-1번지,48123,12300,성산구,2004-05-10,2006-11-01,공동주택,동부산아이존빌아파트,84,APT,1252245,2004-05-01,2006-11
경상남도 창원시 성산구 신촌동 33-8번지,48123,12300,성산구,2006-05-02,2008-11-01,공동주택,창원 신촌동원로얄듀크,225,APT,1252413,2006-05-01,2008-11
경상남도 창원시 성산구 신촌동 33-10번지,48123,12300,성산구,2007-10-12,2010-04-01,공동주택,창원신촌2차동원로얄듀크,31,APT,1252500,2007-10-01,2010-04
경상남도 창원시 성산구 신촌동 34-1번지,48123,12300,성산구,2018-12-12,2021-06-01,공동주택,신촌2구역주택재건축정비사업,258,APT,12523000023792,2018-12-01,2021-06
경상남도 창원시 성산구 신촌동 34-2번지,48123,12300,성산구,2004-05-10,2006-11-01,공동주택,동부산아이존빌아파트,111,APT,1252246,2004-05-01,2006-11
경상남도 창원시 성산구 중앙동 19-10번지,48123,12500,성산구,2014-12-23,2017-06-01,단독주택,,1,APT,12523000017205,2014-12-01,2017-06
경상남도 창원시 성산구 중앙동 99-4번지,48123,12500,성산구,2025-03-14,2027-09-01,공동주택,창원특례시 성산구 중앙동 주상복합,519,APT,1000000000000000231759,2025-03-01,2027-09
경상남도 창원시 성산구 중앙동 528번지,48123,12500,성산구,2021-09-07,2024-03-01,공동주택,대상공원 특례사업지구 공동주택 신축공사,1779,APT,12523000031172,2021-09-01,2024-03
경상남도 창원시 성산구 반림동 10번지,48123,12600,성산구,2003-06-25,2005-12-01,공동주택,노블파크아파트,2699,APT,1252100003721,2003-06-01,2005-12
경상남도 창원시 성산구 반림동 18번지,48123,12600,성산구,2002-12-31,2005-06-01,공동주택,트리비앙아파트,2610,APT,125226,2002-12-01,2005-06
경상남도 창원시 성산구 반림동 18번지,48123,12600,성산구,2003-01-22,2005-07-01,공동주택,창원 반송아파트 2단지,2610,APT,1252139,2003-01-01,2005-07
경상남도 창원시 성산구 반림동 18번지,48123,12600,성산구,2016-01-20,2018-07-01,공동주택,트리비앙 아파트,0,APT,12523000019827,2016-01-01,2018-07
경상남도 창원시 성산구 반림동 22번지,48123,12600,성산구,2002-12-30,2005-06-01,제1종근린생활시설,트리비앙아파트,0,APT,125227,2002-12-01,2005-06
경상남도 창원시 성산구 반림동 24번지,48123,12600,성산구,2004-03-26,2006-09-01,제1종근린생활시설,트리비앙아파트,0,APT,125228,2004-03-01,2006-09
경상남도 창원시 성산구 상남동 44-1번지,48123,12700,성산구,2010-02-01,2012-08-01,,대동아파트,0,APT,1252100006442,2010-02-01,2012-08
경상남도 창원시 성산구 상남동 45-1번지,48123,12700,성산구,2001-11-13,2004-05-01,공동주택,토월성원아파트,0,APT,125211,2001-11-01,2004-05
경상남도 창원시 성산구 상남동 45-1번지,48123,12700,성산구,2012-11-02,2015-05-01,,성원아파트,0,APT,12523000008144,2012-11-01,2015-05
경상남도 창원시 성산구 상남동 63번지,48123,12700,성산구,2022-07-15,2025-01-01,공동주택,상남1구역 재건축,728,APT,12523000033852,2022-07-01,2025-01
경상남도 창원시 성산구 상남동 65-1번지,48123,12700,성산구,2010-12-07,2013-06-01,공동주택,상남 꿈에그린,812,APT,12523000000783,2010-12-01,2013-06
경상남도 창원시 성산구 성주동 102번지,48123,12800,성산구,2000-11-30,2003-05-01,공동주택,창원시 성주지구 한림아파트,520,APT,12522,2000-11-01,2003-05
경상남도 창원시 성산구 성주동 153번지,48123,12800,성산구,2002-07-15,2005-01-01,공동주택,유니온빌리지,1360,APT,125225,2002-07-01,2005-01
경상남도 창원시 성산구 성주동 157번지,48123,12800,성산구,2012-02-22,2014-08-01,공동주택,성주 효성해링턴 코트,365,APT,12523000004324,2012-02-01,2014-08
경상남도 창원시 성산구 성주동 168번지,48123,12800,성산구,2019-09-04,2022-03-01,공동주택,프리빌리지2차아파트,0,APT,12523000025292,2019-09-01,2022-03
경상남도 창원시 성산구 성주동 169번지,48123,12800,성산구,2014-02-06,2016-08-01,공동주택,성주 중앙 블루아템,64,APT,12523000014585,2014-02-01,2016-08
경상남도 창원시 성산구 성주동 블록,48123,12800,성산구,2006-11-16,2009-05-01,공동주택,루이젠하우스,88,APT,1252417,2006-11-01,2009-05
경상남도 창원시 성산구 성주동 블록,48123,12800,성산구,2007-11-07,2010-05-01,공동주택,프리빌리지 2차,672,APT,1252100003741,2007-11-01,2010-05
경상남도 창원시 성산구 성주동 블록,48123,12800,성산구,2000-11-30,2003-05-01,공동주택,창원시 성주지구 한림아파트,508,APT,12523,2000-11-01,2003-05
경상남도 창원시 성산구 사파동 141번지,48123,13000,성산구,2001-12-28,2004-06-01,공동주택,삼익아파트,570,APT,125219,2001-12-01,2004-06
