adm9,gu_nm,emd_nm,area_km2,n_factories,emp_sum,factories_per_km2,emp_per_km2
481212500,창원시 의창구,동읍,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481213100,창원시 의창구,북면,74.44841220801628,153.0,1286.0,2.0551143464618526,17.273706206208775
481213200,창원시 의창구,대산면,32.99660868382607,238.0,3052.0,7.212862457488256,92.4943538666141
481215100,창원시 의창구,의창동,7.616710119203808,0.0,0.0,0.0,0.0
481215200,창원시 의창구,팔룡동,14.591296089501496,0.0,0.0,0.0,0.0
481215300,창원시 의창구,명곡동,6.935084145314847,0.0,0.0,0.0,0.0
481215400,창원시 의창구,봉림동,12.66002993702247,0.0,0.0,0.0,0.0
481235100,창원시 성산구,반송동,4.558353925967395,0.0,0.0,0.0,0.0
481235150,창원시 성산구,용지동,0.0,0.0,0.0,0.0,0.0
481235200,창원시 성산구,중앙동,4.623897153116543,11.0,51.0,2.3789456460089977,11.029657086041716
481235300,창원시 성산구,상남동,1.1813642588248396,6.0,73.0,5.078873814896424,61.792964747906495
481235400,창원시 성산구,사파동,6.48581798804324,0.0,0.0,0.0,0.0
481235500,창원시 성산구,가음정동,2.9393130963633403,2.0,3215.0,0.6804310852336541,1093.792969513099
481235600,창원시 성산구,성주동,25.930436309050187,129.0,10738.0,4.974848801714018,414.1079568434506
481235700,창원시 성산구,웅남동,39.38494951597847,396.0,8664.0,10.054602198724233,219.98250871148167
481253100,창원시 마산합포구,구산면,51.77233474163213,13.0,135.0,0.2510993576951089,2.607570252987669
481253200,창원시 마산합포구,진동면,33.74635181154343,45.0,403.0,1.333477474877954,11.942031608351456
481253300,창원시 마산합포구,진북면,46.57420258438204,241.0,4501.0,5.174538405963299,96.64148284332283
481253400,창원시 마산합포구,진전면,78.74277385989463,42.0,634.0,0.5333822767626871,8.051532463512943
481255100,창원시 마산합포구,현동,19.90898590966753,1.0,1541.0,0.0502285754049589,77.40223469904167
481255200,창원시 마산합포구,가포동,5.40383729708286,17.0,407.0,3.145912629378584,75.31684942100492
481255300,창원시 마산합포구,월영동,2.668567416915512,2.0,9.0,0.749465794764038,3.372596076438171
481255400,창원시 마산합포구,문화동,1.8641473556479893,2.0,7.0,1.072876558787268,3.755067955755438
481255650,창원시 마산합포구,반월중앙동,1.096360503434536,0.0,0.0,0.0,0.0
481255700,창원시 마산합포구,완월동,2.4847946471484814,0.0,0.0,0.0,0.0
481255800,창원시 마산합포구,자산동,1.174023379264312,1.0,3.0,0.8517717940392621,2.555315382117786
481256100,창원시 마산합포구,교방동,2.994766714963993,2.0,11.0,0.667831651128808,3.673074081208444
481256300,창원시 마산합포구,오동동,1.756387446691896,10.0,146.0,5.6935045959447645,83.12516710079356
481256400,창원시 마산합포구,합포동,0.5740587461794749,0.0,0.0,0.0,0.0
481256500,창원시 마산합포구,산호동,0.8730999071986487,23.0,175.0,26.34291884624724,200.4352520910116
481272500,창원시 마산회원구,내서읍,56.23149825086047,299.0,3080.0,5.317304523278012,54.77357167791397
481275100,창원시 마산회원구,회원1동,0.6794338253312908,0.0,0.0,0.0,0.0
481275200,창원시 마산회원구,회원2동,4.57652881349598,0.0,0.0,0.0,0.0
481275450,창원시 마산회원구,석전동,2.091859646223977,6.0,61.0,2.868261267351574,29.16065621807434
481275500,창원시 마산회원구,회성동,8.51579516003707,6.0,31.0,0.704573077116369,3.640294231767906
481275600,창원시 마산회원구,양덕1동,1.0136561828730928,0.0,0.0,0.0,0.0
481275700,창원시 마산회원구,양덕2동,1.689499857927658,0.0,0.0,0.0,0.0
481275800,창원시 마산회원구,합성1동,4.049660625006455,0.0,0.0,0.0,0.0
481275900,창원시 마산회원구,합성2동,2.5433769971042564,0.0,0.0,0.0,0.0
481276000,창원시 마산회원구,구암1동,3.469521803163684,0.0,0.0,0.0,0.0
481276100,창원시 마산회원구,구암2동,0.763466903338133,0.0,0.0,0.0,0.0
481276200,창원시 마산회원구,봉암동,5.643485822481849,494.0,4872.0,87.53455143487052,863.2962238677919
481295300,창원시 진해구,충무동,18.11170633439408,1.0,1.0,0.0552129093491872,0.0552129093491872
481295400,창원시 진해구,여좌동,4.69937928600607,2.0,7.0,0.4255881209579423,1.489558423352798
481295500,창원시 진해구,태백동,1.2199159795975612,0.0,0.0,0.0,0.0
481295600,창원시 진해구,경화동,3.0384732518894952,11.0,81.0,3.620239208345697,26.65812507963649
481295700,창원시 진해구,병암동,1.2326705180290782,0.0,0.0,0.0,0.0
481295800,창원시 진해구,석동,2.256081129982584,5.0,95.0,2.2162323568738853,42.10841478060382
481295900,창원시 진해구,이동,0.9033662075415724,10.0,141.0,11.0697078510542,156.0828806998642
481296000,창원시 진해구,자은동,5.436354491340588,3.0,18.0,0.5518403931860244,3.311042359116146
481296100,창원시 진해구,덕산동,2.4264261599864647,1.0,3.0,0.4121287581261398,1.2363862743784195
481296200,창원시 진해구,풍호동,8.563916293578602,6.0,172.0,0.700614040856392,20.08426917121657
481296300,창원시 진해구,웅천동,28.15885023878012,3.0,24.0,0.1065384408298186,0.852307526638549
481296400,창원시 진해구,웅동1동,32.352961683839226,0.0,0.0,0.0,0.0
481296500,창원시 진해구,웅동2동,15.263792758171844,0.0,0.0,0.0,0.0
