adm9,yyyymm,pop_total
481212500,202012,20051.0
481212500,202101,20005.0
481212500,202102,19921.0
481212500,202103,19896.0
481212500,202104,19881.0
481212500,202105,19875.0
481212500,202106,19831.0
481212500,202107,19815.0
481212500,202108,19774.0
481212500,202109,19803.0
481212500,202110,19756.0
481212500,202111,19802.0
481212500,202112,19769.0
481212500,202201,19751.0
481212500,202202,19686.0
481212500,202203,19629.0
481212500,202204,19615.0
481212500,202205,19591.0
481212500,202206,19584.0
481212500,202207,19596.0
481212500,202208,19536.0
481212500,202209,19541.0
481212500,202210,19516.0
481212500,202211,19469.0
481212500,202212,19391.0
481212500,202301,19332.0
481212500,202302,19271.0
481212500,202303,19209.0
481212500,202304,19188.0
481212500,202305,19125.0
481212500,202306,19070.0
481212500,202307,19043.0
481212500,202308,19025.0
481212500,202309,18991.0
481212500,202310,18948.0
481212500,202311,18926.0
481212500,202312,18854.0
481212500,202401,18817.0
481212500,202402,18776.0
481212500,202403,18732.0
481212500,202404,18692.0
481212500,202405,18654.0
481212500,202406,18585.0
481212500,202407,18528.0
481212500,202408,18431.0
481212500,202409,18368.0
481212500,202410,18362.0
481212500,202411,18296.0
481212500,202412,18279.0
481213100,202012,43411.0
481213100,202101,43429.0
481213100,202102,43411.0
481213100,202103,43411.0
481213100,202104,43444.0
481213100,202105,43447.0
481213100,202106,43427.0
481213100,202107,43440.0
481213100,202108,43445.0
481213100,202109,43426.0
481213100,202110,43363.0
481213100,202111,43392.0
481213100,202112,43422.0
481213100,202201,43356.0
481213100,202202,43297.0
481213100,202203,43196.0
481213100,202204,43114.0
481213100,202205,43003.0
481213100,202206,42997.0
481213100,202207,43008.0
481213100,202208,42995.0
481213100,202209,42991.0
481213100,202210,43005.0
481213100,202211,43088.0
481213100,202212,43092.0
481213100,202301,43095.0
481213100,202302,43092.0
481213100,202303,43118.0
481213100,202304,43161.0
481213100,202305,43172.0
481213100,202306,43220.0
481213100,202307,43258.0
481213100,202308,43302.0
481213100,202309,43271.0
481213100,202310,43229.0
481213100,202311,43181.0
481213100,202312,43163.0
481213100,202401,43149.0
481213100,202402,43178.0
481213100,202403,43114.0
481213100,202404,43109.0
481213100,202405,43128.0
481213100,202406,43049.0
481213100,202407,43000.0
481213100,202408,43032.0
481213100,202409,43007.0
481213100,202410,42976.0
481213100,202411,42958.0
481213100,202412,42941.0
481213200,202012,7225.0
481213200,202101,7210.0
481213200,202102,7205.0
481213200,202103,7170.0
481213200,202104,7149.0
481213200,202105,7145.0
481213200,202106,7133.0
481213200,202107,7159.0
481213200,202108,7145.0
481213200,202109,7129.0
481213200,202110,7124.0
481213200,202111,7108.0
481213200,202112,7118.0
481213200,202201,7112.0
481213200,202202,7111.0
481213200,202203,7100.0
481213200,202204,7097.0
481213200,202205,7078.0
481213200,202206,7078.0
481213200,202207,7069.0
481213200,202208,7038.0
481213200,202209,7013.0
481213200,202210,7004.0
481213200,202211,6980.0
481213200,202212,6956.0
481213200,202301,6948.0
481213200,202302,6923.0
481213200,202303,6918.0
481213200,202304,6898.0
481213200,202305,6891.0
481213200,202306,6851.0
481213200,202307,6841.0
481213200,202308,6836.0
481213200,202309,6839.0
481213200,202310,6828.0
481213200,202311,6813.0
481213200,202312,6789.0
481213200,202401,6770.0
481213200,202402,6759.0
481213200,202403,6755.0
481213200,202404,6734.0
481213200,202405,6726.0
481213200,202406,6721.0
481213200,202407,6715.0
481213200,202408,6708.0
481213200,202409,6701.0
481213200,202410,6698.0
481213200,202411,6659.0
481213200,202412,6674.0
481215100,202012,50992.0
481215100,202101,50978.0
481215100,202102,50855.0
481215100,202103,50764.0
481215100,202104,50736.0
481215100,202105,50765.0
481215100,202106,50728.0
481215100,202107,50677.0
481215100,202108,50547.0
481215100,202109,50470.0
481215100,202110,50479.0
481215100,202111,50410.0
481215100,202112,50348.0
481215100,202201,50334.0
481215100,202202,50257.0
481215100,202203,50145.0
481215100,202204,50092.0
481215100,202205,50061.0
481215100,202206,50049.0
481215100,202207,50091.0
481215100,202208,50044.0
481215100,202209,50016.0
481215100,202210,50062.0
481215100,202211,50109.0
481215100,202212,50093.0
481215100,202301,50102.0
481215100,202302,50005.0
481215100,202303,49888.0
481215100,202304,49843.0
481215100,202305,49784.0
481215100,202306,49797.0
481215100,202307,49736.0
481215100,202308,49675.0
481215100,202309,49593.0
481215100,202310,49530.0
481215100,202311,49517.0
