adm9,year,youth20_39_persons
481212500,2020,4080.0
481212500,2021,3929.0
481212500,2022,3704.0
481212500,2023,3461.0
481212500,2024,3234.0
481213100,2020,12085.0
481213100,2021,11047.0
481213100,2022,10008.0
481213100,2023,9295.0
481213100,2024,8676.0
481213200,2020,1310.0
481213200,2021,1238.0
481213200,2022,1111.0
481213200,2023,1007.0
481213200,2024,930.0
481215100,2020,14238.0
481215100,2021,13473.0
481215100,2022,12670.0
481215100,2023,12005.0
481215100,2024,11348.0
481215200,2020,11173.0
481215200,2021,7523.0
481215200,2022,7223.0
481215200,2023,7008.0
481215200,2024,6652.0
481215300,2020,10994.0
481215300,2021,10362.0
481215300,2022,9891.0
481215300,2023,9311.0
481215300,2024,9173.0
481215400,2020,8619.0
481215400,2021,8532.0
481215400,2022,8490.0
481215400,2023,8606.0
481215400,2024,8412.0
481235100,2020,10295.0
481235100,2021,9720.0
481235100,2022,9084.0
481235100,2023,8854.0
481235100,2024,8400.0
481235150,2020,0.0
481235150,2021,8497.0
481235150,2022,7547.0
481235150,2023,7193.0
481235150,2024,6768.0
481235200,2020,8793.0
481235200,2021,12206.0
481235200,2022,12163.0
481235200,2023,12110.0
481235200,2024,13001.0
481235300,2020,7725.0
481235300,2021,7364.0
481235300,2022,6908.0
481235300,2023,6774.0
481235300,2024,6488.0
481235400,2020,12962.0
481235400,2021,12373.0
481235400,2022,13014.0
481235400,2023,12583.0
481235400,2024,11885.0
481235500,2020,12413.0
481235500,2021,11872.0
481235500,2022,11275.0
481235500,2023,10505.0
481235500,2024,10021.0
481235600,2020,7525.0
481235600,2021,7248.0
481235600,2022,6859.0
481235600,2023,6476.0
481235600,2024,6572.0
481235700,2020,1969.0
481235700,2021,1870.0
481235700,2022,1823.0
481235700,2023,1753.0
481235700,2024,1564.0
481253100,2020,606.0
481253100,2021,535.0
481253100,2022,494.0
481253100,2023,442.0
481253100,2024,397.0
481253200,2020,2594.0
481253200,2021,2344.0
481253200,2022,2124.0
481253200,2023,1970.0
481253200,2024,1821.0
481253300,2020,482.0
481253300,2021,430.0
481253300,2022,379.0
481253300,2023,325.0
481253300,2024,295.0
481253400,2020,429.0
481253400,2021,369.0
481253400,2022,346.0
481253400,2023,318.0
481253400,2024,297.0
