adm9,yyyymm,year,rent_p50,rent_mean,n_obs,reliability
481213100,202001,2020,4.92955970067525e-05,4.995047018173811e-05,99,ok
481213100,202002,2020,5.082307977698825e-05,5.195167729265712e-05,133,ok
481213100,202003,2020,5.301752170183875e-05,5.276839194419845e-05,95,ok
481213100,202004,2020,5.052034417433371e-05,5.127848845172628e-05,96,ok
481213100,202005,2020,5.313591676297638e-05,5.236160202677525e-05,102,ok
481213100,202006,2020,5.301752170183875e-05,5.2234842353897e-05,105,ok
481213100,202007,2020,5.3254311824114e-05,5.443099254855466e-05,125,ok
481213100,202008,2020,5.301752170183875e-05,5.2805675878297374e-05,99,ok
481213100,202009,2020,5.3254311824114e-05,5.2914065915861096e-05,97,ok
481213100,202010,2020,5.3254311824114e-05,5.435400180234604e-05,148,ok
481213100,202011,2020,6.25143783070105e-05,6.0815515997740094e-05,109,ok
481213100,202012,2020,6.250708413620201e-05,6.216795954501914e-05,101,ok
481213100,202101,2021,6.8727982499892e-05,6.61169813845424e-05,103,ok
481213100,202102,2021,6.185216065708487e-05,6.144359782514966e-05,82,ok
481213100,202103,2021,6.482833784453053e-05,6.405414205175542e-05,104,ok
481213100,202104,2021,5.929166844204313e-05,6.135838698168569e-05,66,ok
481213100,202105,2021,6.84004318936442e-05,6.660447002452344e-05,106,ok
481213100,202106,2021,7.357083281461613e-05,7.079911784732592e-05,80,ok
481213100,202107,2021,7.907112089417635e-05,7.532819486779454e-05,106,ok
481213100,202108,2021,7.647598654022637e-05,7.399917018808984e-05,97,ok
481213100,202109,2021,8.195075058211217e-05,7.764319618464393e-05,106,ok
481213100,202110,2021,8.239161677069576e-05,7.902420924525762e-05,133,ok
481213100,202111,2021,7.469129915800823e-05,7.44501842800666e-05,122,ok
481213100,202112,2021,8.663015487898499e-05,8.18506095120232e-05,126,ok
481213100,202201,2022,8.549104879239451e-05,8.33255509379901e-05,111,ok
481213100,202202,2022,8.334277884826925e-05,8.136478771542594e-05,105,ok
481213100,202203,2022,8.022460053640944e-05,7.845394561676069e-05,128,ok
481213100,202204,2022,6.817116591522176e-05,7.556783937337269e-05,168,ok
481213100,202205,2022,6.858041357652375e-05,7.725678388611988e-05,150,ok
481213100,202206,2022,8.375949274251081e-05,8.220071828653693e-05,115,ok
481213100,202207,2022,7.501757168649069e-05,7.8576099503256e-05,96,ok
481213100,202208,2022,7.919966652771975e-05,7.920921141515201e-05,99,ok
481213100,202209,2022,6.803504764957674e-05,7.949899069626397e-05,83,ok
