station_id,lat,lon,headway_mean_s,BPH,youth_share_stop,n_emd_overlap,buffer_area_m2
CWB379000164,35.33012566,128.6007987,,,,1.0,501847.75848737237
CWB379000165,35.32894091,128.5893272,,,,1.0,501847.75848737237
CWB379000166,35.32762224,128.6873494,,,,2.0,501847.75848737254
CWB379000167,35.32749478,128.6873298,,,,2.0,501847.7584873732
CWB379000168,35.32869158,128.5847338,,,,1.0,501847.75848737237
CWB379000169,35.32881224,128.5849666,,,,1.0,501847.75848737237
CWB379000170,35.32753376,128.6017207,,,,1.0,501847.75848737237
CWB379000171,35.32739939,128.6019839,,,,1.0,501847.75848737237
CWB379000172,35.32344425,128.6637451,,,,1.0,501847.75848737237
CWB379000173,35.32286643,128.6950357,,,,1.0,501847.75848737237
CWB379000174,35.32323176,128.6635343,,,,1.0,501847.75848737237
CWB379000175,35.32273381,128.6950207,,,,1.0,501847.75848737237
CWB379000178,35.32100086,128.6021103,,,,1.0,501847.75848737237
CWB379000179,35.3207854,128.6022759,,,,1.0,501847.75848737237
CWB379000180,35.3202954,128.62532126,,,,1.0,501847.75848737237
CWB379000181,35.32017155,128.62531603,,,,1.0,501847.75848737237
CWB379000182,35.3195008,128.6171506,,,,1.0,501847.75848737237
CWB379000183,35.3193491,128.6171497,,,,1.0,501847.75848737237
CWB379000184,35.31902081,128.60944544,,,,1.0,501847.75848737237
CWB379000185,35.31891888,128.60931696,,,,1.0,501847.75848737237
CWB379000186,35.31853516,128.63688916,,,,1.0,501847.75848737237
CWB379000187,35.31857024,128.63679365,,,,1.0,501847.75848737237
CWB379000188,35.31864936,128.60399796,,,,1.0,501847.75848737237
CWB379000189,35.31744959,128.6616563,,,,1.0,501847.75848737237
CWB379000191,35.31788937,128.6033727,,,,1.0,501847.75848737237
CWB379000192,35.31744055,128.6617715,,,,1.0,501847.75848737237
CWB379000193,35.31887438,128.5799316,,,,1.0,501847.75848737237
CWB379000194,35.31824974,128.5797637,,,,1.0,501847.75848737237
CWB379000195,35.31636963,128.5849012,,,,1.0,501847.75848737237
CWB379000196,35.31618115,128.5862493,,,,1.0,501847.75848737237
CWB379000197,35.31556482,128.6943567,,,,2.0,501847.75848737254
CWB379000198,35.31561672,128.6942331,,,,2.0,501847.75848737254
CWB379000199,35.31621992,128.5985878,,,,1.0,501847.75848737237
CWB379000200,35.31628623,128.5985654,,,,1.0,501847.75848737237
CWB379000201,35.31312289,128.6588753,,,,1.0,501847.75848737237
CWB379000202,35.3119017,128.6051317,,,,1.0,501847.75848737237
CWB379000203,35.31264622,128.6586971,,,,1.0,501847.75848737237
CWB379000204,35.31301374,128.59878227,,,,1.0,501847.75848737237
CWB379000205,35.31211771,128.6056242,,,,1.0,501847.75848737237
CWB379000206,35.3129172,128.5985963,,,,1.0,501847.75848737237
CWB379000207,35.31017632,128.65723636,,,,1.0,501847.75848737237
CWB379000208,35.3105305,128.65753219,,,,1.0,501847.75848737237
CWB379000209,35.30964798,128.6020565,,,,1.0,501847.75848737237
CWB379000210,35.30960711,128.6022593,,,,1.0,501847.75848737237
CWB379000211,35.30763212,128.6863315,,,,1.0,501847.75848737237
CWB379000212,35.3076727,128.6867987,,,,1.0,501847.75848737237
CWB379000213,35.30757175,128.6007584,,,,1.0,501847.75848737237
CWB379000214,35.30697317,128.6006924,,,,1.0,501847.75848737237
CWB379000216,35.30733699,128.5997989,,,,1.0,501847.75848737237
CWB379000217,35.30754373,128.5997304,,,,1.0,501847.75848737237
CWB379000218,35.3060693,128.6554104,,,,1.0,501847.75848737237
CWB379000219,35.30595785,128.6555537,,,,1.0,501847.75848737237
CWB379000220,35.30495105,128.6783359,,,,1.0,501847.75848737237
CWB379000221,35.30503523,128.67909419,,,,1.0,501847.75848737237
CWB379000224,35.30386562,128.6750688,,,,1.0,501847.75848737237
CWB379000225,35.30397776,128.6576441,,,,1.0,501847.75848737237
CWB379000226,35.30377486,128.6578523,,,,1.0,501847.75848737237
CWB379000227,35.30360223,128.6273768,,,,1.0,501847.75848737237
CWB379000228,35.30349628,128.6272136,,,,1.0,501847.75848737237
CWB379000229,35.30344898,128.6745616,,,,1.0,501847.75848737237
CWB379000230,35.30317206,128.6010192,,,,1.0,501847.75848737237
CWB379000231,35.3033396,128.60079062,,,,1.0,501847.75848737237
CWB379000232,35.30157816,128.6634195,,,,1.0,501847.75848737237
CWB379000233,35.30147896,128.6633885,,,,1.0,501847.75848737237
CWB379000234,35.3005004,128.5934466,,,,1.0,501847.75848737237
CWB379000235,35.3005064,128.5933454,,,,1.0,501847.75848737237
CWB379000237,35.30002713,128.6033567,,,,1.0,501847.75848737237
CWB379000238,35.29978349,128.6033253,,,,1.0,501847.75848737237
CWB379000240,35.29772298,128.6724266,,,,1.0,501847.75848737237
CWB379000241,35.29792337,128.6724829,,,,1.0,501847.75848737237
CWB379000242,35.29826013,128.5935794,,,,1.0,501847.75848737237
CWB379000243,35.29692506,128.6284519,,,,1.0,501847.75848737237
CWB379000002,35.38820888,128.6016379,,,,1.0,501847.75848737237
CWB379000003,35.38813166,128.6016506,,,,1.0,501847.75848737237
CWB379000005,35.38411237,128.60510049,,,,1.0,501847.75848737237
CWB379000006,35.38360047,128.60530494,,,,1.0,501847.75848737237
