adm_cd7,year,pop_total,youth_20_34,youth_share,adm_nm
4812000,2020,1036738.0,189313.0,0.1826044767337553,경상남도 창원시
4812000,2021,1032741.0,185840.0,0.17994831230676422,경상남도 창원시
4812000,2022,2042974.0,357980.0,0.17522494167816136,경상남도 창원시
4812000,2023,1009038.0,171922.0,0.17038208670040178,경상남도 창원시
4812000,2024,999858.0,165721.0,0.16574453572407283,경상남도 창원시
4812100,2020,262408.0,51897.0,0.19777217158013474,경상남도 창원시 의창구
4812100,2021,218027.0,41119.0,0.18859590784627592,경상남도 창원시 의창구
4812100,2022,431646.0,78768.0,0.1824828679056449,경상남도 창원시 의창구
4812100,2023,213342.0,37884.0,0.17757403605478528,경상남도 창원시 의창구
4812100,2024,209695.0,36042.0,0.1718782040582751,경상남도 창원시 의창구
4812125,2020,20051.0,3080.0,0.1536082988379632,경상남도 창원시 의창구 동읍
4812125,2021,19769.0,3014.0,0.15246092366836966,경상남도 창원시 의창구 동읍
4812125,2022,38782.0,5790.0,0.1492960651848796,경상남도 창원시 의창구 동읍
4812125,2023,18854.0,2691.0,0.14272833351013048,경상남도 창원시 의창구 동읍
4812125,2024,18279.0,2520.0,0.137863121614968,경상남도 창원시 의창구 동읍
4812131,2020,43411.0,7102.0,0.1635990877888093,경상남도 창원시 의창구 북면
4812131,2021,43422.0,6533.0,0.15045368707106996,경상남도 창원시 의창구 북면
4812131,2022,86184.0,11866.0,0.13768216838392278,경상남도 창원시 의창구 북면
4812131,2023,43163.0,5595.0,0.12962491022403447,경상남도 창원시 의창구 북면
4812131,2024,42941.0,5273.0,0.1227963950536783,경상남도 창원시 의창구 북면
4812132,2020,7225.0,950.0,0.1314878892733564,경상남도 창원시 의창구 대산면
4812132,2021,7118.0,925.0,0.12995223377353188,경상남도 창원시 의창구 대산면
4812132,2022,13912.0,1624.0,0.11673375503162738,경상남도 창원시 의창구 대산면
4812132,2023,6789.0,721.0,0.10620120783620562,경상남도 창원시 의창구 대산면
4812132,2024,6674.0,686.0,0.1027869343721906,경상남도 창원시 의창구 대산면
4812151,2020,50992.0,10292.0,0.2018355820520866,경상남도 창원시 의창구 의창동
4812151,2021,50348.0,9868.0,0.1959958687534758,경상남도 창원시 의창구 의창동
4812151,2022,100186.0,18814.0,0.18779070928073782,경상남도 창원시 의창구 의창동
4812151,2023,49453.0,8926.0,0.18049461104483044,경상남도 창원시 의창구 의창동
4812151,2024,48537.0,8299.0,0.1709829614520881,경상남도 창원시 의창구 의창동
4812152,2020,37958.0,8435.0,0.22221929501027451,경상남도 창원시 의창구 팔룡동
4812152,2021,25927.0,5720.0,0.2206194314806958,경상남도 창원시 의창구 팔룡동
4812152,2022,51514.0,11046.0,0.21442714601855806,경상남도 창원시 의창구 팔룡동
