region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,adm_nm_new,locat_order,locathigh_cd,locallow_nm,adpt_de,adm_cd7_new
4812000000,48,120,000,00,4812000000,4812000000,경상남도 창원시,1,4800000000,창원시,20100701,4812000
4812100000,48,121,000,00,4812100000,4812100000,경상남도 창원시 의창구,1,4800000000,의창구,20100701,4812100
4812110100,48,121,101,00,4812110100,4812110100,경상남도 창원시 의창구 북동,1,4812100000,북동,20100701,4812110
4812110200,48,121,102,00,4812110200,4812110200,경상남도 창원시 의창구 중동,1,4812100000,중동,20100701,4812110
4812110300,48,121,103,00,4812110300,4812110300,경상남도 창원시 의창구 서상동,1,4812100000,서상동,20100701,4812110
4812110400,48,121,104,00,4812110400,4812110400,경상남도 창원시 의창구 소답동,1,4812100000,소답동,20100701,4812110
4812110500,48,121,105,00,4812110500,4812110500,경상남도 창원시 의창구 도계동,1,4812100000,도계동,20100701,4812110
4812110600,48,121,106,00,4812110600,4812110600,경상남도 창원시 의창구 동정동,1,4812100000,동정동,20100701,4812110
4812110700,48,121,107,00,4812110700,4812110700,경상남도 창원시 의창구 소계동,1,4812100000,소계동,20100701,4812110
4812110800,48,121,108,00,4812110800,4812110800,경상남도 창원시 의창구 용동,1,4812100000,용동,20100701,4812110
4812111200,48,121,112,00,4812111200,4812111200,경상남도 창원시 의창구 덕정동,1,4812100000,덕정동,20100701,4812111
4812111300,48,121,113,00,4812111300,4812111300,경상남도 창원시 의창구 지귀동,1,4812100000,지귀동,20100701,4812111
4812111400,48,121,114,00,4812111400,4812111400,경상남도 창원시 의창구 서곡동,1,4812100000,서곡동,20100701,4812111
4812111600,48,121,116,00,4812111600,4812111600,경상남도 창원시 의창구 봉림동,1,4812100000,봉림동,20100701,4812111
4812111700,48,121,117,00,4812111700,4812111700,경상남도 창원시 의창구 퇴촌동,1,4812100000,퇴촌동,20100701,4812111
4812111800,48,121,118,00,4812111800,4812111800,경상남도 창원시 의창구 명곡동,1,4812100000,명곡동,20100701,4812111
4812111900,48,121,119,00,4812111900,4812111900,경상남도 창원시 의창구 반계동,1,4812100000,반계동,20100701,4812111
4812112000,48,121,120,00,4812112000,4812112000,경상남도 창원시 의창구 사화동,1,4812100000,사화동,20100701,4812112
4812112100,48,121,121,00,4812112100,4812112100,경상남도 창원시 의창구 차용동,1,4812100000,차용동,20100701,4812112
4812112200,48,121,122,00,4812112200,4812112200,경상남도 창원시 의창구 내리동,1,4812100000,내리동,20100701,4812112
4812112400,48,121,124,00,4812112400,4812112400,경상남도 창원시 의창구 명서동,1,4812100000,명서동,20100701,4812112
4812112500,48,121,125,00,4812112500,4812112500,경상남도 창원시 의창구 사림동,1,4812100000,사림동,20100701,4812112
4812112700,48,121,127,00,4812112700,4812112700,경상남도 창원시 의창구 봉곡동,1,4812100000,봉곡동,20100701,4812112
4812112900,48,121,129,00,4812112900,4812112900,경상남도 창원시 의창구 팔용동,1,4812100000,팔용동,20100701,4812112
4812125000,48,121,250,00,4812125000,4812125000,경상남도 창원시 의창구 동읍,1,4812100000,동읍,20100701,4812125
4812125021,48,121,250,21,4812125021,4812125021,경상남도 창원시 의창구 동읍 용강리,1,4812125000,용강리,20100701,4812125
4812125022,48,121,250,22,4812125022,4812125022,경상남도 창원시 의창구 동읍 용전리,1,4812125000,용전리,20100701,4812125
4812125023,48,121,250,23,4812125023,4812125023,경상남도 창원시 의창구 동읍 남산리,1,4812125000,남산리,20100701,4812125
4812125024,48,121,250,24,4812125024,4812125024,경상남도 창원시 의창구 동읍 덕천리,1,4812125000,덕천리,20100701,4812125
4812125025,48,121,250,25,4812125025,4812125025,경상남도 창원시 의창구 동읍 덕산리,1,4812125000,덕산리,20100701,4812125
4812125026,48,121,250,26,4812125026,4812125026,경상남도 창원시 의창구 동읍 봉산리,1,4812125000,봉산리,20100701,4812125
