구간,차종,월,교통량
서울~신갈JC,소형차,1,167538
서울~신갈JC,중형차,1,4534
서울~신갈JC,대형차,1,22329
서울~신갈JC,소계,1,194401
신갈JC~수원신갈,소형차,1,192809
신갈JC~수원신갈,중형차,1,5766
신갈JC~수원신갈,대형차,1,24458
신갈JC~수원신갈,소계,1,223033
수원신갈~기흥,소형차,1,172894
수원신갈~기흥,중형차,1,4208
수원신갈~기흥,대형차,1,20992
수원신갈~기흥,소계,1,198094
기흥~기흥동탄,소형차,1,140737
기흥~기흥동탄,중형차,1,3785
기흥~기흥동탄,대형차,1,19417
기흥~기흥동탄,소계,1,163939
기흥동탄~동탄JC,소형차,1,135978
기흥동탄~동탄JC,중형차,1,3938
기흥동탄~동탄JC,대형차,1,18568
기흥동탄~동탄JC,소계,1,158484
동탄JC~오산,소형차,1,170229
동탄JC~오산,중형차,1,5375
동탄JC~오산,대형차,1,21928
동탄JC~오산,소계,1,197532
오산~남사진위,소형차,1,162234
오산~남사진위,중형차,1,4074
오산~남사진위,대형차,1,20748
오산~남사진위,소계,1,187056
남사진위~안성JC,소형차,1,180062
남사진위~안성JC,중형차,1,4662
남사진위~안성JC,대형차,1,24106
남사진위~안성JC,소계,1,208830
안성JC~안성,소형차,1,168442
안성JC~안성,중형차,1,4388
안성JC~안성,대형차,1,26376
안성JC~안성,소계,1,199206
안성~북천안,소형차,1,147217
안성~북천안,중형차,1,3865
안성~북천안,대형차,1,25033
안성~북천안,소계,1,176115
북천안~천안,소형차,1,151333
북천안~천안,중형차,1,4007
북천안~천안,대형차,1,26957
북천안~천안,소계,1,182297
천안~천안JC,소형차,1,132048
천안~천안JC,중형차,1,3823
천안~천안JC,대형차,1,26691
천안~천안JC,소계,1,162562
천안JC~목천,소형차,1,97415
천안JC~목천,중형차,1,3077
천안JC~목천,대형차,1,24037
천안JC~목천,소계,1,124529
목천~옥산JC,소형차,1,93023
목천~옥산JC,중형차,1,2798
목천~옥산JC,대형차,1,22767
목천~옥산JC,소계,1,118588
옥산JC~옥산,소형차,1,86467
옥산JC~옥산,중형차,1,2525
옥산JC~옥산,대형차,1,20804
옥산JC~옥산,소계,1,109796
옥산~청주,소형차,1,84638
옥산~청주,중형차,1,2463
옥산~청주,대형차,1,20782
옥산~청주,소계,1,107883
청주~남이JC,소형차,1,77044
청주~남이JC,중형차,1,2228
청주~남이JC,대형차,1,19707
청주~남이JC,소계,1,98979
남이JC~청주JC,소형차,1,135792
남이JC~청주JC,중형차,1,4006
남이JC~청주JC,대형차,1,31207
남이JC~청주JC,소계,1,171005
청주JC~남청주,소형차,1,98936
청주JC~남청주,중형차,1,2788
청주JC~남청주,대형차,1,17229
청주JC~남청주,소계,1,118953
남청주~신탄진,소형차,1,102791
남청주~신탄진,중형차,1,2874
남청주~신탄진,대형차,1,15632
남청주~신탄진,소계,1,121297
신탄진~회덕JC,소형차,1,96151
신탄진~회덕JC,중형차,1,2563
신탄진~회덕JC,대형차,1,14382
신탄진~회덕JC,소계,1,113096
회덕JC~대전,소형차,1,82356
회덕JC~대전,중형차,1,1839
회덕JC~대전,대형차,1,11066
회덕JC~대전,소계,1,95261
대전~비룡JC,소형차,1,69428
대전~비룡JC,중형차,1,1604
대전~비룡JC,대형차,1,10449
대전~비룡JC,소계,1,81481
비룡JC~옥천,소형차,1,42576
비룡JC~옥천,중형차,1,961
비룡JC~옥천,대형차,1,7659
비룡JC~옥천,소계,1,51196
옥천~동이옥천JC,소형차,1,28783
옥천~동이옥천JC,중형차,1,528
옥천~동이옥천JC,대형차,1,5813
옥천~동이옥천JC,소계,1,35124
동이옥천JC~금강,소형차,1,28783
동이옥천JC~금강,중형차,1,528
동이옥천JC~금강,대형차,1,5813
동이옥천JC~금강,소계,1,35124
금강~금강휴게소,소형차,1,28320
금강~금강휴게소,중형차,1,537
금강~금강휴게소,대형차,1,5939
금강~금강휴게소,소계,1,34796
금강휴게소~청성JC,소형차,1,27910
금강휴게소~청성JC,중형차,1,528
금강휴게소~청성JC,대형차,1,5926
금강휴게소~청성JC,소계,1,34364
청성JC~영동,소형차,1,27910
청성JC~영동,중형차,1,528
청성JC~영동,대형차,1,5926
청성JC~영동,소계,1,34364
영동~황간,소형차,1,25988
영동~황간,중형차,1,488
영동~황간,대형차,1,5837
영동~황간,소계,1,32313
황간~추풍령,소형차,1,26251
황간~추풍령,중형차,1,478
황간~추풍령,대형차,1,6018
황간~추풍령,소계,1,32747
추풍령~김천,소형차,1,25998
추풍령~김천,중형차,1,479
추풍령~김천,대형차,1,5962
추풍령~김천,소계,1,32439
김천~동김천,소형차,1,28860
김천~동김천,중형차,1,530
김천~동김천,대형차,1,5754
김천~동김천,소계,1,35144
동김천~김천JC,소형차,1,36234
동김천~김천JC,중형차,1,735
동김천~김천JC,대형차,1,6797
동김천~김천JC,소계,1,43766
김천JC~북구미,소형차,1,77241
김천JC~북구미,중형차,1,2084
김천JC~북구미,대형차,1,16105
김천JC~북구미,소계,1,95430
북구미~구미,소형차,1,76272
북구미~구미,중형차,1,2086
북구미~구미,대형차,1,16044
북구미~구미,소계,1,94402
구미~남구미,소형차,1,84358
구미~남구미,중형차,1,2234
구미~남구미,대형차,1,15790
구미~남구미,소계,1,102382
남구미~왜관,소형차,1,96209
남구미~왜관,중형차,1,2542
남구미~왜관,대형차,1,17237
남구미~왜관,소계,1,115988
왜관~칠곡물류,소형차,1,112703
