station_id,station_name,lat,lon,nearest_hub_id,nearest_hub_name,dist_km
CWB379000164,신동,35.33012566,128.6007987,CWB379000951,신세계백화점,12.409133686406205
CWB379000165,북면양촌,35.32894091,128.5893272,CWB379000951,신세계백화점,12.21624138157979
CWB379000166,백양마을,35.32762224,128.6873494,CWB379000951,신세계백화점,15.13101640656078
CWB379000167,백양마을,35.32749478,128.6873298,CWB379000951,신세계백화점,15.118664373013582
CWB379000168,신음,35.32869158,128.5847338,CWB379000951,신세계백화점,12.188664865864798
CWB379000169,신음,35.32881224,128.5849666,CWB379000951,신세계백화점,12.20170406523111
CWB379000170,신동이주단지,35.32753376,128.6017207,CWB379000951,신세계백화점,12.131938545120692
CWB379000171,신동이주단지,35.32739939,128.6019839,CWB379000951,신세계백화점,12.11977852433715
CWB379000172,금산마을,35.32344425,128.6637451,CWB379000951,신세계백화점,13.541566706020815
CWB379000173,신동마을,35.32286643,128.6950357,CWB379000951,신세계백화점,15.157566834423864
CWB379000174,금산마을,35.32323176,128.6635343,CWB379000951,신세계백화점,13.511475727609124
CWB379000175,신동마을,35.32273381,128.6950207,CWB379000951,신세계백화점,15.14548359837571
CWB379000178,명호마을,35.32100086,128.6021103,CWB379000951,신세계백화점,11.415829936788219
CWB379000179,명호마을,35.3207854,128.6022759,CWB379000951,신세계백화점,11.393914533453854
CWB379000180,월백,35.3202954,128.62532126,CWB379000951,신세계백화점,11.781453937282501
CWB379000181,월백,35.32017155,128.62531603,CWB379000951,신세계백화점,11.76818426630793
CWB379000182,월촌,35.3195008,128.6171506,CWB379000951,신세계백화점,11.497802799519368
CWB379000183,월촌,35.3193491,128.6171497,CWB379000951,신세계백화점,11.481434048714304
CWB379000184,월촌교,35.31902081,128.60944544,CWB379000951,신세계백화점,11.298822951515653
CWB379000185,월촌교,35.31891888,128.60931696,CWB379000951,신세계백화점,11.285592289493191
CWB379000186,남백마을종점,35.31853516,128.63688916,CWB379000951,신세계백화점,11.95344646752791
CWB379000187,남백마을종점,35.31857024,128.63679365,CWB379000951,신세계백화점,11.953753860953027
CWB379000188,동전(14),35.31864936,128.60399796,CWB379000951,신세계백화점,11.17919655028834
CWB379000189,마룡,35.31744959,128.6616563,CWB379000951,신세계백화점,12.874868685170298
CWB379000191,동전,35.31788937,128.6033727,CWB379000951,신세계백화점,11.087905842834854
CWB379000192,마룡,35.31744055,128.6617715,CWB379000951,신세계백화점,12.879548974900787
CWB379000193,무동센텀파라디아아파트,35.31887438,128.5799316,CWB379000951,신세계백화점,11.116309436098867
CWB379000194,무동센텀파라디아아파트,35.31824974,128.5797637,CWB379000951,신세계백화점,11.04801715333311
CWB379000195,무동입구,35.31636963,128.5849012,CWB379000951,신세계백화점,10.821183222305278
CWB379000196,무동입구,35.31618115,128.5862493,CWB379000951,신세계백화점,10.798735283010576
CWB379000197,주남,35.31556482,128.6943567,CWB379000951,신세계백화점,14.508733215305616
CWB379000198,주남,35.31561672,128.6942331,CWB379000951,신세계백화점,14.505423901599432
CWB379000199,동전,35.31621992,128.5985878,CWB379000951,신세계백화점,10.853619149814081
CWB379000200,동전,35.31628623,128.5985654,CWB379000951,신세계백화점,10.860746676641979
CWB379000201,석산,35.31312289,128.6588753,CWB379000951,신세계백화점,12.333567749302519
CWB379000202,까치골,35.3119017,128.6051317,CWB379000951,신세계백화점,10.453784877086367
CWB379000203,석산,35.31264622,128.6586971,CWB379000951,신세계백화점,12.280130688313147
CWB379000204,1366경남센터,35.31301374,128.59878227,CWB379000951,신세계백화점,10.501320918984378
CWB379000205,까치골,35.31211771,128.6056242,CWB379000951,신세계백화점,10.484588930867423
CWB379000206,1366경남센터,35.3129172,128.5985963,CWB379000951,신세계백화점,10.48895501042025
CWB379000207,고양이주단지,35.31017632,128.65723636,CWB379000951,신세계백화점,11.977360592897467
CWB379000208,고양이주단지,35.3105305,128.65753219,CWB379000951,신세계백화점,12.024962864272965
CWB379000209,대천,35.30964798,128.6020565,CWB379000951,신세계백화점,10.165520546401204
CWB379000210,대천,35.30960711,128.6022593,CWB379000951,신세계백화점,10.16352212751574
CWB379000211,판신,35.30763212,128.6863315,CWB379000951,신세계백화점,13.366410162382515
CWB379000212,판신,35.3076727,128.6867987,CWB379000951,신세계백화점,13.398504032920588
CWB379000213,감나무골,35.30757175,128.6007584,CWB379000951,신세계백화점,9.921708671072102
CWB379000214,감나무골,35.30697317,128.6006924,CWB379000951,신세계백화점,9.85505370109769
CWB379000216,감계리,35.30733699,128.5997989,CWB379000951,신세계백화점,9.885239819388502
CWB379000217,감계리,35.30754373,128.5997304,CWB379000951,신세계백화점,9.90729696333635
CWB379000218,고양,35.3060693,128.6554104,CWB379000951,신세계백화점,11.503705910160127
CWB379000219,고양,35.30595785,128.6555537,CWB379000951,신세계백화점,11.500372015325231
CWB379000220,주남저수지,35.30495105,128.6783359,CWB379000951,신세계백화점,12.659709397315638
CWB379000221,주남저수지,35.30503523,128.67909419,CWB379000951,신세계백화점,12.712134367734741
CWB379000224,가월마을입구,35.30386562,128.6750688,CWB379000951,신세계백화점,12.374549579398586
