arrprevstationcnt,arrtime,nodeid,nodenm,routeid,routeno,routetp,vehicletp,station_id,ts
33,2125,CWB379001394,문화동,CWB379000640,64,지선버스,일반차량,CWB379001394,2025-09-07T21:11:28+09:00
2,26,CWB379001394,문화동,CWB379000700,70,지선버스,저상버스,CWB379001394,2025-09-07T21:11:28+09:00
11,898,CWB379001394,문화동,CWB379000710,71,지선버스,저상버스,CWB379001394,2025-09-07T21:11:28+09:00
2,170,CWB379001394,문화동,CWB379001600,160,간선버스,저상버스,CWB379001394,2025-09-07T21:11:28+09:00
7,409,CWB379001394,문화동,CWB379002530,253,지선버스,저상버스,CWB379001394,2025-09-07T21:11:28+09:00
19,1153,CWB379001394,문화동,CWB379002630,263,지선버스,일반차량,CWB379001394,2025-09-07T21:11:28+09:00
1,8,CWB379001394,문화동,CWB379002770,277,지선버스,일반차량,CWB379001394,2025-09-07T21:11:28+09:00
10,1114,CWB379001394,문화동,CWB379007200,720,좌석버스,일반차량,CWB379001394,2025-09-07T21:11:28+09:00
20,1140,CWB379001392,문화동,CWB379000200,20,지선버스,저상버스,CWB379001392,2025-09-07T21:11:29+09:00
31,1504,CWB379001392,문화동,CWB379000220,22,지선버스,저상버스,CWB379001392,2025-09-07T21:11:29+09:00
40,2402,CWB379001392,문화동,CWB379000240,24,지선버스,저상버스,CWB379001392,2025-09-07T21:11:29+09:00
30,1707,CWB379001392,문화동,CWB379000400,40,지선버스,일반차량,CWB379001392,2025-09-07T21:11:29+09:00
34,1925,CWB379001392,문화동,CWB379000410,41,지선버스,일반차량,CWB379001392,2025-09-07T21:11:29+09:00
53,3319,CWB379001392,문화동,CWB379000450,45,지선버스,저상버스,CWB379001392,2025-09-07T21:11:29+09:00
36,1916,CWB379001392,문화동,CWB379000500,50,지선버스,저상버스,CWB379001392,2025-09-07T21:11:29+09:00
39,2264,CWB379001392,문화동,CWB379000530,53,지선버스,저상버스,CWB379001392,2025-09-07T21:11:29+09:00
