순번,정류소 아이디,정류소명,방면,X좌표,Y좌표
1,630332,(주)에스에이치아이,,128.7657295,35.08684984
2,630300,(주)태광,,128.831487,35.09063786
3,630301,(주)태광,,128.8312982,35.09031518
4,104710,1366경남센터,월드메르디앙아파트 방면,128.5986795,35.31273357
5,104709,1366경남센터,감나무골 방면,128.5985963,35.3129172
6,408608,3.15아트센터,문화방송 방면,128.5770894,35.22677109
7,408607,3.15아트센터,메트로시티석전 방면,128.5787387,35.22576206
8,630333,ENK,,128.7707004,35.08688288
9,630354,ENK/한진중공업,,128.769914,35.08578793
10,630060,GS마트,경남대학교 방면,128.5607562,35.18033943
11,630061,GS마트,MH우리병원 방면,128.5608527,35.18010402
12,201203,HSD엔진.피케이밸브,신촌삼거리 방면,128.6335744,35.21193121
13,201204,HSD엔진.피케이밸브,한국철강 방면,128.6338485,35.21174866
14,401016,KB국민은행,원계 방면,128.5044714,35.23332675
15,120903,KPE,,128.6150498,35.24676579
16,400127,KT동마산지점,구암동육교 방면,128.5979819,35.25052541
17,400128,KT동마산지점,한국전력 방면,128.5978164,35.25005349
18,300128,KT서마산지점,부림시장 방면,128.5722024,35.20358937
19,300119,KT서마산지점,경남데파트 방면,128.5710189,35.20294987
20,300126,KT서마산지점,어시장 방면,128.5703212,35.20283824
21,213701,LG2공장,,128.6682636,35.21158714
22,213702,LG2공장,,128.6680812,35.21145743
23,214221,LG사원아파트,,128.695576,35.20999853
24,201217,LG산전,남창원역 방면,128.6703362,35.20291643
25,201218,LG산전,현대모비스창원공장 방면,128.6710654,35.20225787
26,503205,LH자은프라임,중흥S클래스 방면,128.7190842,35.15271135
27,503209,LH자은프라임,냉천중학교 방면,128.7203422,35.15351181
28,630058,MH우리병원,GS마트 방면,128.5624987,35.18075441
29,630059,MH우리병원,성지아울렛 방면,128.5629221,35.18067621
30,213704,OTIS-LG,,128.6745402,35.20773407
31,213703,OTIS-LG,,128.675016,35.20770682
32,218818,S&T중공업,,128.6814958,35.21113761
33,117001,SCC㈜,,128.6229509,35.24687882
34,118402,SG서보,,128.6261514,35.23984739
35,522301,STX북문,STX정문 방면,128.7161012,35.11193143
36,522302,STX북문,STX서문 방면,128.7162123,35.11232904
37,522303,STX서문,STX북면 방면,128.7083095,35.10790724
38,522304,STX서문,수치 방면,128.7080033,35.10794479
39,514506,STX아파트,마천공단입구 방면,128.7784691,35.12031897
40,514505,STX아파트,월남마을 방면,128.778701,35.12066311
41,630225,STX입구,,128.7233512,35.11373143
42,630226,STX입구,,128.7233012,35.11380143
43,505501,STX정문,STX북면 방면,128.7194519,35.11049049
44,505502,STX정문,죽곡마을 방면,128.7193497,35.11061413
45,518149,STX조선입구,만남의광장 방면,128.7235705,35.11344385
46,518150,STX조선입구,어은동 방면,128.7247747,35.11277634
47,104717,STX칸1차아파트정문,,128.5805454,35.32263598
48,104718,STX칸1차아파트정문,,128.5806281,35.32257898
49,104719,STX칸1차아파트후문,휴먼빌2단지 방면,128.583139,35.32264364
50,104720,STX칸1차아파트후문,신음 방면,128.5833086,35.32272974
51,104715,STX칸2차아파트,무동센텀파라디아아파트방면,128.58043,35.31635846
52,104716,STX칸2차아파트,휴먼빌3차아파트 방면,128.5805745,35.31617493
53,630357,㈜HND로지스틱스,,128.7690853,35.09400104
54,502811,㈜대륜기업,,128.7787869,35.115748
55,407005,㈜동방,봉암우체국 방면,128.6001026,35.21766236
56,407006,㈜동방,자유무역3공구 방면,128.6002837,35.21791973
57,502812,㈜세웅전기,,128.7791328,35.11560421
58,110309,가곡마을,북면연동 방면,128.6442132,35.36062566
59,110310,가곡마을,본포입구 방면,128.6440662,35.36047848
60,118004,가술,,128.7090879,35.33532932
61,118001,가술정류장,,128.7088864,35.33516263
62,116501,가월마을입구,,128.6750688,35.30386562
63,116403,가월윗담,주남삼거리 방면,128.67292,35.3026771
64,116404,가월윗담,가월입구 방면,128.672971,35.30256926
65,116502,가월입구,,128.6745616,35.30344898
66,214223,가음은아아파트,,128.6942219,35.20787455
67,218813,가음정본동,,128.6875982,35.20813443
68,218815,가음정사거리,가음은아아파트 방면,128.6923705,35.20538959
69,218822,가음정사거리,남산버스정류소 방면,128.6923733,35.20488404
70,630220,가주동시내버스회차지,,128.8384582,35.1120361
71,106819,가촌,가촌마을 방면,128.7017388,35.33541892
72,106820,가촌,대산119안전센터 방면,128.7016911,35.33533196
73,106818,가촌마을,가촌 방면,128.6976921,35.33629113
74,106817,가촌마을,대방 방면,128.6978382,35.33627111
75,300624,가포고등학교,국립마산병원 방면,128.5709774,35.16815686
76,300623,가포고등학교,가포유원지 방면,128.5710493,35.16797798
77,300619,가포동,가포초등학교 방면,128.5752334,35.16196803
78,300620,가포동,가포유원지 방면,128.5755382,35.16260617
79,300615,가포본동,가포송신소 방면,128.5819064,35.15484182
80,300616,가포본동,가포초등학교 방면,128.5801042,35.15627128
81,300614,가포송신소,가포본동 방면,128.5867603,35.15180381
82,300613,가포송신소,날개 방면,128.5867968,35.15148958
83,300622,가포유원지,가포고등학교 방면,128.573579,35.16573253
84,300621,가포유원지,가포동 방면,128.5733887,35.16568175
85,300618,가포초등학교,가포동 방면,128.5768516,35.15874478
86,300617,가포초등학교,가포본동 방면,128.576837,35.1585557
87,103706,갈전,,128.675862,35.36340332
88,103727,갈전리,신전 방면,128.6788298,35.36320356
89,103728,갈전리,평리 방면,128.6788137,35.36310782
90,100709,갈전마을,승산 방면,128.6204405,35.30248347
91,100710,갈전마을,화산마을 방면,128.6205108,35.30258261
92,100703,갈전운동장,일동회관 방면,128.6809755,35.36653344
93,100707,갈전운동장,상리 방면,128.6804893,35.36643926
94,119404,감계리,감나무골 방면,128.5997989,35.30733699
95,119403,감계리,1366경남센터 방면,128.5997304,35.30754373
96,119324,감계입구,감나무골 방면,128.6010192,35.30317206
97,119323,감계입구,화천리 방면,128.6008376,35.30291628
98,103108,감계중학교,,128.5865042,35.30050134
99,103104,감계휴먼빌,힐스테이트1차 방면,128.5938615,35.30221691
100,103105,감계휴먼빌,덕산아내 방면,128.592914,35.30234189
101,119326,감나무골,대천 방면,128.6007584,35.30757175
102,119325,감나무골,감계입구 방면,128.6006924,35.30697317
103,401306,감나무골,,128.5094787,35.20195738
104,401305,감나무골,신감사거리 방면,128.5095373,35.20186202
105,400806,감천,감천마을회관 방면,128.5192612,35.20324547
106,400805,감천,감천 방면,128.5192101,35.20315148
107,301301,감천교,전안마을 방면,128.5093874,35.21007651
108,301302,감천교,,128.5093854,35.20997063
109,400804,감천마을회관,,128.5180788,35.20490733
110,630079,감천입구,감천 방면,128.5133072,35.20771943
111,401014,감천입구,쌀재터널입구 방면,128.5126003,35.20768427
112,400802,감천초등학교,신감사거리 방면,128.5154646,35.20633701
113,400801,감천초등학교,감천 방면,128.5153104,35.20630965
114,630054,갑오마을,,128.7978299,35.18722156
115,630258,갑오마을4단지,덕정공원 방면,128.7985694,35.18484596
116,630259,갑오마을4단지,갑오마을 방면,128.7990282,35.18485653
117,207804,갯마을,갯마을입구 방면,128.6082435,35.16403823
118,207803,갯마을,삼귀민원센터 방면,128.6081833,35.16389239
119,207806,갯마을입구,마창대교 방면,128.6034407,35.1620411
120,207805,갯마을입구,갯마을 방면,128.6033248,35.1619774
121,315207,거락마을,금암마을 방면,128.3723671,35.14163285
122,315208,거락마을,의산보건진료소 방면,128.3725061,35.14160386
123,630123,거성아파트,대근아파트 방면,128.7144713,35.30485908
124,630363,거성아파트,부곡 방면,128.7152525,35.30471551
125,119371,거풍힐링빌,북면온천 방면,128.6131493,35.35620503
126,119372,거풍힐링빌,행복이가득한집 방면,128.6132265,35.35613607
127,500501,검문소,,128.8373885,35.10351548
128,219102,검찰청,창원축구센타.법원 방면,128.6979892,35.2260625
129,219103,검찰청,창원시립테니스장입구 방면,128.698655,35.22574398
130,300635,경남대남부터미널종점,해운초등학교 방면,128.5582462,35.17934343
131,300636,경남대남부터미널종점,문화동 방면,128.5584661,35.17916686
132,107506,경남대표도서관,사격장입구 방면,128.6804102,35.24607943
133,107505,경남대표도서관입구,장애인복지회관 방면,128.6799422,35.24646417
134,300104,경남대학교,문화동 방면,128.559031,35.18184305
135,300101,경남대학교,월영동 방면,128.5578031,35.18082542
136,300102,경남대학교,문화동 방면,128.5587792,35.1807796
137,300124,경남데파트,KT서마산지점 방면,128.5675512,35.20141248
138,300117,경남데파트,마산합포구청.의료원 방면,128.5673133,35.20119382
139,300122,경남데파트,KT서마산지점 방면,128.5675358,35.20101762
140,108908,경남도의회,,128.6938382,35.23638243
141,108907,경남도의회,,128.6936532,35.23648343
142,108915,경남도의회,현대썬앤빌 방면,128.6934212,35.23509073
143,108916,경남도의회,경남도청 방면,128.6938295,35.23533627
144,119129,경남도청,도청사거리 방면,128.6916432,35.23569746
145,119128,경남도청,토월공원 방면,128.691677,35.2353186
146,105901,경남문화재연구원,유남주유소 방면,128.6364375,35.23198006
147,105902,경남문화재연구원,창원농산물도매시장 방면,128.6365369,35.23180144
148,113305,경남선관위,,128.6879168,35.23674134
149,113306,경남선관위,,128.6880188,35.23653639
150,211603,경남스틸,,128.6554359,35.206764
151,211601,경남스틸,,128.6549012,35.20709443
152,211602,경남스틸,,128.6551298,35.20682507
153,400109,경남은행본점,,128.5767179,35.23061781
154,406101,경남은행연수원,마산노인복지센타 방면,128.5606437,35.21649553
155,118802,경남테크노파크,팔용사거리 방면,128.6078276,35.25327028
156,118801,경남테크노파크,한국전력 방면,128.6067947,35.254398
157,300116,경동메르빌,마산합포구청.의료원 방면,128.5667974,35.1947319
158,300113,경동메르빌,중부경찰서 방면,128.5665542,35.19474443
159,109402,경상고교,,128.597436,35.25903538
160,102601,경상고등학교,,128.5982512,35.25968044
161,109407,경상고등학교,,128.598279,35.25960264
162,208005,경상대병원동문,,128.7089206,35.19964082
163,208006,경상대병원동문,,128.7087205,35.19972974
164,218834,경상대병원정문,성산구청.성주동 방면,128.7079399,35.19799537
165,218836,경상대병원정문,한림푸르지오 방면,128.7078933,35.19798534
166,109403,경상아파트,,128.5974232,35.25891644
167,630355,경일글로벌로지스틱스,,128.7678458,35.08699039
168,523331,경제자유구역청,,128.8414222,35.08557799
169,523332,경제자유구역청,,128.8399686,35.08578256
170,523329,경제자유구역청사거리,,128.8385725,35.08879126
171,523330,경제자유구역청사거리,,128.8385985,35.08909502
172,208903,경창상가,상남대우아파트 방면,128.6796451,35.21990836
173,208904,경창상가,수협경남금융본부 방면,128.6796226,35.21960268
174,516302,경화가압장,경화두산위브아파트 방면,128.6841943,35.15925071
175,516301,경화가압장,경화동 방면,128.6840822,35.15940443
176,516404,경화대동다숲,삼정코아 방면,128.6810826,35.16091587
177,516403,경화대동다숲,경화포스코 방면,128.6809769,35.16099864
178,518115,경화동,경화육교 방면,128.6833189,35.15825456
179,518114,경화동,경화역 방면,128.6841313,35.15826856
180,516303,경화두산위브아파트,경화가압장 방면,128.6849148,35.16096615
181,516304,경화두산위브아파트,삼정코아 방면,128.6850883,35.1610408
182,519820,경화성당,,128.6869288,35.15340175
183,519821,경화시장,경화우체국 방면,128.6899291,35.15375018
184,519822,경화시장,염전사거리 방면,128.6912891,35.15357963
185,518117,경화역,경화동 방면,128.6863744,35.15887932
186,518116,경화역,진해남중 방면,128.686471,35.1587062
187,519819,경화우체국,,128.6858222,35.15356543
188,518112,경화육교,경화동 방면,128.6816094,35.15764096
189,518113,경화육교,산상교회 방면,128.6803154,35.15753982
190,516402,경화포스코,경화대동다숲 방면,128.6799932,35.15961514
191,516401,경화포스코,원창시인의마을 방면,128.6797601,35.15954465
192,630228,계동,도청골 방면,128.7939975,35.18792239
193,630229,계동,대청계곡 방면,128.7941838,35.18777776
194,630232,계동초등학교,덕정 방면,128.7949085,35.18332672
195,630233,계동초등학교,대청계곡 방면,128.7951216,35.18346908
196,320704,계양,양촌리 방면,128.3822365,35.12739925
197,320703,계양,대정입구 방면,128.3826634,35.12714415
198,201231,고려기업,,128.6348363,35.20854696
199,201232,고려기업,,128.6345049,35.2089801
200,421901,고속버스터미널,신세계백화점 방면,128.5871527,35.22224954
201,421902,고속버스터미널,한일로타리 방면,128.587365,35.22226575
202,101706,고암마을,승산초등학교 방면,128.6284519,35.29692506
203,101707,고암마을,한수 방면,128.6284036,35.29716073
204,104615,고양,화목 방면,128.6554104,35.3060693
205,104618,고양,고양이주단지 방면,128.6555537,35.30595785
206,106709,고양마을회관,,128.6547447,35.30524397
207,106710,고양마을회관,,128.6547145,35.30511756
208,104617,고양이주단지,고양 방면,128.6572364,35.31017632
209,104620,고양이주단지,석산 방면,128.6575322,35.3105305
210,120613,고향의봄도서관,벽산블루밍아파트 방면,128.618673,35.25518428
211,120614,고향의봄도서관,창원과학고등학교 방면,128.618199,35.2552336
212,306308,고현,우산초등학교 방면,128.4795362,35.10256838
213,306307,고현,고현수협조합 방면,128.4794468,35.10255959
214,306305,고현수협조합,고현 방면,128.4792693,35.10063652
215,306306,고현수협조합,장기 방면,128.4791641,35.10070069
216,104614,곡목,화목 방면,128.6634195,35.30157816
217,104611,곡목,창원단감테마공원 방면,128.6633885,35.30147896
218,320711,곡안리,진전어린이집 방면,128.4153449,35.10965797
219,320709,곡안리,동산마을 방면,128.4145013,35.10947326
220,320710,곡안리,,128.414869,35.10944143
221,422821,곡촌,,128.5305272,35.2776557
222,422822,곡촌,,128.5306193,35.27819347
223,630066,골매마을입구,수정 방면,128.5770311,35.1254442
224,630067,골매마을입구,유산마을입구 방면,128.5772458,35.12538367
225,409716,곰티고개,정명사 방면,128.5447904,35.25165247
226,409717,곰티고개,평성마을 방면,128.5449417,35.25171471
227,630140,공단사거리,,128.4821492,35.36695336
228,630146,공단사거리,,128.4822083,35.36731716
229,118819,공단회관,자동차검사장 방면,128.6517422,35.22865943
230,218804,공단회관,삼동 방면,128.6512692,35.22838243
231,519704,공설운동장,중앙동주민센터 방면,128.6562413,35.14997641
232,519708,공설운동장,중원로타리 방면,128.6566456,35.14962043
233,519703,공설운동장(드림빌),,128.6560014,35.14981468
234,518156,공지곡,해인로즈빌 방면,128.8039912,35.11329143
235,518153,공지곡,두동약수터 방면,128.8048512,35.11149303
236,630236,관동중학교,신안마을 방면,128.7941476,35.17980887
237,630237,관동중학교,덕정공원 방면,128.793315,35.17952482
238,630145,관리공단,,128.4791962,35.37249944
239,401310,광려중학교,삼계성단법륜사 방면,128.5034041,35.21782089
240,301303,광려중학교,전안마을 방면,128.5034909,35.21761222
241,630086,광복동,,128.4167678,35.27916839
242,630095,광복동,,128.4167886,35.27906156
243,321924,광암마을,요장리 방면,128.4961289,35.10663543
244,321925,광암마을,광암선창 방면,128.4962032,35.10637652
245,322104,광암선창,광암마을 방면,128.4982582,35.10474243
246,322103,광암선창,주도입구 방면,128.4982195,35.104638
247,505604,괴정.제덕,삼포입구 방면,128.742951,35.10037473
248,505603,괴정.제덕,제덕만택지 방면,128.7429096,35.100225
249,516203,괴정마을,수도마을 방면,128.7454653,35.10125747
250,516202,괴정마을,제덕마을 방면,128.7457616,35.10111947
251,317725,괴정마을,외추마을 방면,128.4720704,35.16249904
252,317726,괴정마을,대티마을 방면,128.4721946,35.16262848
253,409702,교도소,두척송정아랫담 방면,128.5589358,35.2360575
