순번,정류소 아이디,정류소명,방면,X좌표,Y좌표
1,630332,(주)에스에이치아이,,128.7657295,35.08684984
2,630300,(주)태광,,128.831487,35.09063786
3,630301,(주)태광,,128.8312982,35.09031518
4,630418,11부두,,128.65598564,35.1368139
5,104710,1366경남센터,월드메르디앙아파트 방면,128.5986795,35.31273357
6,104709,1366경남센터,감나무골 방면,128.5985963,35.3129172
7,408608,3.15아트센터,문화방송 방면,128.57750044,35.22638784
8,408607,3.15아트센터,메트로시티석전 방면,128.57846454,35.22597873
9,630333,ENK,,128.7707004,35.08688288
10,630354,ENK/한진중공업,,128.769914,35.08578793
11,630060,GS마트,경남대학교 방면,128.5607562,35.18033943
12,630061,GS마트,마산우리요양병원 방면,128.5608527,35.18010402
13,201203,HSD엔진.피케이밸브,신촌삼거리 방면,128.63383863,35.21199806
14,201204,HSD엔진.피케이밸브,한국철강 방면,128.6338485,35.21174866
15,401016,KB국민은행,원계 방면,128.50447141,35.23332675
16,120903,KPE,,128.61504976,35.24676579
17,400127,KT동마산지점,구암동육교 방면,128.5979819,35.25052541
18,400128,KT동마산지점,한국전력 방면,128.5978164,35.25005349
19,300128,KT마산점,부림시장 방면,128.5722024,35.20358937
20,300119,KT마산점,경남데파트 방면,128.57082208,35.20299298
21,300126,KT마산점,어시장 방면,128.5703212,35.20283824
22,213701,LG2공장,,128.6682636,35.21158714
23,213702,LG2공장,,128.6680812,35.21145743
24,214221,LG사원아파트,,128.695576,35.20999853
25,201217,LG산전,남창원역 방면,128.6703362,35.20291643
26,201218,LG산전,현대모비스창원공장 방면,128.6710654,35.20225787
27,503205,LH자은프라임,중흥S클래스 방면,128.7190842,35.15271135
28,401912,MG새마을금고,,128.59509345,35.25376192
29,401913,MG새마을금고,,128.59497953,35.25383552
30,213704,OTIS-LG,,128.6745402,35.20773407
31,213703,OTIS-LG,,128.675016,35.20770682
32,218818,S&T중공업,,128.6814958,35.21113761
33,117001,SCC㈜,,128.6229509,35.24687882
34,118402,SG서보,,128.62615141,35.23984739
35,514506,STX아파트,마천공단입구 방면,128.7784691,35.12031897
36,514505,STX아파트,월남마을 방면,128.778701,35.12066311
37,630225,STX입구,,128.7233512,35.11373143
38,630226,STX입구,,128.7233012,35.11380143
39,104717,STX칸1차아파트정문,,128.5805454,35.32263598
40,104718,STX칸1차아파트정문,,128.5806281,35.32257898
41,104719,STX칸1차아파트후문,휴먼빌2단지 방면,128.583139,35.32264364
42,104720,STX칸1차아파트후문,신음 방면,128.5833086,35.32272974
43,104715,STX칸2차아파트,무동센텀파라디아아파트방면,128.58043,35.31635846
44,104716,STX칸2차아파트,휴먼빌3차아파트 방면,128.5805745,35.31617493
45,630357,㈜HND로지스틱스,,128.7690853,35.09400104
46,502811,㈜대륜기업,,128.77878686,35.115748
47,407005,㈜동방,봉암우체국 방면,128.6001026,35.21766236
48,407006,㈜동방,봉암공단 입구 방면,128.6002837,35.21791973
49,502812,㈜세웅전기,,128.77913278,35.11560421
50,110309,가곡마을,북면연동 방면,128.6442132,35.36062566
51,110310,가곡마을,본포입구 방면,128.6440662,35.36047848
52,118004,가술,,128.7090879,35.33532932
53,118001,가술정류장,,128.7088864,35.33516263
54,640564,가야대역,,128.8653318,35.26691594
55,640565,가야대역,,128.86513419,35.2669235
56,116501,가월마을입구,,128.6750688,35.30386562
57,116403,가월윗담,주남삼거리 방면,128.67292,35.3026771
58,116404,가월윗담,가월입구 방면,128.672971,35.30256926
59,116502,가월입구,,128.6745616,35.30344898
60,214223,가음은아아파트,,128.6942219,35.20787455
61,218813,가음정본동,,128.6875982,35.20813443
62,218815,가음정사거리,가음은아아파트 방면,128.6923705,35.20538959
63,218822,가음정사거리,남산버스정류소 방면,128.6923733,35.20488404
64,500501,가주동,용재 방면,128.8373885,35.10351548
65,630220,가주동시내버스회차지,한마음상회 방면,128.8384582,35.1120361
66,518162,가주동시내버스회차지,대청가든 방면,128.83828525,35.11201304
67,106819,가촌,가촌마을 방면,128.7017388,35.33541892
68,106820,가촌,대산119안전센터 방면,128.7016911,35.33533196
69,106818,가촌마을,가촌 방면,128.6976921,35.33629113
70,106817,가촌마을,대방 방면,128.6978382,35.33627111
71,106829,가촌마을,,128.6970764,35.33801378
72,300642,가포LH1단지,,128.58357141,35.15780093
73,300624,가포고등학교,국립마산병원 방면,128.5709774,35.16815686
74,300623,가포고등학교,가포유원지 방면,128.5710493,35.16797798
75,300619,가포동,가포초등학교 방면,128.57527578,35.1619647
76,300620,가포동,가포유원지 방면,128.57555984,35.1626099
77,300615,가포본동,가포송신소 방면,128.58190642,35.15484182
78,300616,가포본동,가포초등학교 방면,128.58036133,35.15594799
79,300614,가포송신소,가포본동 방면,128.5867603,35.15180381
80,300613,가포송신소,날개 방면,128.5867968,35.15148958
81,300622,가포유원지,가포고등학교 방면,128.573579,35.16573253
82,300621,가포유원지,가포동 방면,128.5733887,35.16568175
83,300618,가포초등학교,가포동 방면,128.57685158,35.15874478
84,300617,가포초등학교,금호어울림아파트 방면,128.57682037,35.15854916
85,322164,갈밭굼,미리마을 방면,128.54837024,35.10497401
86,322163,갈밭굼,명주 방면,128.54847527,35.10487353
87,103706,갈전,,128.675862,35.36340332
88,103727,갈전리,신전 방면,128.6788298,35.36320356
89,103728,갈전리,평리 방면,128.6788137,35.36310782
90,100709,갈전마을,승산 방면,128.6204405,35.30248347
91,100710,갈전마을,화산마을 방면,128.6205108,35.30258261
92,100703,갈전운동장,일동회관 방면,128.6809755,35.36653344
93,100707,갈전운동장,상리 방면,128.6804893,35.36643926
94,119404,감계리,감나무골 방면,128.5997989,35.30733699
95,119403,감계리,1366경남센터 방면,128.5997304,35.30754373
96,103114,감계아내2차아파트,감계입구 방면,128.5965079,35.30222893
97,119324,감계입구,감나무골 방면,128.6010192,35.30317206
98,119323,감계입구,화천리 방면,128.60080745,35.30321771
99,103108,감계중학교,천수림아파트정문 방면,128.5865042,35.30050134
100,103104,감계휴먼빌,감계아내2차아파트 방면,128.5938615,35.30221691
101,103105,감계휴먼빌,덕산아내 방면,128.592914,35.30234189
102,119326,감나무골,대천 방면,128.6007584,35.30757175
103,119325,감나무골,감계입구 방면,128.6006924,35.30697317
104,401306,감나무골,,128.50947867,35.20195738
105,401305,감나무골,신감삼거리 방면,128.5095373,35.20186202
106,640429,감분,,128.85604527,35.2701003
107,640568,감분마을,,128.86064509,35.2711088
108,640569,감분마을,,128.86104231,35.27153976
109,400806,감천,감천마을회관 방면,128.51926121,35.20324547
110,400805,감천,감천 방면,128.51921005,35.20315148
111,301301,감천교,전안마을 방면,128.50938738,35.21007651
112,301302,감천교,,128.50938542,35.20997063
113,400804,감천마을회관,감천초등학교 방면,128.51807882,35.20490733
114,630079,감천입구,감천 방면,128.5133072,35.20771943
115,401014,감천입구,쌀재터널입구 방면,128.5126003,35.20768427
116,400802,감천초등학교,신감삼거리 방면,128.51546459,35.20633701
117,400801,감천초등학교,감천 방면,128.51531035,35.20630965
118,630054,갑오마을,,128.7978299,35.18722156
119,630055,갑오마을,,128.7973206,35.18731289
120,630258,갑오마을4단지,덕정공원 방면,128.7985694,35.18484596
121,630259,갑오마을4단지,갑오마을 방면,128.7990282,35.18485653
122,320704,개양마을,양촌리 방면,128.3822365,35.12739925
123,320703,개양마을,대정입구 방면,128.3826634,35.12714415
124,207804,갯마을,갯마을입구 방면,128.6082435,35.16403823
125,207803,갯마을,삼귀민원센터 방면,128.6081833,35.16389239
126,207806,갯마을입구,마창대교 방면,128.6034407,35.1620411
127,207805,갯마을입구,갯마을 방면,128.6033248,35.1619774
128,315207,거락마을,금암마을 방면,128.3723671,35.14163285
129,315208,거락마을,의산보건진료소 방면,128.3725061,35.14160386
130,630123,거성아파트,대근아파트 방면,128.7144713,35.30485908
131,630363,거성아파트,부곡 방면,128.7152525,35.30471551
132,119371,거풍힐링빌,북면온천 방면,128.6131493,35.35620503
133,119372,거풍힐링빌,행복가득한집 방면,128.6132265,35.35613607
134,219102,검찰청,창원축구센터.법원 방면,128.6979892,35.2260625
135,219103,검찰청,창원시립테니스장입구 방면,128.698655,35.22574398
136,300635,경남대남부터미널종점,해운초등학교 방면,128.5582462,35.17934343
137,300636,경남대남부터미널종점,문화동 방면,128.5584661,35.17916686
138,107506,경남대표도서관,사격장입구 방면,128.6804102,35.24607943
139,107505,경남대표도서관입구,장애인복지회관 방면,128.6799422,35.24646417
140,300104,경남대학교,문화동 방면,128.5593582,35.18242389
141,300101,경남대학교,월영동 방면,128.55782515,35.18046539
142,300102,경남대학교,문화동 방면,128.55868886,35.18085758
143,300124,경남데파트,KT마산점 방면,128.5675512,35.20141248
144,300117,경남데파트,마산합포구청.의료원 방면,128.5673133,35.20119382
145,300122,경남데파트,KT마산점 방면,128.5675358,35.20101762
146,108908,경남도의회,,128.6938382,35.23638243
147,108907,경남도의회,,128.6936532,35.23648343
148,108915,경남도의회,하나님의 교회 방면,128.6934212,35.23509073
149,108916,경남도의회,경남도청 방면,128.6938295,35.23533627
150,119129,경남도청,도청사거리 방면,128.6916432,35.23569746
151,119128,경남도청,토월공원 방면,128.691677,35.2353186
152,105901,경남문화재연구원,유남주유소 방면,128.6364375,35.23198006
153,105902,경남문화재연구원,창원농산물도매시장 방면,128.6365369,35.23180144
154,211603,경남스틸,,128.6554359,35.206764
155,211601,경남스틸,,128.6549012,35.20709443
156,211602,경남스틸,,128.6551298,35.20682507
157,401902,경남아파트,,128.5967508,35.25683837
158,401906,경남아파트,,128.5968139,35.25689352
159,400109,경남은행본점,,128.5767179,35.23061781
160,406101,경남은행연수원,마산성로원 방면,128.5606437,35.21649553
161,118802,경남테크노파크,팔용사거리 방면,128.6078276,35.25327028
162,118801,경남테크노파크,한국전력 방면,128.6067947,35.254398
163,300116,경동메르빌APT,마산합포구청.의료원 방면,128.5667974,35.1947319
164,300113,경동메르빌APT,중부경찰서 방면,128.5665542,35.19474443
165,109402,경상고교,,128.597436,35.25903538
166,102601,경상고등학교,,128.5982512,35.25968044
167,109407,경상고등학교,,128.59827898,35.25960264
168,109403,경상아파트,,128.5974232,35.25891644
169,630355,경일글로벌로지스틱스,,128.7678458,35.08699039
170,523331,경제자유구역청,,128.84142219,35.08557799
171,523332,경제자유구역청,,128.8399686,35.08578256
172,523329,경제자유구역청사거리,,128.83857247,35.08879126
173,523330,경제자유구역청사거리,,128.83859847,35.08909502
174,208903,경창상가,상남대우아파트 방면,128.6796451,35.21990836
175,208904,경창상가,수협경남금융본부 방면,128.6796226,35.21960268
176,516302,경화가압장,경화두산위브아파트 방면,128.6841943,35.15925071
177,516301,경화가압장,경화동 방면,128.6840822,35.15940443
178,516404,경화대동다숲,삼정코아 방면,128.6810826,35.16091587
179,516403,경화대동다숲,경화포스코 방면,128.6809769,35.16099864
180,518115,경화동,경화육교 방면,128.6833189,35.15825456
181,518114,경화동,경화역 방면,128.6841313,35.15826856
182,516303,경화두산위브아파트,경화가압장 방면,128.6849148,35.16096615
183,516304,경화두산위브아파트,삼정코아 방면,128.6850883,35.1610408
184,519820,경화성당,,128.6869288,35.15340175
185,519821,경화시장,경화우체국 방면,128.68992908,35.15375018
186,519822,경화시장,염전사거리 방면,128.6912891,35.15357963
187,518117,경화역,경화동 방면,128.6863744,35.15887932
188,518116,경화역,진해남중 방면,128.686471,35.1587062
189,519819,경화우체국,,128.6858222,35.15356543
190,518112,경화육교,경화동 방면,128.6816094,35.15764096
191,518113,경화육교,산상교회 방면,128.6803154,35.15753982
192,516402,경화포스코,경화대동다숲 방면,128.6799932,35.15961514
193,516401,경화포스코,원창시인의마을 방면,128.6797601,35.15954465
194,640514,계내,,128.91414017,35.24176979
195,640515,계내,,128.91494392,35.24103162
196,630228,계동,도청골 방면,128.7939975,35.18792239
197,630229,계동,대청계곡 방면,128.7941838,35.18777776
198,640574,계동(종점),,128.79309142,35.18702431
199,630232,계동초등학교,덕정 방면,128.7949085,35.18332672
200,630233,계동초등학교,대청계곡 방면,128.7951216,35.18346908
201,201231,고려기업,,128.6348363,35.20854696
202,201232,고려기업,,128.6345049,35.2089801
203,421901,고속버스터미널,신세계백화점 방면,128.5871527,35.22224954
204,421902,고속버스터미널,한일로타리 방면,128.587365,35.22226575
205,101706,고암마을,승산초등학교 방면,128.6284519,35.29692506
206,101707,고암마을,한수 방면,128.6284036,35.29716073
207,104615,고양,화목 방면,128.6554104,35.3060693
208,104618,고양,고양이주단지 방면,128.6555537,35.30595785
209,106709,고양마을회관,,128.6547447,35.30524397
210,106710,고양마을회관,,128.6547145,35.30511756
211,104617,고양이주단지,고양 방면,128.65723636,35.31017632
212,104620,고양이주단지,석산 방면,128.65753219,35.3105305
213,300627,고운초등학교,국립마산병원 방면,128.5622757,35.17134378
214,300628,고운초등학교,월영아파트종점 방면,128.56196766,35.17178938
215,120613,고향의봄도서관,벽산블루밍아파트 방면,128.618673,35.25518428
216,120614,고향의봄도서관,창원과학고등학교 방면,128.618199,35.2552336
217,306308,고현,우산초등학교 방면,128.4795362,35.10256838
218,306307,고현,고현수협조합 방면,128.4794468,35.10255959
219,306305,고현수협조합,고현 방면,128.4792693,35.10063652
220,306306,고현수협조합,장기 방면,128.4791641,35.10070069
221,104614,곡목,화목 방면,128.6634195,35.30157816
222,104611,곡목,창원단감테마공원 방면,128.6633885,35.30147896
223,320709,곡안리,동산마을 방면,128.4145013,35.10947326
224,422821,곡촌,,128.5305272,35.2776557
225,422822,곡촌,,128.5306193,35.27819347
226,630066,골매마을입구,수정 방면,128.5770311,35.1254442
227,630067,골매마을입구,유산마을입구 방면,128.5772458,35.12538367
228,409716,곰티고개,정명사 방면,128.5447904,35.25165247
229,409717,곰티고개,평성마을 방면,128.5449417,35.25171471
230,630140,공단사거리,,128.4821492,35.36695336
231,630146,공단사거리,,128.4822083,35.36731716
232,118819,공단회관,자동차검사장 방면,128.6517422,35.22865943
233,218804,공단회관,삼동.대원대동1차 방면,128.6512692,35.22838243
234,519704,공설운동장,중앙동주민센터 방면,128.6562413,35.14997641
235,519703,공설운동장,블루빌아파트 방면,128.6560014,35.14981468
236,519708,공설운동장,중원로타리 방면,128.65664563,35.14962043
237,640572,공원묘지입구,,128.86430681,35.27792843
238,640573,공원묘지입구,,128.86440126,35.2782131
239,518156,공지곡,해인로즈빌아파트 방면,128.8039912,35.11329143
240,518153,공지곡,두동약수터 방면,128.8048512,35.11149303
241,630236,관동중학교,신안마을 방면,128.7941476,35.17980887
242,630237,관동중학교,덕정공원 방면,128.793315,35.17952482
243,630145,관리공단,,128.4791962,35.37249944
244,518101,관음사입구,양곡중학교 방면,128.6376648,35.18787053
245,518102,관음사입구,목장입구 방면,128.6374688,35.18781221
246,640444,광남백조아파트,,128.87526796,35.24594047
247,640445,광남백조아파트,,128.87515436,35.24577776
248,401310,광려중학교,삼계성단법륜사 방면,128.5034041,35.21782089
249,301303,광려중학교,전안마을 방면,128.5034909,35.21761222
250,630086,광복동,,128.4167678,35.27916839
251,630095,광복동,,128.4167886,35.27906156
252,518203,광석골입구,,128.71137957,35.13045649
253,518204,광석골입구,,128.71135706,35.13056045
254,321924,광암마을,요장리 방면,128.4961289,35.10663543
255,321925,광암마을,광암선창 방면,128.4962032,35.10637652
