개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
오동동 문화광장,오동동 문화광장,기타,연중무휴,10:30,17:00,10:30,17:00,N,,,,,,,,,,,경상남도 창원시 마산합포구 동성동 177-1,경상남도 창원시청,,055-247-0141,,35.20635544,128.5771345,2025-06-13
3·15 해양누리공원 풋살장,3·15 해양누리공원,풋살경기장,연중무휴,08:00,20:00,08:00,20:00,N,,,,,,,,,,경상남도 창원시 마산합포구 드림베이대로 17,,경상남도 창원시청,해양항만수산국 해양레저과,,,35.18000994,128.5665533,2025-06-13
3·15 해양누리공원 테니스장,3·15 해양누리공원,테니스장,연중무휴,09:00,21:00,09:00,21:00,N,,,,,,,,,,경상남도 창원시 마산합포구 드림베이대로 33,,경상남도 창원시청,해양항만수산국 해양레저과,,,35.17919318,128.5670952,2025-06-13
3·15 해양누리공원 그라운드골프장,3·15 해양누리공원,기타,연중무휴,09:00,18:00,09:00,18:00,N,,,,,,,,,,,경상남도 창원시 마산합포구 월영동 730-1,경상남도 창원시청,해양항만수산국 해양레저과,,,35.17701411,128.5683353,2025-06-13
3·15 해양누리공원 게이트볼장,3·15 해양누리공원,기타,연중무휴,09:00,18:00,09:00,18:00,N,,,,,,,,,,,경상남도 창원시 마산합포구 해운동 56-4,경상남도 창원시청,해양항만수산국 해양레저과,,,35.17810372,128.5677254,2025-06-13
사화풋살장,사화풋살장,풋살경기장,연중무휴,08:00,22:00,08:00,22:00,N,,,,,,,,인터넷,,,경상남도 창원시 의창구 반계동 385,경상남도 창원시 의창구청,,,,35.2491732,128.6238132,2025-06-13
무동풋살장,무동풋살장,풋살경기장,연중무휴,08:00,22:00,08:00,22:00,N,,,,,,,,인터넷,,경상남도 창원시 의창구 북면 무동로 202,,경상남도 창원시 의창구청,,,,35.31661265,128.5868737,2025-06-13
동읍주민복지관 본관 3층,동읍주민복지관,강당,주말+공휴일,09:00,18:00,00:00,00:00,Y,1.5,기본30000,1,15000,50,275,책상+의자,방문,,경상남도 창원시 의창구 동읍 동읍로83번길 4,경상남도 창원시 의창구 동읍 용잠리 687,경상남도 창원시 의창구청,동읍주민자치회 총무팀,055-253-0775,,35.283808,128.6816287,2025-06-13
동읍행정복지센터 2층,동읍행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,50,100,책상+의자,방문,,경상남도 창원시 의창구 동읍 동읍로 88,경상남도 창원시 의창구 동읍 용잠리 575,경상남도 창원시 의창구청,동읍행정복지센터 총무팀,055-212-5116,,35.28436998,128.6827218,2025-06-13
동읍행정복지센터 3층,동읍행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,50,300,빔프로젝터+책상+의자,방문,,경상남도 창원시 의창구 동읍 동읍로 88,경상남도 창원시 의창구 동읍 용잠리 575,경상남도 창원시 의창구청,동읍행정복지센터 총무팀,055-212-5116,,35.28436998,128.6827218,2025-06-13
팔룡동행정복지센터 소회의실,팔룡동행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 의창구 팔용로 435,,경상남도 창원시 의창구청,팔룡동행정복지센터 총무팀,,,35.25547625,128.6128282,2025-06-13
팔룡동행정복지센터 동민홀,팔룡동행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,경상남도 창원시 의창구 팔용로 435,,경상남도 창원시 의창구청,팔룡동행정복지센터 총무팀,,,35.25547625,128.6128282,2025-06-13
봉림동행정복지센터 체력단련실,봉림동행정복지센터,기타,일요일+공휴일,08:00,21:00,08:00,21:00,Y,,,,,,,,,,"경상남도 창원시 의창구 대봉로26번길 5, 3층",,경상남도 창원시 의창구청,봉림동행정복지센터,,,35.25192278,128.6675921,2025-06-13
봉곡운동장 농구장,봉곡운동장,농구장,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,,,,,경상남도 창원시 의창구 창이대로169번길 16-17,,경상남도 창원시 의창구청,봉림동 주민자치센터,,,35.24578099,128.6566635,2025-06-13
봉곡운동장 다목적구장,봉곡운동장,축구장,연중무휴,08:00,21:00,08:00,21:00,Y,,,,,,,,,,경상남도 창원시 의창구 창이대로169번길 16-17,,경상남도 창원시 의창구청,봉림동 주민자치센터,,,35.24578099,128.6566635,2025-06-13
봉곡운동장 다목적구장,봉곡운동장,족구장,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,,,,,경상남도 창원시 의창구 창이대로169번길 16-17,,경상남도 창원시 의창구청,봉림동 주민자치센터,,,35.24578099,128.6566635,2025-06-13
반지민원센터 회의실,반지민원센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,Y,,,,,,,,,,경상남도 창원시 성산구 반송로 52,,경상남도 창원시 성산구청,반송동행정복지센터,,,35.24077301,128.6625562,2025-06-13
반송동행정복지센터 동정회의실,반송동행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,Y,,,,,,,,,,경상남도 창원시 성산구 원이대로473번길 19-14,,경상남도 창원시 성산구청,반송동행정복지센터,,,35.23583077,128.6695475,2025-06-13
중앙동행정복지센터 2층 교양강좌실,중앙동행정복지센터,강의실,주말+공휴일,09:00,18:00,00:00,00:00,Y,2,,,,20,,빔프로젝터+책상 10개+의자 30개,공문+방문,,경상남도 창원시 성산구 외동반림로 5,경상남도 창원시 성산구 중앙동 151,경상남도 창원시 성산구청,중앙동행정복지센터 총무팀,055-272-5213,,35.22105148,128.6737098,2025-06-13
중앙동행정복지센터 4층 대강당,중앙동행정복지센터,강당,주말+공휴일,09:00,18:00,00:00,00:00,Y,2,,,,50,,빔프로젝터+책상 20개+의자 60개,공문+방문,,경상남도 창원시 성산구 외동반림로 5,경상남도 창원시 성산구 중앙동 151,경상남도 창원시 성산구청,중앙동행정복지센터 총무팀,055-272-5213,,35.22105148,128.6737098,2025-06-13
대원레포츠공원 소운동장,대원레포츠공원,축구장,연중무휴,07:00,18:00,07:00,18:00,N,,,,,100,,,인터넷,,경상남도 창원시 성산구 두대로 46,경상남도 창원시 성산구 대원동 109,경상남도 창원시 성산구청 산림농정과,중앙동행정복지센터,055-272-5219,https://www.changwon.go.kr/booking/10032/10082/10398.web,35.23173002,128.6482139,2025-06-13
