"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
48121-00001,사화공원,근린공원,경상남도 창원시 의창구 사화로 213-4,경상남도 창원시 의창구 사화동 산 6-6,35.245934,128.630036,1281283.6,,,,,,1964-08-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00002,용동공원,근린공원,경상남도 창원시 의창구 창원대학로 20,경상남도 창원시 의창구 퇴촌동 산 73,35.2459596336,128.694817,184811,,,,,,1975-02-19,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00003,남산공원,근린공원,경상남도 창원시 의창구 팔용로 494-37,경상남도 창원시 의창구 서상동 산 33,35.257674,128.619197,126206,,,,,,1977-04-18,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00004,어린이공원27,어린이공원,,경상남도 창원시 의창구 도계동 305-4,35.260652,128.633595,1591.6,,,,,,1981-07-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00005,어린이공원28,어린이공원,,경상남도 창원시 의창구 도계동 398-1,35.257692,128.638075,1618.9,,,,,,1981-07-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00006,어린이공원29,어린이공원,,경상남도 창원시 의창구 도계동 413-4,35.257068,128.640606,1600,,,,,,1981-07-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00007,한들공원,근린공원,,경상남도 창원시 의창구 봉림동 602-6,35.255975,128.667911,35078,,,,,,1985-11-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00008,어린이공원31,어린이공원,,경상남도 창원시 의창구 팔용동 165-9,35.258761,128.610676,2745,,,,,,1986-03-22,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00009,어린이공원32,어린이공원,,경상남도 창원시 의창구 팔용동 182,35.260312,128.613588,4824.1,,,,,,1986-03-22,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00010,어린이공원39,어린이공원,,경상남도 창원시 의창구 팔용동 196,35.260889,128.616997,1921.2,,,,,,1987-03-13,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00011,어린이공원69,어린이공원,,경상남도 창원시 의창구 소답동 123-13,35.266306,128.626391,1602,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00012,어린이공원70,어린이공원,,경상남도 창원시 의창구 소답동 128-5,35.267244,128.627802,1596.6,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00013,어린이공원71,어린이공원,,경상남도 창원시 의창구 소답동 114-4,35.261833,128.626196,1601.6,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00014,어린이공원72,어린이공원,,경상남도 창원시 의창구 소답동 153-3,35.262893,128.630142,1601.2,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00015,어린이공원73,어린이공원,,경상남도 창원시 의창구 소답동 131-12,35.265872,128.627454,1516.8,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00016,도계체육공원,체육공원,경상남도 창원시 의창구 도계두리길 199,경상남도 창원시 의창구 도계동 378-4,35.258352,128.641193,37703,,,,,,1997-12-19,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00017,소계공원,체육공원,,경상남도 창원시 의창구 소계동 790-3,35.260552,128.594495,36747,,,,,,1997-12-19,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00018,어린이공원83,어린이공원,,경상남도 창원시 의창구 봉곡동 5,35.248737,128.655481,690.6,,,,,,1998-12-19,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00019,평산공원,근린공원,경상남도 창원시 의창구 반계로68번길 5,경상남도 창원시 의창구 팔용동 72-1,35.251463,128.6150603714,10777.5,,,,,,1999-08-10,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00020,어린이공원91,어린이공원,,경상남도 창원시 의창구 사림동 72-1,35.244308,128.683062,1252.8,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00021,어린이공원92,어린이공원,,경상남도 창원시 의창구 사림동 155,35.248535,128.686153,1800,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00022,어린이공원93,어린이공원,,경상남도 창원시 의창구 도계동 309-1,35.261897,128.635913,1602.1,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00023,어린이공원94,어린이공원,,경상남도 창원시 의창구 도계동 321-1,35.262883,128.639394,1592.3,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00024,어린이공원95,어린이공원,경상남도 창원시 의창구 하남천동길16번길 3-19,경상남도 창원시 의창구 도계동 358-1,35.260461,128.639848,1710.3,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00025,어린이공원96,어린이공원,,경상남도 창원시 의창구 도계동 341-3,35.259133,128.636174,1598.6,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00026,어린이공원97,어린이공원,,경상남도 창원시 의창구 도계동 419-3,35.255475,128.639977,1593.9,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00027,어린이공원98,어린이공원,,경상남도 창원시 의창구 도계동 406-3,35.255319,128.637489,1597,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00028,어린이공원99,어린이공원,,경상남도 창원시 의창구 명서동 9-2,35.250029,128.639159,1777.2,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00029,기쁨공원,어린이공원,,경상남도 창원시 의창구 명서동 87-1,35.246767,128.640949,1500,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00030,어린이공원101,어린이공원,,경상남도 창원시 의창구 명서동 114-1,35.242347,128.643173,1499.9,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00031,어린이공원102,어린이공원,,경상남도 창원시 의창구 명서동 153-22,35.249003,128.650552,1500.6,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00032,어린이공원103,어린이공원,,경상남도 창원시 의창구 봉곡동 47,35.244884,128.654655,1253.6,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00033,어린이공원104,어린이공원,경상남도 창원시 의창구 봉곡로24번길 9-20,경상남도 창원시 의창구 봉곡동 96-2,35.248349,128.664748,1421.3,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00034,어린이공원105,어린이공원,경상남도 창원시 의창구 봉곡로68번길 16,경상남도 창원시 의창구 봉곡동 106,35.247886,128.666457,8857.8,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
