시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
S10,경상남도교육청,창원시,교습소,3000012246,1등급수학교습소,20130429,20130429,개원,        ,99991231,48,8,입시.검정 및 보습,보통교과,,보습,"초등수학A:20000, 초등수학B:350000, 중등수학A:230000, 중등수학B:320000, 고등수학A:280000, 고등수학B:300000",Y,N,경상남도 창원시 마산회원구 양덕서로 47,", 메트로스퀘어 5상가 316호 (양덕동, 메트로스퀘어5)",51317,055-222-6004,20241215
S10,경상남도교육청,창원시,교습소,3000021365,1등수학교습소,20221019,20221019,개원,        ,99991231,105,5,입시.검정 및 보습,보통교과,수학(초등수학(1~2)),보습,"수학(초등수학(1~2)):180000, 수학(초등수학(1~2)):170000, 수학(초등수학(1~2)):170000, 수학(초등수학(3~4)):190000, 수학(초등수학(3~4)):180000, 수학(초등수학(3~4)):180000, 수학(초등수학(5~6)):210000, 수학(초등수학(5~6)):200000, 수학(초등수학(5~6)):200000, 수학(중1):260000, 수학(중2):270000, 수학(중3):280000, 수학(중1):240000, 수학(중2):250000, 수학(중3):260000, 수학(고등1):300000, 수학(고등1):340000, 수학(고등2):310000, 수학(고등2):360000, 수학(고등3):310000, 수학(고등3):360000",Y,N,경상남도 창원시 성산구 창원천로 288,", 대동그린코아 상가 2층 218호 (반지동, 대동아파트)",51423,,20231018
S10,경상남도교육청,창원시,교습소,3000023952,3030영어교습소,20230728,20230728,개원,        ,        ,0,0,입시.검정 및 보습,보통교과,초등영어(1~2학년),보통교과,"초등영어(1~2학년):220000, 초등영어(3~6학년):220000, 중등영어(1,2학년):230000, 중등영어(3학년):230000, 고등영어(1학년):260000, 고등영어(2,3학년):275000",Y, ,경상남도 창원시 의창구 북면 감계로 259,감계힐스테이트3차 근린생활시설동 102호,51112,,20250216
S10,경상남도교육청,창원시,교습소,3000020482,A+에이플러스영어교습소,20211115,20211115,개원,        ,99991231,99,9,입시.검정 및 보습,보통교과,영어(초등 파닉스),보통교과,"영어(초등 파닉스):150000, 영어(초등 A):230000, 영어(초등 B):250000, 영어(중등 A):260000, 영어(중등 B):270000, 영어(중등 C):280000, 영어(고등 A):300000, 영어(고등 B):320000, 영어(고등 C):350000, 영어(고등 D):400000, 영어(문법특강(중,고)):100000",Y,N,경상남도 창원시 성산구 창이대로881번길 9,", 다성빌딩 601호 (대방동, 다성빌딩)",51465,,20231018
S10,경상남도교육청,창원시,교습소,14863,BJ피아노교습소,20100323,20100323,개원,        ,99991231,28,4,예능(대),예능(중),,음악,"피아노(초급):140000, 피아노(중급):150000, 피아노(고급):160000, 4단계(체르니40번):100000, 2단계(주3회):70000, 3단계(주3회):75000, 4단계(주3회):80000",Y,N,경상남도 창원시 성산구 대암로 80,", 303-2호(대방동, 성원아파트상가) (대방동)",51462,null,20240121
S10,경상남도교육청,창원시,교습소,3000030280,BOB수학교습소,20240626,20240626,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,초등수학A,보통교과,"초등수학A:150000, 초등수학B:180000, 초등수학C:200000, 중등수학A:180000, 중등수학B:230000, 고등초급:200000, 중등수학C:280000, 고등심화:250000",Y, ,경상남도 창원시 성산구 창이대로 733,사파동성아파트 상가에이동 301호(사파동),51459,,20250720
S10,경상남도교육청,창원시,교습소,3000032714,B에이블영어교습소,20250901,20250901,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,초등 A,보통교과,"초등 A:230000, 초등 B:230000, 중등 A:280000, 중등 C:300000, 고등 A:350000, 중등 B:300000",Y, ,경상남도 창원시 성산구 창원천로 34,"121동 324호(대원동,포레나 대원)",51415,010-4825-8731,20250914
S10,경상남도교육청,창원시,교습소,3000032613,CSH수학교습소,20250707,20250707,개원,        ,        ,0,7,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 성산구 원이대로473번길 9,207호(노블파크아파트주구중심상가동)(반림동),51427,,20250817
S10,경상남도교육청,창원시,교습소,3000030009,EZ수학교습소,20240220,20240215,개원,        ,        ,0,6,입시.검정 및 보습,보통교과,초등수학(주3)-1,보습,"초등수학(주3)-1:65000, 초등수학(주3)-2:65000, 초등수학(주3)-3:125000, 초등수학(주5):170000, 중등수학(주5):195000, 중등수학(주3):210000, 고등수학(주3):250000",Y, ,경상남도 창원시 성산구 대정로 145,(대방동),51463,,20240922
S10,경상남도교육청,창원시,교습소,3000015049,En Top(엔탑)수학교습소,20160309,20160309,개원,        ,99991231,35,9,입시.검정 및 보습,보통교과,초등 수학 A,보습,"초등 수학 A:150000, 초등 수학 B:180000, 중등 수학 A:200000, 중등 수학 B:220000, 고등 수학 A:250000, 고등 수학 B:300000",Y,N,경상남도 창원시 진해구 충무로70번길 6-1,", 3층 (회현동)",51676,null,20250914
S10,경상남도교육청,창원시,교습소,3000015271,FM수학교습소,20160516,20160516,개원,        ,99991231,18,6,입시.검정 및 보습,보통교과,초등반A,보통교과,"초등반A:190000, 중등반B:170000, 초등반B:170000, 중등반C:190000, 초등반C:190000, 고등반A:330000, 고등반C:190000, 중등반A:250000, 고등반B:200000, 고등반D:400000",Y,N,경상남도 창원시 의창구 도계로 135,", 109호 일부 (명서동, 두산위브아파트 두산위브상가1)",51170,055-297-0907,20250831
S10,경상남도교육청,창원시,교습소,3000032570,GOM수학교습소,20250609,20250609,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 마산회원구 양덕옛2길 79,", 2층 전체(석전동)",51316,,20250615
S10,경상남도교육청,창원시,교습소,3000032682,HG국어교습소,20250807,20250807,개원,        ,        ,0,7,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 성산구 반송로 148-9,"232호(반림동, 반송아이필프라자)",51426,,20250817
S10,경상남도교육청,창원시,교습소,3000021857,ILE영어교습소,20230428,20230428,개원,        ,99991231,45,9,입시.검정 및 보습,보통교과,초등영어 A,보습,"초등영어 A:360000, 초등영어 B:220000, 중등영어:230000, 고등영어:250000",Y,N,경상남도 창원시 진해구 여좌로 25,", 1층 일부 (여좌동)",51690,null,20241215
S10,경상남도교육청,창원시,교습소,3000032467,ITC영어교습소,20250401,20250401,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 의창구 중동중앙로 47,(중동) 어반브릭스 TOWER 603호,51382,,20250406
S10,경상남도교육청,창원시,교습소,3000032047,IVY영어교습소,20240927,20240927,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 의창구 동읍 동읍로 200,", 칠성그린아파트 주민복지관 1층10호",51118,,20240929
S10,경상남도교육청,창원시,교습소,3000017304,J2M(제이투엠)수학교습소,20180313,20180313,개원,        ,99991231,56,8,입시.검정 및 보습,보통교과,사회(중등심화및통합사회A),보습, ,Y,N,경상남도 창원시 성산구 원이대로473번길 9,", 301호 (반림동, 노블파크아파트 주구중심상가동)",51427,,20231018
S10,경상남도교육청,창원시,교습소,3000021161,JINKIM영어교습소,20220722,20220722,개원,        ,99991231,27,8,입시.검정 및 보습,보통교과,영어(초등영어(종합A)),보습,"영어(초등영어(종합A)):240000, 영어(중등영어):280000, 영어(고등영어):320000",Y,N,경상남도 창원시 의창구 북면 감계로 300,", 2층 201호 일부 (북면, 코아상가)",51112,null,20240714
S10,경상남도교육청,창원시,교습소,3000032335,JLC영어교습소,20250207,20250207,개원,        ,        ,0,9,국제화,,,, ,Y, ,경상남도 창원시 마산합포구 현동1길 8,", 114호(현동,중흥에스클래스프라디움3차 상가동)",51777,,20250420
S10,경상남도교육청,창원시,교습소,3000032524,JS스텝영어교습소,20250508,20250508,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 성산구 가음정로23번길 10-36,(가음동) 503호,51510,,20250518
S10,경상남도교육청,창원시,교습소,3000017188,James(제임스)시스템영어교습소,20180213,20180213,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,,보습,"초/영어/주5회:120000, 중/영어/주5회:200000, 고/영어A/주3회/100분:250000, 고/영어B/주2회/:250000, 초등영어:150000, 중등영어:200000, 고등영어:300000",Y,N,경상남도 창원시 마산합포구 중앙동3길 26,", 경동메르빌상가 304호 (중앙동2가)",51738,,20231018
S10,경상남도교육청,창원시,교습소,3000018696,J지니영어교습소,20190830,20190830,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,영어(초등),보습,"영어(초등):232000, 영어(중등):300000, 영어(고등):350000",Y,N,경상남도 창원시 의창구 창원천로 34,", 3층 제314호 (대원동, 대원 꿈에그린)",51415,,20231018
S10,경상남도교육청,창원시,교습소,3000032070,KAN수학교습소,20241010,20241010,개원,        ,        ,0,4,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 마산회원구 봉덕1길 6,",1층 일부(봉암동)",51346,,20250420
S10,경상남도교육청,창원시,교습소,3000030274,KNS기타트레이닝센터음악교습소,20240625,20240625,개원,        ,        ,0,9,예능(대),,,, ,Y, ,경상남도 창원시 마산합포구 월영동로 8,", 425호(해운동,대동씨코아)",51749,,20240630
S10,경상남도교육청,창원시,교습소,3000016586,KingstonEnglish(킹스턴잉글리쉬)영어교습소,20170817,20170817,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,영어/초등A반,보습,"영어/초등A반:150000, 영어/초등B반:130000, 영어/초등C반(주3회):95000, 영어/중등(주5회):170000, 영어/중등A반(주3회):170000, 영어/중등B반(주3회):190000, 영어/고등A반(주2회):176000, 영어/고등B반(주2회):190000, 영어/고등C반(주3회):260000",Y,N,경상남도 창원시 마산회원구 구암동3길 5,", 2층일부 (구암동)",51205,,20231018
S10,경상남도교육청,창원시,교습소,3000032624,K중등수학교습소,20250714,20250714,개원,        ,        ,0,7,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 의창구 북면 감계로110번길 54-31,"405-1호(북면, 드림타워)",51112,010-9337-6570,20250817
S10,경상남도교육청,창원시,교습소,3000019242,MAX아이엘츠영어교습소,20200401,20200331,개원,        ,99991231,16,8,입시.검정 및 보습,보통교과,영어(실전저녁반),보습,"영어(실전저녁반):480000, 영어(시험준비1반):400000, 영어(시험준비2반):580000, 영어(실전오후반):390000, 영어(단과오후반):190000",Y,N,경상남도 창원시 성산구 원이대로 652,", 4층 401호 (상남동, 롯데빌딩)",51495,null,20240602
S10,경상남도교육청,창원시,교습소,3000032702,ME플룻교습소,20250825,20250825,개원,        ,        ,0,4,예능(대),,,, ,Y, ,경상남도 창원시 성산구 원이대로 320,G-152호(시티세븐)(대원동),51408,010-3035-7956,20250831
S10,경상남도교육청,창원시,교습소,3000032640,MJ잉글리시영어교습소,20250718,20250718,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 의창구 북면 감계로 342,104호(부상가동)(창원감계 아내에코프리미엄2차),51111,010-9432-4807,20250817
S10,경상남도교육청,창원시,교습소,3000018466,ML수학교습소,20190523,20190523,개원,        ,99991231,34,9,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):150000, 수학(중등):220000, 수학(고등):330000",Y,N,경상남도 창원시 성산구 대정로 145,", 3층 제308호 (대방동, 대방개나리1차아파트)",51463,,20250323
S10,경상남도교육청,창원시,교습소,3000015107,Maya(마야)영어교습소,20160322,20160322,개원,        ,99991231,18,9,입시.검정 및 보습,보통교과,중등반,보습,"중등반:220000, 파닉스반:160000, 초등기초반:160000, 초등고급반:180000",Y,N,경상남도 창원시 의창구 도계로95번길 10-18,(도계동),51161,null,20250126
S10,경상남도교육청,창원시,교습소,3000016398,Moon's(문스)피아노교습소,20170608,20170608,개원,        ,99991231,10,5,예능(대),예능(중),,음악, ,Y,N,경상남도 창원시 성산구 외리로34번길 15,", 상가동 201호 (성주동)",51471,,20231018
S10,경상남도교육청,창원시,교습소,3000020180,NE능률영어코치영어교습소,20210625,20210625,개원,        ,99991231,63,7,입시.검정 및 보습,보통교과,초등4회,보습,"초등4회:229000, 중등2회:236000, 초등(파닉스/Y) :210000, 초등(VG/G):220000, 중등A:230000, 중등B:230000, 중등:250000, 고등A:300000, 고등B:270000, 초등3회:143000",Y,N,경상남도 창원시 의창구 창원천로 34,", 121동 230호 (대원동, 포레나 대원)",51415,null,20241215
S10,경상남도교육청,창원시,교습소,3000029983,N수학교습소,20240126,20240126,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 성산구 용호로 9,"(용호동,용지 더샵 레이크파크 상가)",51438,,20240303
S10,경상남도교육청,창원시,교습소,3000032208,Q&A수학교습소,20241223,20241223,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 의창구 동읍 의창대로 857,3층,51132,,20250105
S10,경상남도교육청,창원시,교습소,3000019898,RUTC(알유티씨)신항수학교습소,20210225,20210225,개원,        ,99991231,30,6,입시.검정 및 보습,보통교과,중등 수학 3,보습,"중등 수학 3:220000, 초등 수학 1:180000, 초등 수학 2:180000, 초등 수학 3:130000, 중등 수학 1:220000, 중등 수학 2:220000",Y,N,경상남도 창원시 진해구 신항북로 202,", 203호 (용원동, 부산신항만 이지더원아파트 2단지 213동 상가동)",51611,null,20250126
S10,경상남도교육청,창원시,교습소,3000017366,SEBCommunication(에스이비커뮤니케이션)영어교습소,20180402,20180402,개원,        ,99991231,21,3,입시.검정 및 보습,보통교과,중등기초반+발음및회화,보습,"중등기초반+발음및회화:280000, 중등완성반+발음및회화:280000, 고등내신+수능대비:320000, 영어회화기초반:320000, 영어회화심화반:320000, 영어회화숙련자반:400000, OPIC대비반:320000",Y,N,경상남도 창원시 의창구 외동반림로 206,", 203호 (용호동, 일동임대아파트상가동 2)",51433,,20231018
S10,경상남도교육청,창원시,교습소,3000032719,S과학교습소,20250908,20250908,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,경상남도 창원시 마산합포구 월영마을로 7,"상가동 101호(월영동,월영현대1차아파트)",51772,,20250914
S10,경상남도교육청,창원시,교습소,3000015325,THE CLASS(더클래스)영어교습소,20160608,20160608,개원,        ,99991231,56,8,입시.검정 및 보습,,영어(Level 1 Class),,"영어(Level 1 Class):230000, 영어(Level 2 Class):250000, 영어(Level 3 Class):280000, 영어(Level 4 Class):300000, 영어(중등특강 Class):140000, 영어(고등특강 Class):190000, 영어(실용영어 Class):300000",Y,N,경상남도 창원시 진해구 석동로 59,", 205호 (석동,세이브코아)",51587,,20240519
S10,경상남도교육청,창원시,교습소,3000021479,THE-MATH수학교습소,20221206,20221206,개원,        ,99991231,0,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,경상남도 창원시 성산구 대암로 251,", 프리빌리지아파트 상가 112동 205호",51471,,20240714
S10,경상남도교육청,창원시,교습소,3000021376,THE정수학교습소,20221021,20221021,개원,        ,99991231,16,4,입시.검정 및 보습,보통교과,수학(초등수학),보습, ,Y,N,경상남도 창원시 성산구 반송로 148-9,", 반송아이필프라자 234호 (반림동)",51426,,20231018
S10,경상남도교육청,창원시,교습소,3000021304,THE호크마수학교습소,20220915,20220915,개원,        ,99991231,40,8,입시.검정 및 보습,보통교과,수학(미적2),보습,"수학(미적2):330000, 수학(기하):150000, 수학(공통수학1,2):270000, 수학(대수, 미적1):270000, 수학(초등):200000, 수학(중등):250000, 수학(공통수학1,2):270000, 수학(대수, 미적1):300000, 수학(확률):300000",Y,N,경상남도 창원시 의창구 북면 감계로 233,", 425동 B208호 (북면, 창원 감계 힐스테이트 4차)",51112,null,20250316
S10,경상남도교육청,창원시,교습소,3000018694,The(더)오름수학교습소,20190828,20190828,개원,        ,99991231,45,5,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:190000, 초등수학B:190000, 초등수학C:190000, 초등수학D:190000, 초등수학E:190000, 중등수학A:230000, 중등수학B:230000, 중등수학C:230000, 중등수학D:230000",Y,N,경상남도 창원시 마산회원구 합성북16길 197,", 롯데캐슬더퍼스트 상가동 126호 (합성동, 롯데캐슬더퍼스트)",51208,null,20241229
S10,경상남도교육청,창원시,교습소,3000032109,T셀파수학교습소,20241031,20241031,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,수학(고등(나)),보통교과,"수학(고등(나)):350000, 수학(고등(다)):400000, 수학(초등(가)):150000, 수학(초등(나)):180000, 수학(초등(다)):200000, 수학(초등(라)):100000, 수학(중등(가)):230000, 수학(중등(나)):250000, 수학(중등(다)):280000, 수학(중등(라)):125000, 수학(고등(가)):300000",Y, ,경상남도 창원시 성산구 창원천로 34,", 121동 312호(대원동,포레나 대원)",51415,,20241222
S10,경상남도교육청,창원시,교습소,3000014315,UNIT수능수학교습소,20150626,20150626,개원,        ,99991231,70,7,입시.검정 및 보습,보통교과,초C,보습,"초C:100000, 초B:200000, 초A:300000, 중A:300000, 중B:400000, 중C:500000, 고A:300000, 고B:400000, 고C:500000",Y,N,경상남도 창원시 성산구 가음정로 59,", 근린생활시설 206호 일부 (가음동, 창원 센텀 푸르지오)",51511,null,20250720
