"행정구역별","산업별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"합계","합계","사업체수[개]","개","86643","114518","114965","114464","114490",
"합계","합계","여성대표자사업체수[개]","개","36581","45891","46085","45927","46254",
"합계","합계","종사자수[명]","명","452114","468586","469009","476752","480140",
"합계","합계","남자종사자수[명]","명","262008","276598","274257","277884","275440",
"합계","합계","여자종사자수[명]","명","190106","191988","194752","198868","204700",
"합계","농업,임업 및 어업","사업체수[개]","개","18","52","57","64","61",
"합계","농업,임업 및 어업","종사자수[명]","명","136","205","180","331","387",
"합계","광업","사업체수[개]","개","15","12","12","12","8",
"합계","광업","종사자수[명]","명","85","57","61","63","61",
"합계","제조업","사업체수[개]","개","10274","13625","13611","13858","12233",
"합계","제조업","종사자수[명]","명","126562","130061","127736","129333","126277",
"합계","전기,가스,증기 및 공기조절 공급업","사업체수[개]","개","37","238","223","215","251",
"합계","전기,가스,증기 및 공기조절 공급업","종사자수[명]","명","779","1063","1074","1055","1146",
"합계","수도, 하수 및 폐기물 처리, 원료 재생업","사업체수[개]","개","152","212","214","217","201",
"합계","수도, 하수 및 폐기물 처리, 원료 재생업","종사자수[명]","명","1942","2063","2231","2253","2211",
"합계","건설업","사업체수[개]","개","3133","8064","8238","8322","8380",
"합계","건설업","종사자수[명]","명","23205","29620","27681","27026","26961",
"합계"," 도매 및 소매업","사업체수[개]","개","20627","28783","27806","27452","27778",
"합계"," 도매 및 소매업","종사자수[명]","명","57033","58856","58344","56715","55450",
"합계","운수 및 창고업","사업체수[개]","개","6697","9363","10073","9773","10710",
"합계","운수 및 창고업","종사자수[명]","명","20176","22595","25715","25345","30121",
"합계","숙박 및 음식점업","사업체수[개]","개","18143","19957","19922","19408","19208",
"합계","숙박 및 음식점업","종사자수[명]","명","47466","41433","41523","43441","44275",
"합계","정보통신업","사업체수[개]","개","463","872","953","1008","1107",
"합계","정보통신업","종사자수[명]","명","4445","5063","5196","5179","5506",
"합계","금융 및 보험업","사업체수[개]","개","981","1193","1220","1177","1193",
"합계","금융 및 보험업","종사자수[명]","명","14606","13797","14133","13569","13835",
"합계","부동산업","사업체수[개]","개","3127","4504","4475","4541","4449",
"합계","부동산업","종사자수[명]","명","10517","11366","12393","12066","12070",
"합계","전문,과학 및 기술 서비스업","사업체수[개]","개","2023","3190","3193","3272","3305",
"합계","전문,과학 및 기술 서비스업","종사자수[명]","명","12866","15980","15143","15997","15871",
"합계","사업시설관리, 사업지원 및 임대 서비스업","사업체수[개]","개","1443","2849","2710","2560","2524",
"합계","사업시설관리, 사업지원 및 임대 서비스업","종사자수[명]","명","20418","21030","20230","23324","23446",
"합계","공공행정,국방 및 사회보장행정","사업체수[개]","개","224","225","230","230","231",
"합계","공공행정,국방 및 사회보장행정","종사자수[명]","명","13864","17428","15979","16385","16633",
"합계","교육서비스업","사업체수[개]","개","4460","5197","5574","5679","5868",
"합계","교육서비스업","종사자수[명]","명","31835","31040","31359","31658","30993",
"합계","보건업 및 사회복지 서비스업","사업체수[개]","개","2985","3041","3143","3213","3191",
"합계","보건업 및 사회복지 서비스업","종사자수[명]","명","39400","41746","44308","46859","49164",
"합계","예술,스포츠 및 여가관련 서비스업","사업체수[개]","개","2411","2583","2557","2564","2512",
"합계","예술,스포츠 및 여가관련 서비스업","종사자수[명]","명","8173","6912","6704","7151","6857",
"합계","협회 및 단체,수리 및 기타 개인서비스업","사업체수[개]","개","9430","10558","10754","10899","11280",
"합계","협회 및 단체,수리 및 기타 개인서비스업","종사자수[명]","명","18606","18271","19019","19002","18876",
"의창구","합계","사업체수[개]","개","23417","31246","26924","27317","27434",
"의창구","합계","여성대표자사업체수[개]","개","9097","11795","10029","10229","10319",
"의창구","합계","종사자수[명]","명","117897","124795","98739","100895","101818",
"의창구","합계","남자종사자수[명]","명","67315","71786","56149","56940","56526",
"의창구","합계","여자종사자수[명]","명","50582","53009","42590","43955","45292",
"의창구","농업,임업 및 어업","사업체수[개]","개","12","31","31","37","34",
"의창구","농업,임업 및 어업","종사자수[명]","명","109","168","132","146","188",
"의창구","광업","사업체수[개]","개","5","4","3","2","1",
"의창구","광업","종사자수[명]","명","14","9","8","X","6",
"의창구","제조업","사업체수[개]","개","3146","4363","3991","4107","3738",
"의창구","제조업","종사자수[명]","명","23352","24991","21115","21274","20501",
"의창구","전기,가스,증기 및 공기조절 공급업","사업체수[개]","개","14","124","101","96","109",
"의창구","전기,가스,증기 및 공기조절 공급업","종사자수[명]","명","458","590","121","107","130",
"의창구","수도, 하수 및 폐기물 처리, 원료 재생업","사업체수[개]","개","31","40","35","37","33",
"의창구","수도, 하수 및 폐기물 처리, 원료 재생업","종사자수[명]","명","272","319","235","226","212",
"의창구","건설업","사업체수[개]","개","1255","2376","2169","2186","2171",
"의창구","건설업","종사자수[명]","명","9467","11437","8762","8331","8519",
"의창구"," 도매 및 소매업","사업체수[개]","개","5797","8153","7042","7069","7208",
"의창구"," 도매 및 소매업","종사자수[명]","명","16279","17419","15135","15096","14940",
"의창구","운수 및 창고업","사업체수[개]","개","1697","2147","2114","2104","2327",
"의창구","운수 및 창고업","종사자수[명]","명","3870","4506","4410","4487","4520",
"의창구","숙박 및 음식점업","사업체수[개]","개","4196","4668","3940","3892","3813",
"의창구","숙박 및 음식점업","종사자수[명]","명","10910","9804","8078","8508","8629",
"의창구","정보통신업","사업체수[개]","개","173","303","258","284","316",
"의창구","정보통신업","종사자수[명]","명","1444","1635","998","1106","1210",
"의창구","금융 및 보험업","사업체수[개]","개","181","219","170","183","195",
"의창구","금융 및 보험업","종사자수[명]","명","2639","2213","1447","1563","1863",
"의창구","부동산업","사업체수[개]","개","853","1255","911","937","947",
"의창구","부동산업","종사자수[명]","명","3048","3000","1832","1842","1854",
"의창구","전문,과학 및 기술 서비스업","사업체수[개]","개","666","1044","747","820","825",
"의창구","전문,과학 및 기술 서비스업","종사자수[명]","명","4346","5561","3496","3956","4025",
"의창구","사업시설관리, 사업지원 및 임대 서비스업","사업체수[개]","개","473","928","693","657","682",
"의창구","사업시설관리, 사업지원 및 임대 서비스업","종사자수[명]","명","9124","8411","5722","6121","5804",
"의창구","공공행정,국방 및 사회보장행정","사업체수[개]","개","68","67","40","40","38",
"의창구","공공행정,국방 및 사회보장행정","종사자수[명]","명","7273","8312","4342","4450","4538",
"의창구","교육서비스업","사업체수[개]","개","1038","1251","1085","1138","1175",
"의창구","교육서비스업","종사자수[명]","명","8510","8350","6929","7029","7131",
"의창구","보건업 및 사회복지 서비스업","사업체수[개]","개","696","737","638","661","654",
"의창구","보건업 및 사회복지 서비스업","종사자수[명]","명","9788","11478","10459","10951","12150",
