"행정구역별(1)",행정구역별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(1)",행정구역별(2),합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상
"행정구역별(1)",행정구역별(2),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"합계",소계,86643,36581,452114,262008,190106,71079,127369,9103,57347,3287,43308,2084,62931,709,48297,296,45853,44,16710,22,15864,19,34435,114518,45891,468586,276598,191988,100044,146990,8147,52115,3203,42428,2051,61806,684,46799,294,46153,49,18524,26,17818,20,35953,114965,46085,469009,274257,194752,100489,147448,7958,50231,3296,43649,2155,65317,703,47752,273,43357,45,17847,28,20307,18,33101,114464,45927,476752,277884,198868,99932,147877,7941,50327,3301,43591,2192,65840,718,48165,283,45217,52,20535,26,18710,19,36490,114490,46254,480140,275440,204700,99526,142672,8237,51890,3436,45177,2198,66704,730,50033,264,42997,52,20303,25,18178,22,42186
"의창구",소계,23417,9097,117897,67315,50582,18991,33895,2656,16764,919,12148,577,17447,177,11744,82,12407,5,1873,4,2909,6,8710,31246,11795,124795,71786,53009,27030,40403,2478,15873,921,12384,537,16287,178,12088,82,12476,9,3446,6,4358,5,7480,26924,10029,98739,56149,42590,23315,34695,2110,13407,828,10997,490,14989,121,8070,47,7167,6,2076,4,3420,3,3918,27317,10229,100895,56940,43955,23719,35448,2051,13078,840,11057,511,15058,133,8791,50,7883,6,2303,4,3132,3,4145,27434,10319,101818,56526,45292,23653,34295,2173,13754,886,11563,534,15981,126,8576,49,7603,6,2180,3,2350,4,5516
"의창구",동읍,1286,510,4968,2711,2257,1069,1840,122,777,58,750,27,772,6,361,4,468,-,-,-,-,-,-,1804,653,6045,3566,2479,1586,2371,111,702,58,799,36,1101,7,432,6,640,0,0,0,0,0,0,1831,659,5656,3172,2484,1605,2368,124,786,61,837,34,1072,4,259,3,334,0,0,0,0,0,0,1803,654,5551,3164,2387,1578,2300,121,782,60,809,35,976,6,345,3,339,0,0,0,0,0,0,1851,655,5477,3062,2415,1627,2286,126,807,54,751,38,1128,4,272,2,X,-,-,-,-,-,-
"의창구",북면,1967,835,7513,3699,3814,1559,2851,282,1817,85,1099,31,864,7,481,3,401,-,-,-,-,-,-,3023,1217,8724,4391,4333,2615,3988,285,1863,85,1080,29,842,6,513,3,438,0,0,0,0,0,0,3175,1281,8903,4554,4349,2759,4040,278,1734,93,1190,36,1011,6,458,3,470,0,0,0,0,0,0,3444,1383,9500,4899,4601,3027,4437,277,1770,90,1164,41,1202,5,365,4,562,0,0,0,0,0,0,3594,1434,9941,5119,4822,3133,4389,302,1912,104,1325,44,1238,7,536,4,541,-,-,-,-,-,-
"의창구",대산면,938,268,4611,3124,1487,708,1255,126,835,52,722,43,1224,9,575,-,-,-,-,-,-,-,-,1388,369,5100,3542,1558,1141,1727,134,885,72,1019,33,948,8,521,0,0,0,0,0,0,0,0,1375,369,5103,3508,1595,1127,1636,127,806,73,1019,41,1141,7,501,0,0,0,0,0,0,0,0,1377,355,5274,3620,1654,1138,1688,123,774,61,849,44,1174,11,789,0,0,0,0,0,0,0,0,1388,369,5239,3561,1678,1129,1595,139,869,64,844,46,1247,10,684,-,-,-,-,-,-,-,-
"의창구",의창동,3067,1461,9496,4706,4790,2672,4462,258,1633,84,1109,42,1348,8,487,3,457,-,-,-,-,-,-,4103,1854,10553,5232,5321,3751,5299,218,1359,79,1029,38,1196,12,791,5,879,0,0,0,0,0,0,4194,1898,11104,5229,5875,3759,5458,276,1761,102,1312,41,1301,13,767,3,505,0,0,0,0,0,0,4255,1949,11943,5414,6529,3806,5481,273,1747,111,1418,49,1421,11,657,4,725,1,494,0,0,0,0,4293,1984,12563,5546,7017,3789,5296,323,2059,104,1391,58,1716,13,853,5,814,1,X,-,-,-,-
"의창구",팔룡동,6799,2005,41313,26882,14431,5096,9535,969,6194,359,4794,259,7814,77,5194,37,5684,1,380,-,-,1,1718,9021,2710,42242,27644,14598,7405,11524,908,5878,367,4985,231,6960,74,4982,31,4466,4,1622,0,0,1,1825,7750,2238,33612,22292,11320,6371,9847,762,4893,326,4340,215,6616,49,3278,25,3748,1,320,1,570,0,0,7854,2287,34307,22485,11822,6458,10253,744,4747,340,4474,230,6760,58,3861,22,3321,1,353,1,538,0,0,7699,2236,33963,22210,11753,6245,9652,779,4964,371,4846,226,6891,53,3697,24,3362,-,-,1,X,-,-
