emd_cd,youth_20_34,pop_total,youth_share
4812000000,165721,999858,0.16574453572407283
4812100000,36042,209695,0.1718782040582751
4812125000,2520,18279,0.137863121614968
4812131000,5273,42941,0.1227963950536783
4812132000,686,6674,0.1027869343721906
4812151000,8299,48537,0.1709829614520881
4812152000,5086,24886,0.204371936028289
4812153000,7245,39104,0.18527516366612112
4812154000,6933,29274,0.23683131789301087
4812300000,48337,244489,0.19770623627238854
4812351000,6335,39004,0.16241923905240488
4812351500,5093,26167,0.19463446325524517
4812352000,9782,37763,0.2590366231496438
4812353000,4908,26359,0.1861982624530521
4812354000,8816,44547,0.1979033380474555
4812355000,7293,37505,0.19445407279029464
4812356000,4914,26113,0.18818213150538046
4812357000,1196,7031,0.17010382591381026
4812500000,25603,178211,0.1436667770227427
4812531000,291,3919,0.07425363613166625
4812532000,1257,11551,0.10882174703488876
4812533000,234,3110,0.0752411575562701
4812534000,213,3630,0.05867768595041322
4812551000,1476,13605,0.10848952590959206
4812552000,1260,4982,0.25291047771979125
4812553000,6583,40977,0.16065109695682944
4812554000,2319,10762,0.21548039397881436
4812556500,1757,13247,0.1326338038801238
4812557000,1187,8354,0.14208762269571462
4812558000,1155,8945,0.1291224147568474
4812561000,2832,18963,0.14934345831355797
4812563000,2486,18197,0.1366159257020388
4812564000,819,6555,0.12494279176201373
4812565000,1734,11414,0.15191869633783073
4812700000,26575,178724,0.14869295673776325
4812725000,9269,59388,0.1560753014076918
4812751000,1092,9536,0.11451342281879194
4812752000,1434,9505,0.15086796422935297
4812754500,2299,15821,0.1453131913279818
4812755000,581,5168,0.11242260061919504
4812756000,1518,10290,0.14752186588921282
4812757000,4654,32384,0.14371294466403162
4812758000,1387,8605,0.1611853573503777
4812759000,1418,8336,0.17010556621880998
4812760000,1057,8116,0.13023656973878758
4812761000,1496,8735,0.17126502575844305
4812762000,370,2840,0.13028169014084506
4812900000,29164,188739,0.15452026343257091
4812953000,2905,15495,0.18747983220393674
4812954000,1013,7811,0.12968890026885163
4812955000,447,3459,0.12922810060711187
4812956000,1418,10466,0.13548633670934454
4812957000,966,6862,0.1407752841737103
4812958000,3100,17098,0.18130775529301674
4812959000,1483,8221,0.18039167984430118
4812960000,2969,20215,0.1468711352955726
4812961000,1560,9248,0.16868512110726644
4812962000,3044,24805,0.1227171941140899
4812963000,2130,13886,0.1533919055163474
4812964000,1168,7657,0.1525401593313308
4812965000,6961,43516,0.1599641511168306
