"행정구역","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율"
"경상남도 경상남도 창원시 (4812000000)","1,036,738","442,097","          2.35","525,278","511,460","          1.03","1,032,741","451,940","          2.29","523,223","509,518","          1.03","1,021,487","456,191","          2.24","517,211","504,276","          1.03"
"경상남도 경상남도 창원시 의창구 (4812100000)","262,408","111,656","          2.35","133,544","128,864","          1.04","218,027","95,630","          2.28","110,998","107,029","          1.04","215,823","96,712","          2.23","109,824","105,999","          1.04"
"경상남도 창원시 의창구 동읍(4812125000)","20,051","8,934","          2.24","10,221","9,830","          1.04","19,769","9,069","          2.18","10,073","9,696","          1.04","19,391","9,153","          2.12","9,911","9,480","          1.05"
"경상남도 창원시 의창구 북면(4812131000)","43,411","16,498","          2.63","21,918","21,493","          1.02","43,422","16,676","          2.60","21,851","21,571","          1.01","43,092","16,635","          2.59","21,700","21,392","          1.01"
"경상남도 창원시 의창구 대산면(4812132000)","7,225","3,685","          1.96","3,675","3,550","          1.04","7,118","3,673","          1.94","3,600","3,518","          1.02","6,956","3,687","          1.89","3,513","3,443","          1.02"
"경상남도 창원시 의창구 의창동(4812151000)","50,992","20,847","          2.45","25,793","25,199","          1.02","50,348","21,116","          2.38","25,495","24,853","          1.03","50,093","21,371","          2.34","25,327","24,766","          1.02"
"경상남도 창원시 의창구 팔룡동(4812152000)","37,958","15,126","          2.51","19,479","18,479","          1.05","25,927","11,008","          2.36","13,254","12,673","          1.05","25,757","11,173","          2.31","13,106","12,651","          1.04"
"경상남도 창원시 의창구 명곡동(4812153000)","42,402","18,022","          2.35","21,574","20,828","          1.04","41,362","18,171","          2.28","21,036","20,326","          1.03","40,556","18,339","          2.21","20,606","19,950","          1.03"
"경상남도 창원시 의창구 봉림동(4812154000)","30,336","15,415","          1.97","15,814","14,522","          1.09","30,081","15,917","          1.89","15,689","14,392","          1.09","29,978","16,354","          1.83","15,661","14,317","          1.09"
"경상남도 창원시 의창구 용지동(4812155000)","30,033","13,129","          2.29","15,070","14,963","          1.01","","","","","","","","","","","",""
"경상남도 경상남도 창원시 성산구 (4812300000)","214,570","86,158","          2.49","109,642","104,928","          1.04","251,562","105,052","          2.39","128,346","123,216","          1.04","248,512","106,194","          2.34","126,737","121,775","          1.04"
"경상남도 창원시 성산구 반송동(4812351000)","41,935","15,436","          2.72","21,161","20,774","          1.02","41,027","15,461","          2.65","20,690","20,337","          1.02","40,120","15,542","          2.58","20,158","19,962","          1.01"
"경상남도 창원시 성산구 용지동(4812351500)","0","0","          0.00","0","0","          0.00","29,453","13,296","          2.22","14,802","14,651","          1.01","27,350","12,397","          2.21","13,800","13,550","          1.02"
"경상남도 창원시 성산구 중앙동(4812352000)","22,953","13,096","          1.75","12,620","10,333","          1.22","34,507","17,890","          1.93","18,611","15,896","          1.17","34,573","18,428","          1.88","18,693","15,880","          1.18"
"경상남도 창원시 성산구 상남동(4812353000)","28,257","10,528","          2.68","14,217","14,040","          1.01","27,699","10,693","          2.59","13,906","13,793","          1.01","27,198","10,758","          2.53","13,631","13,567","          1.00"
"경상남도 창원시 성산구 사파동(4812354000)","45,636","18,299","          2.49","22,719","22,917","          0.99","44,616","18,521","          2.41","22,186","22,430","          0.99","46,259","19,717","          2.35","22,935","23,324","          0.98"
"경상남도 창원시 성산구 가음정동(4812355000)","41,241","15,823","          2.61","20,931","20,310","          1.03","40,288","16,000","          2.52","20,428","19,860","          1.03","39,585","16,052","          2.47","20,045","19,540","          1.03"
"경상남도 창원시 성산구 성주동(4812356000)","26,615","9,556","          2.79","13,844","12,771","          1.08","26,219","9,719","          2.70","13,659","12,560","          1.09","25,927","9,838","          2.64","13,503","12,424","          1.09"
"경상남도 창원시 성산구 웅남동(4812357000)","7,933","3,420","          2.32","4,150","3,783","          1.10","7,753","3,472","          2.23","4,064","3,689","          1.10","7,500","3,462","          2.17","3,972","3,528","          1.13"
"경상남도 경상남도 창원시 마산합포구 (4812500000)","175,716","80,142","          2.19","87,418","88,298","          0.99","181,322","84,087","          2.16","90,141","91,181","          0.99","179,496","84,722","          2.12","89,243","90,253","          0.99"
"경상남도 창원시 마산합포구 구산면(4812531000)","4,318","2,326","          1.86","2,230","2,088","          1.07","4,202","2,322","          1.81","2,181","2,021","          1.08","4,114","2,343","          1.76","2,129","1,985","          1.07"
"경상남도 창원시 마산합포구 진동면(4812532000)","12,349","5,473","          2.26","6,330","6,019","          1.05","12,129","5,528","          2.19","6,239","5,890","          1.06","11,903","5,533","          2.15","6,124","5,779","          1.06"
"경상남도 창원시 마산합포구 진북면(4812533000)","3,544","1,777","          1.99","1,889","1,655","          1.14","3,378","1,757","          1.92","1,808","1,570","          1.15","3,309","1,751","          1.89","1,762","1,547","          1.14"
"경상남도 창원시 마산합포구 진전면(4812534000)","4,004","2,226","          1.80","1,990","2,014","          0.99","3,848","2,180","          1.77","1,900","1,948","          0.98","3,770","2,174","          1.73","1,865","1,905","          0.98"
"경상남도 창원시 마산합포구 현동(4812551000)","14,293","5,645","          2.53","7,109","7,184","          0.99","14,124","5,681","          2.49","7,007","7,117","          0.98","13,916","5,676","          2.45","6,895","7,021","          0.98"
"경상남도 창원시 마산합포구 가포동(4812552000)","941","566","          1.66","496","445","          1.11","1,543","942","          1.64","793","750","          1.06","2,236","1,335","          1.67","1,137","1,099","          1.03"
"경상남도 창원시 마산합포구 월영동(4812553000)","35,173","13,845","          2.54","17,438","17,735","          0.98","42,370","16,851","          2.51","21,034","21,336","          0.99","42,156","17,065","          2.47","20,888","21,268","          0.98"
"경상남도 창원시 마산합포구 문화동(4812554000)","11,277","5,662","          1.99","5,577","5,700","          0.98","10,983","5,767","          1.90","5,436","5,547","          0.98","11,110","6,004","          1.85","5,537","5,573","          0.99"
"경상남도 창원시 마산합포구 반월중앙동(4812556500)","14,882","6,513","          2.28","7,246","7,636","          0.95","14,460","6,465","          2.24","7,030","7,430","          0.95","13,964","6,369","          2.19","6,773","7,191","          0.94"
"경상남도 창원시 마산합포구 완월동(4812557000)","9,274","4,042","          2.29","4,522","4,752","          0.95","9,001","4,065","          2.21","4,350","4,651","          0.94","8,846","4,061","          2.18","4,291","4,555","          0.94"
"경상남도 창원시 마산합포구 자산동(4812558000)","10,874","4,903","          2.22","5,361","5,513","          0.97","10,286","4,795","          2.15","5,058","5,228","          0.97","10,018","4,738","          2.11","4,918","5,100","          0.96"
"경상남도 창원시 마산합포구 교방동(4812561000)","15,508","6,871","          2.26","7,686","7,822","          0.98","16,106","7,247","          2.22","7,988","8,118","          0.98","16,001","7,263","          2.20","7,924","8,077","          0.98"
"경상남도 창원시 마산합포구 오동동(4812563000)","19,688","10,532","          1.87","9,754","9,934","          0.98","19,334","10,552","          1.83","9,550","9,784","          0.98","19,076","10,552","          1.81","9,475","9,601","          0.99"
"경상남도 창원시 마산합포구 합포동(4812564000)","6,921","3,560","          1.94","3,502","3,419","          1.02","7,328","3,811","          1.92","3,707","3,621","          1.02","7,053","3,704","          1.90","3,559","3,494","          1.02"
"경상남도 창원시 마산합포구 산호동(4812565000)","12,670","6,201","          2.04","6,288","6,382","          0.99","12,230","6,124","          2.00","6,060","6,170","          0.98","12,024","6,154","          1.95","5,966","6,058","          0.98"
"경상남도 경상남도 창원시 마산회원구 (4812700000)","191,289","82,303","          2.32","95,938","95,351","          1.01","186,881","82,405","          2.27","93,661","93,220","          1.00","183,662","82,697","          2.22","91,696","91,966","          1.00"
"경상남도 창원시 마산회원구 내서읍(4812725000)","64,835","24,814","          2.61","32,638","32,197","          1.01","63,446","25,042","          2.53","31,908","31,538","          1.01","62,429","25,292","          2.47","31,282","31,147","          1.00"
"경상남도 창원시 마산회원구 회원1동(4812751000)","10,504","5,221","          2.01","5,216","5,288","          0.99","10,164","5,170","          1.97","5,028","5,136","          0.98","10,023","5,190","          1.93","4,943","5,080","          0.97"
"경상남도 창원시 마산회원구 회원2동(4812752000)","9,994","4,525","          2.21","4,928","5,066","          0.97","10,064","4,598","          2.19","4,975","5,089","          0.98","9,928","4,592","          2.16","4,891","5,037","          0.97"
"경상남도 창원시 마산회원구 석전동(4812754500)","17,142","7,906","          2.17","8,604","8,538","          1.01","16,791","7,894","          2.13","8,387","8,404","          1.00","16,634","7,895","          2.11","8,270","8,364","          0.99"
