"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_20~24세","2020년_계_25~29세","2020년_계_30~34세","2020년_계_35~39세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_20~24세","2020년_남_25~29세","2020년_남_30~34세","2020년_남_35~39세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_20~24세","2020년_여_25~29세","2020년_여_30~34세","2020년_여_35~39세","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_20~24세","2021년_계_25~29세","2021년_계_30~34세","2021년_계_35~39세","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_20~24세","2021년_남_25~29세","2021년_남_30~34세","2021년_남_35~39세","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_20~24세","2021년_여_25~29세","2021년_여_30~34세","2021년_여_35~39세","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_20~24세","2022년_계_25~29세","2022년_계_30~34세","2022년_계_35~39세","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_20~24세","2022년_남_25~29세","2022년_남_30~34세","2022년_남_35~39세","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_20~24세","2022년_여_25~29세","2022년_여_30~34세","2022년_여_35~39세"
"경상남도 창원시 (4812000000)","1,036,738","264,048","64,433","65,607","59,273","74,735","525,278","143,321","35,895","36,535","31,946","38,945","511,460","120,727","28,538","29,072","27,327","35,790","1,032,741","255,302","60,781","64,586","60,473","69,462","523,223","139,198","33,918","36,321","32,563","36,396","509,518","116,104","26,863","28,265","27,910","33,066","1,021,487","242,950","55,414","62,343","61,233","63,960","517,211","132,843","31,059","35,070","33,109","33,605","504,276","110,107","24,355","27,273","28,124","30,355"
"경상남도 창원시 의창구 (4812100000)","262,408","71,235","17,477","18,422","15,998","19,338","133,544","38,658","9,722","10,248","8,645","10,043","128,864","32,577","7,755","8,174","7,353","9,295","218,027","56,104","13,371","14,483","13,265","14,985","110,998","30,528","7,426","8,155","7,092","7,855","107,029","25,576","5,945","6,328","6,173","7,130","215,823","53,097","11,960","14,085","13,339","13,713","109,824","29,014","6,769","7,905","7,190","7,150","105,999","24,083","5,191","6,180","6,149","6,563"
"경상남도 창원시 의창구 동읍(4812125000)","20,051","4,080","1,249","1,037","794","1,000","10,221","2,313","729","613","463","508","9,830","1,767","520","424","331","492","19,769","3,929","1,170","1,026","818","915","10,073","2,258","691","612","468","487","9,696","1,671","479","414","350","428","19,391","3,704","1,034","1,029","832","809","9,911","2,198","643","631","484","440","9,480","1,506","391","398","348","369"
"경상남도 창원시 의창구 북면(4812131000)","43,411","12,085","1,760","2,224","3,118","4,983","21,918","6,152","1,015","1,157","1,536","2,444","21,493","5,933","745","1,067","1,582","2,539","43,422","11,047","1,569","2,017","2,947","4,514","21,851","5,577","906","1,071","1,403","2,197","21,571","5,470","663","946","1,544","2,317","43,092","10,008","1,330","1,817","2,786","4,075","21,700","5,067","773","985","1,343","1,966","21,392","4,941","557","832","1,443","2,109"
"경상남도 창원시 의창구 대산면(4812132000)","7,225","1,310","317","331","302","360","3,675","782","188","184","193","217","3,550","528","129","147","109","143","7,118","1,238","306","306","313","313","3,600","743","171","179","193","200","3,518","495","135","127","120","113","6,956","1,111","248","278","286","299","3,513","668","152","155","178","183","3,443","443","96","123","108","116"
"경상남도 창원시 의창구 의창동(4812151000)","50,992","14,238","3,389","3,685","3,218","3,946","25,793","7,673","1,869","2,011","1,732","2,061","25,199","6,565","1,520","1,674","1,486","1,885","50,348","13,473","3,168","3,500","3,200","3,605","25,495","7,319","1,757","1,932","1,725","1,905","24,853","6,154","1,411","1,568","1,475","1,700","50,093","12,670","2,837","3,368","3,202","3,263","25,327","6,909","1,603","1,853","1,733","1,720","24,766","5,761","1,234","1,515","1,469","1,543"
"경상남도 창원시 의창구 팔룡동(4812152000)","37,958","11,173","2,938","2,764","2,733","2,738","19,479","6,083","1,666","1,511","1,473","1,433","18,479","5,090","1,272","1,253","1,260","1,305","25,927","7,523","1,918","1,911","1,891","1,803","13,254","4,037","1,056","1,041","979","961","12,673","3,486","862","870","912","842","25,757","7,223","1,733","1,934","1,856","1,700","13,106","3,878","969","1,034","975","900","12,651","3,345","764","900","881","800"
"경상남도 창원시 의창구 명곡동(4812153000)","42,402","10,994","3,408","3,264","2,016","2,306","21,574","5,963","1,840","1,828","1,080","1,215","20,828","5,031","1,568","1,436","936","1,091","41,362","10,362","3,005","3,109","2,166","2,082","21,036","5,687","1,647","1,753","1,193","1,094","20,326","4,675","1,358","1,356","973","988","40,556","9,891","2,604","3,034","2,299","1,954","20,606","5,441","1,452","1,684","1,263","1,042","19,950","4,450","1,152","1,350","1,036","912"
"경상남도 창원시 의창구 봉림동(4812154000)","30,336","8,619","2,256","2,593","1,916","1,854","15,814","4,969","1,218","1,559","1,142","1,050","14,522","3,650","1,038","1,034","774","804","30,081","8,532","2,235","2,614","1,930","1,753","15,689","4,907","1,198","1,567","1,131","1,011","14,392","3,625","1,037","1,047","799","742","29,978","8,490","2,174","2,625","2,078","1,613","15,661","4,853","1,177","1,563","1,214","899","14,317","3,637","997","1,062","864","714"
"경상남도 창원시 의창구 용지동(4812155000)","30,033","8,736","2,160","2,524","1,901","2,151","15,070","4,723","1,197","1,385","1,026","1,115","14,963","4,013","963","1,139","875","1,036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 창원시 성산구 (4812300000)","214,570","61,682","15,686","16,660","14,368","14,968","109,642","33,685","8,782","9,242","7,913","7,748","104,928","27,997","6,904","7,418","6,455","7,220","251,562","71,150","17,320","19,422","17,573","16,835","128,346","39,042","9,722","10,896","9,647","8,777","123,216","32,108","7,598","8,526","7,926","8,058","248,512","68,673","15,540","18,715","18,024","16,394","126,737","37,862","8,736","10,502","9,878","8,746","121,775","30,811","6,804","8,213","8,146","7,648"
"경상남도 창원시 성산구 반송동(4812351000)","41,935","10,295","3,061","2,625","2,041","2,568","21,161","5,488","1,739","1,453","1,102","1,194","20,774","4,807","1,322","1,172","939","1,374","41,027","9,720","2,816","2,454","2,073","2,377","20,690","5,215","1,604","1,378","1,105","1,128","20,337","4,505","1,212","1,076","968","1,249","40,120","9,084","2,517","2,330","2,035","2,202","20,158","4,881","1,446","1,251","1,097","1,087","19,962","4,203","1,071","1,079","938","1,115"
"경상남도 창원시 성산구 용지동(4812351500)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29,453","8,497","1,994","2,461","2,014","2,028","14,802","4,586","1,088","1,361","1,085","1,052","14,651","3,911","906","1,100","929","976","27,350","7,547","1,647","2,165","1,962","1,773","13,800","4,117","906","1,212","1,067","932","13,550","3,430","741","953","895","841"
"경상남도 창원시 성산구 중앙동(4812352000)","22,953","8,793","1,690","2,824","2,221","2,058","12,620","5,104","928","1,619","1,342","1,215","10,333","3,689","762","1,205","879","843","34,507","12,206","2,465","3,697","3,248","2,796","18,611","6,975","1,363","2,133","1,887","1,592","15,896","5,231","1,102","1,564","1,361","1,204","34,573","12,163","2,310","3,758","3,319","2,776","18,693","6,989","1,240","2,216","1,939","1,594","15,880","5,174","1,070","1,542","1,380","1,182"
"경상남도 창원시 성산구 상남동(4812353000)","28,257","7,725","2,252","1,964","1,695","1,814","14,217","4,184","1,272","1,084","926","902","14,040","3,541","980","880","769","912","27,699","7,364","2,050","1,905","1,741","1,668","13,906","4,008","1,148","1,066","961","833","13,793","3,356","902","839","780","835","27,198","6,908","1,766","1,788","1,772","1,582","13,631","3,772","995","1,009","941","827","13,567","3,136","771","779","831","755"
"경상남도 창원시 성산구 사파동(4812354000)","45,636","12,962","3,176","3,402","3,203","3,181","22,719","6,893","1,753","1,809","1,701","1,630","22,917","6,069","1,423","1,593","1,502","1,551","44,616","12,373","2,947","3,271","3,232","2,923","22,186","6,669","1,648","1,764","1,738","1,519","22,430","5,704","1,299","1,507","1,494","1,404","46,259","13,014","2,770","3,295","3,712","3,237","22,935","6,967","1,534","1,727","1,999","1,707","23,324","6,047","1,236","1,568","1,713","1,530"
"경상남도 창원시 성산구 가음정동(4812355000)","41,241","12,413","2,927","3,267","3,065","3,154","20,931","6,713","1,644","1,794","1,617","1,658","20,310","5,700","1,283","1,473","1,448","1,496","40,288","11,872","2,624","3,162","3,118","2,968","20,428","6,450","1,492","1,773","1,652","1,533","19,860","5,422","1,132","1,389","1,466","1,435","39,585","11,275","2,343","3,009","3,052","2,871","20,045","6,180","1,346","1,695","1,614","1,525","19,540","5,095","997","1,314","1,438","1,346"
