행정동코드,측정일,측정시간,측정카테고리,측정값
4831000000,2024-08-31,1,pm10Value,17.8571
4831000000,2024-08-31,2,pm10Value,19
4831000000,2024-08-31,3,pm10Value,13.5
4831000000,2024-08-31,4,pm10Value,14
4831000000,2024-08-31,5,pm10Value,12.5
4831000000,2024-08-31,6,pm10Value,15
4831000000,2024-08-31,7,pm10Value,14
4831000000,2024-08-31,8,pm10Value,15.6667
4831000000,2024-08-31,9,pm10Value,17
4831000000,2024-08-31,10,pm10Value,19.6667
4831000000,2024-08-31,11,pm10Value,16.6667
4831000000,2024-08-31,12,pm10Value,17
4831000000,2024-08-31,13,pm10Value,16.3333
4831000000,2024-08-31,14,pm10Value,18
4831000000,2024-08-31,15,pm10Value,20.3333
4831000000,2024-08-31,16,pm10Value,19.3333
4831000000,2024-08-31,17,pm10Value,20
4831000000,2024-08-31,18,pm10Value,21
4831000000,2024-08-31,19,pm10Value,22
4831000000,2024-08-31,20,pm10Value,21.6667
4831000000,2024-08-31,21,pm10Value,19.4
4831000000,2024-08-31,22,pm10Value,25
4831000000,2024-08-31,23,pm10Value,13.6667
4831000000,2024-09-01,1,pm10Value,15
4831000000,2024-09-01,2,pm10Value,14.3333
4831000000,2024-09-01,3,pm10Value,16.6
4831000000,2024-09-01,4,pm10Value,11
4831000000,2024-09-01,5,pm10Value,8.6667
4831000000,2024-09-01,6,pm10Value,7.5
4831000000,2024-09-01,7,pm10Value,15.3333
4831000000,2024-09-01,8,pm10Value,13.3333
4831000000,2024-09-01,9,pm10Value,13.6667
4831000000,2024-09-01,10,pm10Value,13.6667
4831000000,2024-09-01,11,pm10Value,14.6667
4831000000,2024-09-01,12,pm10Value,17
4831000000,2024-09-01,13,pm10Value,14.6667
4831000000,2024-09-01,14,pm10Value,19
4831000000,2024-09-01,15,pm10Value,15.6667
4831000000,2024-09-01,16,pm10Value,16.6667
4831000000,2024-09-01,17,pm10Value,16
4831000000,2024-09-01,18,pm10Value,16.75
4831000000,2024-09-01,19,pm10Value,14
4831000000,2024-09-01,20,pm10Value,16.3333
4831000000,2024-09-01,21,pm10Value,16.3333
4831000000,2024-09-01,22,pm10Value,15
4831000000,2024-09-01,23,pm10Value,16.3333
4831000000,2024-09-01,0,pm10Value,15
4831000000,2024-09-02,1,pm10Value,14
4831000000,2024-09-02,2,pm10Value,15.5
4831000000,2024-09-02,3,pm10Value,14
4831000000,2024-09-02,4,pm10Value,14
4831000000,2024-09-02,5,pm10Value,14.5
4831000000,2024-09-02,6,pm10Value,17
4831000000,2024-09-02,7,pm10Value,18
4831000000,2024-09-02,8,pm10Value,21
4831000000,2024-09-02,9,pm10Value,21
4831000000,2024-09-02,10,pm10Value,23.6667
4831000000,2024-09-02,11,pm10Value,28.3333
4831000000,2024-09-02,12,pm10Value,30
4831000000,2024-09-02,13,pm10Value,29.6667
4831000000,2024-09-02,14,pm10Value,26.6667
4831000000,2024-09-02,15,pm10Value,25.6667
4831000000,2024-09-02,16,pm10Value,21.6667
4831000000,2024-09-02,17,pm10Value,18
4831000000,2024-09-02,18,pm10Value,17
4831000000,2024-09-02,19,pm10Value,18
4831000000,2024-09-02,20,pm10Value,27
4831000000,2024-09-02,21,pm10Value,30.6667
4831000000,2024-09-02,22,pm10Value,28.6667
4831000000,2024-09-02,23,pm10Value,27.6667
4831000000,2024-09-03,1,pm10Value,29.25
4831000000,2024-09-03,2,pm10Value,26.5
4831000000,2024-09-03,3,pm10Value,28
4831000000,2024-09-03,4,pm10Value,28.6667
4831000000,2024-09-03,5,pm10Value,27.3333
4831000000,2024-09-03,6,pm10Value,22
4831000000,2024-09-03,7,pm10Value,19.6667
4831000000,2024-09-03,8,pm10Value,15
4831000000,2024-09-03,9,pm10Value,13
4831000000,2024-09-03,10,pm10Value,18
4831000000,2024-09-03,11,pm10Value,11
4831000000,2024-09-03,12,pm10Value,7.5
4831000000,2024-09-03,13,pm10Value,20
4831000000,2024-09-03,14,pm10Value,24.5
4831000000,2024-09-03,15,pm10Value,21
4831000000,2024-09-03,16,pm10Value,20
4831000000,2024-09-03,17,pm10Value,22.3333
4831000000,2024-09-03,18,pm10Value,20.3333
4831000000,2024-09-03,19,pm10Value,19.6667
4831000000,2024-09-03,20,pm10Value,19
4831000000,2024-09-03,21,pm10Value,18
4831000000,2024-09-03,22,pm10Value,14.6
4831000000,2024-09-03,23,pm10Value,14
4831000000,2024-09-04,1,pm10Value,12
4831000000,2024-09-04,2,pm10Value,11
4831000000,2024-09-04,4,pm10Value,11.5
4831000000,2024-09-04,6,pm10Value,9
4831000000,2024-09-04,9,pm10Value,11.5
4831000000,2024-09-04,10,pm10Value,12
4831000000,2024-09-04,11,pm10Value,16
4831000000,2024-09-04,12,pm10Value,11.6667
4831000000,2024-09-04,13,pm10Value,13
4831000000,2024-09-04,14,pm10Value,17.3333
4831000000,2024-09-04,15,pm10Value,12.5
4831000000,2024-09-04,16,pm10Value,12.5
4831000000,2024-09-04,17,pm10Value,12
4831000000,2024-09-04,18,pm10Value,17
4831000000,2024-09-04,19,pm10Value,10
4831000000,2024-09-04,20,pm10Value,13.6667
4831000000,2024-09-04,21,pm10Value,51.6667
4831000000,2024-09-04,22,pm10Value,8.5
4831000000,2024-09-04,23,pm10Value,9
4831000000,2024-09-05,1,pm10Value,10.6667
4831000000,2024-09-05,2,pm10Value,7.5
4831000000,2024-09-05,3,pm10Value,20
4831000000,2024-09-05,4,pm10Value,7.5
4831000000,2024-09-05,5,pm10Value,8
4831000000,2024-09-05,6,pm10Value,17
4831000000,2024-09-05,7,pm10Value,17.6667
4831000000,2024-09-05,8,pm10Value,12.5
4831000000,2024-09-05,9,pm10Value,13
4831000000,2024-09-05,10,pm10Value,17.5
4831000000,2024-09-05,11,pm10Value,28
4831000000,2024-09-05,12,pm10Value,28.3333
4831000000,2024-09-05,13,pm10Value,16
4831000000,2024-09-05,14,pm10Value,12
4831000000,2024-09-05,15,pm10Value,8.5
4831000000,2024-09-05,16,pm10Value,9
4831000000,2024-09-05,17,pm10Value,11.5
4831000000,2024-09-05,18,pm10Value,13.5
4831000000,2024-09-05,19,pm10Value,14
4831000000,2024-09-05,20,pm10Value,13.5
4831000000,2024-09-05,21,pm10Value,13.5
4831000000,2024-09-05,22,pm10Value,13
4831000000,2024-09-05,23,pm10Value,14.5
4831000000,2024-09-06,1,pm10Value,14
4831000000,2024-09-06,2,pm10Value,15.5
4831000000,2024-09-06,3,pm10Value,16
4831000000,2024-09-06,4,pm10Value,15.5
4831000000,2024-09-06,5,pm10Value,14.5
4831000000,2024-09-06,6,pm10Value,16
4831000000,2024-09-06,7,pm10Value,18
4831000000,2024-09-06,8,pm10Value,22
4831000000,2024-09-06,9,pm10Value,21.5
4831000000,2024-09-06,10,pm10Value,27
4831000000,2024-09-06,11,pm10Value,26.3333
4831000000,2024-09-06,12,pm10Value,25.3333
4831000000,2024-09-06,13,pm10Value,22.8
4831000000,2024-09-06,14,pm10Value,18
4831000000,2024-09-06,15,pm10Value,19.6667
4831000000,2024-09-06,16,pm10Value,17
4831000000,2024-09-06,17,pm10Value,18.3333
4831000000,2024-09-06,18,pm10Value,15.3333
4831000000,2024-09-06,19,pm10Value,17
4831000000,2024-09-06,20,pm10Value,16.6667
4831000000,2024-09-06,21,pm10Value,16.6667
4831000000,2024-09-06,22,pm10Value,14.6667
4831000000,2024-09-06,23,pm10Value,11.3333
4831000000,2024-09-07,1,pm10Value,17
4831000000,2024-09-07,2,pm10Value,19
4831000000,2024-09-07,3,pm10Value,18.6667
4831000000,2024-09-07,4,pm10Value,16
4831000000,2024-09-07,5,pm10Value,14
4831000000,2024-09-07,6,pm10Value,15.3333
4831000000,2024-09-07,7,pm10Value,16
4831000000,2024-09-07,8,pm10Value,18.3333
4831000000,2024-09-07,9,pm10Value,17.6667
4831000000,2024-09-07,10,pm10Value,20.3333
4831000000,2024-09-07,11,pm10Value,24.3333
4831000000,2024-09-07,12,pm10Value,21
4831000000,2024-09-07,13,pm10Value,21
4831000000,2024-09-07,14,pm10Value,19.3333
4831000000,2024-09-07,15,pm10Value,16.6667
4831000000,2024-09-07,16,pm10Value,18.6667
4831000000,2024-09-07,17,pm10Value,18
4831000000,2024-09-07,18,pm10Value,19
4831000000,2024-09-07,19,pm10Value,20.3333
4831000000,2024-09-07,20,pm10Value,21.3333
4831000000,2024-09-07,21,pm10Value,25.6667
4831000000,2024-09-07,22,pm10Value,26.3333
4831000000,2024-09-07,23,pm10Value,30
4831000000,2024-09-08,1,pm10Value,34.6667
4831000000,2024-09-08,2,pm10Value,36
4831000000,2024-09-08,3,pm10Value,33.3333
4831000000,2024-09-08,4,pm10Value,36.3333
4831000000,2024-09-08,5,pm10Value,33.6667
4831000000,2024-09-08,6,pm10Value,29.6667
4831000000,2024-09-08,7,pm10Value,33.3333
4831000000,2024-09-08,8,pm10Value,31.3333
4831000000,2024-09-08,9,pm10Value,30.6667
4831000000,2024-09-08,10,pm10Value,28.6667
4831000000,2024-09-08,11,pm10Value,31.6667
4831000000,2024-09-08,12,pm10Value,29.6667
4831000000,2024-09-08,13,pm10Value,31.3333
4831000000,2024-09-08,14,pm10Value,27
4831000000,2024-09-08,15,pm10Value,29
4831000000,2024-09-08,16,pm10Value,26.3333
4831000000,2024-09-08,17,pm10Value,26
4831000000,2024-09-08,18,pm10Value,27.5
4831000000,2024-09-08,19,pm10Value,24
4831000000,2024-09-08,20,pm10Value,27
4831000000,2024-09-08,21,pm10Value,22.3333
4831000000,2024-09-08,22,pm10Value,18
4831000000,2024-09-08,23,pm10Value,16.3333
4831000000,2024-09-09,1,pm10Value,13
4831000000,2024-09-09,2,pm10Value,13.6667
